Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,Opponent_MP,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
1,Abilene Christian,33,14,19,.424,-7.38,-1.45,,5,13,,9,5,,3,12,,2321,2389,,1325,793,1621,.489,196,498,.394,607,842,.721,266,1029,393,278,147,541,605
2,Air Force,32,3,29,.094,-13.75,4.60,,0,20,,3,15,,0,12,,1969,2556,,1280,900,1834,.491,268,712,.376,488,671,.727,321,1146,488,255,113,325,569
3,Akron NCAA,35,29,6,.829,8.48,-2.91,,17,1,,15,0,,9,3,,3075,2590,,1400,908,2127,.427,330,934,.353,444,616,.721,383,1157,467,221,100,470,547
4,Alabama NCAA,35,25,10,.714,23.03,14.57,,13,5,,12,3,,7,3,,3192,2896,,1410,1037,2401,.432,287,849,.338,535,769,.696,483,1395,488,224,133,334,675
5,Alabama A&M,33,18,15,.545,-13.31,-10.81,,10,8,,12,5,,4,8,,2378,2393,,1325,822,1860,.442,231,682,.339,518,714,.725,329,1129,463,202,99,372,634
6,Alabama State,32,10,22,.313,-14.49,-8.43,,7,11,,5,4,,4,15,,2341,2473,,1280,826,1837,.450,253,746,.339,568,774,.734,336,1159,453,243,127,441,560
7,Albany (NY),32,11,21,.344,-14.11,-8.29,,7,9,,6,5,,4,13,,2303,2332,,1280,814,1820,.447,252,719,.350,452,623,.726,331,1035,446,218,101,345,426
8,Alcorn State,32,9,23,.281,-20.14,-6.86,,7,11,,5,4,,2,18,,2141,2566,,1282,911,1850,.492,214,649,.330,530,729,.727,366,1182,507,234,134,403,493
9,American,32,16,16,.500,-7.25,-6.55,,9,9,,11,6,,5,10,,2387,2283,,1280,786,1689,.465,213,627,.340,498,688,.724,287,1070,418,198,94,422,541
10,Appalachian State,32,19,13,.594,-3.97,-5.87,,11,7,,11,4,,7,8,,2305,2114,,1285,739,1851,.399,240,763,.315,396,563,.703,341,1089,374,162,80,301,608
11,Arizona NCAA,39,36,3,.923,29.78,13.01,,16,2,,16,1,,9,1,,3360,2706,,1565,969,2458,.394,290,923,.314,478,666,.718,426,1239,486,240,148,455,776
12,Arizona State,33,17,16,.515,10.41,12.41,,7,11,,10,5,,2,9,,2519,2585,,1320,899,1984,.453,280,800,.350,505,681,.742,407,1199,498,244,113,430,654
13,Arkansas NCAA,37,28,9,.757,21.48,12.32,,13,5,,17,1,,5,5,,3337,2998,,1500,1087,2376,.457,288,906,.318,536,742,.722,415,1273,542,184,103,425,658
14,Arkansas State,32,20,12,.625,-0.93,-4.67,,11,7,,11,4,,9,7,,2655,2471,,1295,861,1960,.439,249,766,.325,500,713,.701,326,1067,440,284,106,368,618
15,Arkansas-Pine Bluff,32,13,19,.406,-15.11,-7.25,,10,8,,7,4,,6,14,,2472,2593,,1285,876,1908,.459,238,711,.335,603,809,.745,363,1158,473,244,100,395,529
16,Army,32,11,21,.344,-15.65,-7.51,,5,13,,6,10,,5,10,,2309,2471,,1305,844,1807,.467,261,749,.348,522,702,.744,285,1119,448,230,101,353,509
17,Auburn,38,22,16,.579,16.63,12.39,,7,11,,14,4,,2,8,,3154,2993,,1535,1043,2251,.463,331,903,.367,576,773,.745,395,1238,542,245,170,432,736
18,Austin Peay,31,22,9,.710,-2.53,-6.98,,15,3,,12,1,,9,7,,2530,2269,,1240,808,1805,.448,240,739,.325,413,585,.706,312,1067,429,204,98,425,560
19,Ball State,31,12,19,.387,-9.90,-4.59,,7,11,,7,7,,4,11,,2093,2154,,1250,753,1691,.445,232,694,.334,416,546,.762,293,1107,404,166,113,395,485
20,Baylor,34,17,17,.500,14.99,11.47,,6,12,,11,6,,3,7,,2778,2599,,1360,945,2063,.458,250,723,.346,459,613,.749,365,1089,461,232,108,378,601
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
21,Bellarmine,32,13,19,.406,-9.36,-5.00,,7,11,,9,5,,2,13,,2561,2614,,1290,898,1856,.484,372,936,.397,446,606,.736,342,1026,553,193,94,331,560
22,Belmont,32,26,6,.813,8.57,-0.79,,16,4,,13,2,,11,3,,2684,2347,,1290,793,1933,.410,319,949,.336,442,586,.754,348,1056,428,217,94,395,557
23,Bethune-Cookman,32,17,15,.531,-9.70,-6.76,,14,4,,10,1,,7,11,,2412,2462,,1295,857,1954,.439,216,660,.327,532,745,.714,377,1139,408,271,92,375,595
24,Binghamton,31,8,23,.258,-20.91,-11.01,,4,12,,7,8,,1,14,,2105,2321,,1265,828,1789,.463,250,701,.357,413,595,.694,303,1045,400,217,94,279,541
25,Boise State,32,20,12,.625,11.98,7.78,,12,8,,12,4,,6,5,,2502,2351,,1310,851,1841,.462,237,683,.347,412,579,.712,240,916,390,189,95,314,632
26,Boston College,31,11,20,.355,2.92,6.17,,4,14,,10,7,,1,10,,2090,2191,,1260,773,1811,.427,225,706,.319,420,626,.671,322,1163,376,192,105,311,530
27,Boston University,34,17,17,.500,-8.39,-8.54,,10,8,,10,5,,6,12,,2566,2514,,1395,897,1954,.459,290,795,.365,430,593,.725,312,1033,440,240,90,294,522
28,Bowling Green,32,18,14,.563,0.20,-3.83,,9,9,,10,7,,6,6,,2602,2290,,1285,785,1802,.436,256,752,.340,464,647,.717,282,1070,412,208,116,469,607
29,Bradley,34,21,13,.618,3.20,0.44,,13,7,,14,3,,4,7,,2626,2502,,1405,857,1892,.453,277,760,.364,511,717,.713,316,1212,461,168,103,463,621
