,Date,Home_Team,Score_H,Away_Team,Score_A
0,10/26/2025,SIUE,100.0,St Ambrose,60.0
1,11/3/2025,UNC Wilmington,106.0,Mt Olive,77.0
2,11/3/2025,Idaho,83.0,Washington St,81.0
3,11/3/2025,Tennessee,76.0,Mercer,61.0
4,11/3/2025,Auburn,95.0,Bethune-Cookman,90.0
5,11/3/2025,South Alabama,76.0,Toledo,74.0
6,11/3/2025,N Illinois,102.0,ULM,82.0
7,11/3/2025,C Michigan,82.0,Appalachian St,66.0
8,11/3/2025,Bowling Green,83.0,Texas St,48.0
9,11/3/2025,Wright St,86.0,Franklin,37.0
10,11/3/2025,N Kentucky,126.0,Cin Clermont,69.0
11,11/3/2025,Ohio St,118.0,IUPUI,102.0
12,11/3/2025,IL Chicago,91.0,Detroit,71.0
13,11/3/2025,WKU,82.0,Tennessee Tech,70.0
14,11/3/2025,Georgia,104.0,Bellarmine,59.0
15,11/3/2025,Penn St,76.0,Fairfield,68.0
16,11/3/2025,Marquette,80.0,SUNY Albany,53.0
17,11/3/2025,Maryland,83.0,Coppin St,61.0
18,11/3/2025,VCU,103.0,Wagner,74.0
19,11/3/2025,St Joseph's PA,85.0,Lafayette,76.0
20,11/3/2025,DePaul,92.0,Chicago St,62.0
21,11/3/2025,Ball St,75.0,Louisiana,64.0
22,11/3/2025,WI Milwaukee,90.0,Hampton,86.0
23,11/3/2025,Siena,82.0,Bryant,66.0
24,11/3/2025,Akron,85.0,James Madison,71.0
25,11/3/2025,St John's,108.0,Quinnipiac,74.0
26,11/3/2025,Georgia Tech,56.0,MD E Shore,52.0
27,11/3/2025,Northwestern,70.0,Mercyhurst,47.0
28,11/3/2025,Towson,67.0,Loyola MD,56.0
29,11/3/2025,Navy,76.0,Presbyterian,55.0
30,11/3/2025,Utah,84.0,San Jose St,75.0
31,11/3/2025,Kansas,94.0,WI Green Bay,51.0
32,11/3/2025,Colorado,84.0,Montana St,78.0
33,11/3/2025,Cincinnati,94.0,W Carolina,63.0
34,11/3/2025,BYU,71.0,Villanova,66.0
35,11/3/2025,Baylor,96.0,UTRGV,81.0
36,11/3/2025,Wake Forest,88.0,American Univ,74.0
37,11/3/2025,Syracuse,85.0,Binghamton,47.0
38,11/3/2025,SMU,96.0,Tarleton St,76.0
39,11/3/2025,Pittsburgh,74.0,Youngstown St,59.0
40,11/3/2025,North Carolina,94.0,Cent Arkansas,54.0
41,11/3/2025,NC State,114.0,NC Central,66.0
42,11/3/2025,California,87.0,CS Bakersfield,60.0
43,11/3/2025,FL Atlantic,83.0,Boston College,78.0
44,11/3/2025,St Louis,92.0,SE Missouri St,67.0
45,11/3/2025,Rhode Island,93.0,Stetson,62.0
46,11/3/2025,Loyola-Chicago,91.0,Cleveland St,88.0
47,11/3/2025,G Washington,67.0,Maine,47.0
48,11/3/2025,UCLA,80.0,E Washington,74.0
49,11/3/2025,Duquesne,83.0,Niagara,63.0
50,11/3/2025,Dayton,88.0,Canisius,48.0
51,11/3/2025,Xavier,66.0,Marist,62.0
52,11/3/2025,Georgetown,87.0,Morgan St,70.0
53,11/3/2025,Clemson,88.0,New Hampshire,38.0
54,11/3/2025,Connecticut,79.0,New Haven,55.0
55,11/3/2025,Providence,89.0,Holy Cross,79.0
56,11/3/2025,Virginia,87.0,Rider,53.0
57,11/3/2025,Oklahoma,102.0,St Francis PA,66.0
58,11/3/2025,Notre Dame,89.0,LIU Brooklyn,67.0
59,11/3/2025,Iowa St,88.0,F Dickinson,50.0
60,11/3/2025,Alabama,91.0,North Dakota,62.0
61,11/3/2025,Utah Tech,81.0,South Dakota,79.0
62,11/3/2025,Miami FL,86.0,Jacksonville,69.0
63,11/3/2025,Mississippi,88.0,SE Louisiana,58.0
64,11/3/2025,New Orleans,78.0,TCU,74.0
65,11/3/2025,Winthrop,81.0,Queens NC,74.0
66,11/3/2025,St Bonaventure,69.0,Bradley,63.0
67,11/3/2025,VMI,122.0,J&W NC,58.0
68,11/3/2025,FGCU,96.0,New College FL,60.0
69,11/3/2025,CS Fullerton,136.0,Caltech,82.0
70,11/3/2025,Virginia Tech,98.0,Charleston So,67.0
71,11/3/2025,Central Conn,117.0,NVU-Johnson,55.0
72,11/3/2025,Sam Houston St,95.0,Le Tourneau,59.0
73,11/3/2025,Belmont,79.0,Air Force,63.0
74,11/3/2025,Charlotte,92.0,Indiana St,76.0
75,11/3/2025,Abilene Chr,92.0,McMurry,55.0
76,11/3/2025,Tennessee St,101.0,Fisk,50.0
77,11/3/2025,Florida Intl,101.0,Florida National,49.0
78,11/3/2025,Liberty,98.0,Kentucky Chr,57.0
79,11/3/2025,Pepperdine,88.0,Life Pacific,80.0
80,11/3/2025,Jacksonville St,117.0,Oakwood,63.0
81,11/3/2025,Lamar,93.0,Texas A&M-SA,53.0
82,11/3/2025,Norfolk St,98.0,Washington Advt,76.0
83,11/3/2025,UCF,82.0,Hofstra,78.0
84,11/3/2025,Houston,75.0,Lehigh,57.0
85,11/3/2025,Seattle,84.0,Denver,73.0
86,11/3/2025,Oregon St,67.0,N Dakota St,65.0
87,11/3/2025,Gonzaga,98.0,TX Southern,43.0
88,11/3/2025,Hawaii Pacific,79.0,Boise St,78.0
89,11/3/2025,Wyoming,99.0,Northern St SD,75.0
90,11/3/2025,Stonehill,100.0,Thomas ME,48.0
91,11/3/2025,High Point,97.0,Furman,71.0
92,11/3/2025,UT Arlington,91.0,UNT Dallas,40.0
93,11/3/2025,Boston Univ,76.0,Northeastern,75.0
94,11/3/2025,Vanderbilt,105.0,Lipscomb,61.0
95,11/3/2025,Portland,120.0,Willamette,83.0
96,11/3/2025,Wisconsin,96.0,Campbell,64.0
97,11/3/2025,W Michigan,76.0,Coastal Car,71.0
98,11/3/2025,Michigan St,80.0,Colgate,69.0
99,11/3/2025,Col Charleston,79.0,Tusculum,58.0
100,11/3/2025,Drake,77.0,Northern Arizona,71.0
101,11/3/2025,Missouri KC,80.0,Evangel,74.0
102,11/3/2025,Arizona,93.0,Florida,87.0
103,11/3/2025,Fresno St,88.0,Fresno Pacific,51.0
104,11/3/2025,Minnesota,87.0,Gardner Webb,60.0
105,11/3/2025,George Mason,70.0,Wofford,46.0
106,11/3/2025,William & Mary,110.0,Georgian Court,63.0
107,11/3/2025,Grambling,91.0,Huston-Tillot,47.0
108,11/3/2025,Arkansas St,89.0,Ohio,85.0
109,11/3/2025,Houston Chr,74.0,S Arkansas,70.0
110,11/3/2025,Illinois,113.0,Jackson St,55.0
111,11/3/2025,Kennesaw,105.0,Paine,30.0
112,11/3/2025,UC Riverside,90.0,La Sierra,49.0
113,11/3/2025,UC San Diego,105.0,La Verne,73.0
114,11/3/2025,Le Moyne,94.0,SUNY Cobleskill,50.0
115,11/3/2025,Longwood,92.0,Mary Baldwin,55.0
116,11/3/2025,MA Lowell,107.0,Rivier,55.0
117,11/3/2025,S Illinois,83.0,McKendree,42.0
118,11/3/2025,McNeese St,127.0,Champion Bap,65.0
119,11/3/2025,UC Davis,96.0,Menlo,69.0
120,11/3/2025,Morehead St,89.0,Midway,84.0
121,11/3/2025,SF Austin,103.0,Millsaps,76.0
122,11/3/2025,Murray St,85.0,NE Omaha,77.0
123,11/3/2025,Texas A&M,98.0,Northwestern LA,68.0
