Date,Home,Score_H,Away,Score_A
10/26/2025,@SIUE,100,St Ambrose,60
11/3/2025,@UNC Wilmington,106,Mt Olive,77
11/3/2025,Idaho,83,@Washington St,81
11/3/2025,@Tennessee,76,Mercer,61
11/3/2025,@Auburn,95,Bethune-Cookman,90
11/3/2025,South Alabama,76,@Toledo,74
11/3/2025,@N Illinois,102,ULM,82
11/3/2025,@C Michigan,82,Appalachian St,66
11/3/2025,@Bowling Green,83,Texas St,48
11/3/2025,@Wright St,86,Franklin,37
11/3/2025,@N Kentucky,126,Cin Clermont,69
11/3/2025,@Ohio St,118,IUPUI,102
11/3/2025,@IL Chicago,91,Detroit,71
11/3/2025,@WKU,82,Tennessee Tech,70
11/3/2025,@Georgia,104,Bellarmine,59
11/3/2025,@Penn St,76,Fairfield,68
11/3/2025,@Marquette,80,SUNY Albany,53
11/3/2025,Maryland,83,Coppin St,61
11/3/2025,@VCU,103,Wagner,74
11/3/2025,@St Joseph's PA,85,Lafayette,76
11/3/2025,@DePaul,92,Chicago St,62
11/3/2025,@Ball St,75,Louisiana,64
11/3/2025,@WI Milwaukee,90,Hampton,86
11/3/2025,@Siena,82,Bryant,66
11/3/2025,@Akron,85,James Madison,71
11/3/2025,@St John's,108,Quinnipiac,74
11/3/2025,@Georgia Tech,56,MD E Shore,52
11/3/2025,@Northwestern,70,Mercyhurst,47
11/3/2025,Towson,67,Loyola MD,56
11/3/2025,Navy,76,@Presbyterian,55
11/3/2025,@Utah,84,San Jose St,75
11/3/2025,@Kansas,94,WI Green Bay,51
11/3/2025,@Colorado,84,Montana St,78
11/3/2025,@Cincinnati,94,W Carolina,63
11/3/2025,BYU,71,Villanova,66
11/3/2025,@Baylor,96,UTRGV,81
11/3/2025,@Wake Forest,88,American Univ,74
11/3/2025,@Syracuse,85,Binghamton,47
11/3/2025,@SMU,96,Tarleton St,76
11/3/2025,@Pittsburgh,74,Youngstown St,59
11/3/2025,@North Carolina,94,Cent Arkansas,54
11/3/2025,@NC State,114,NC Central,66
11/3/2025,@California,87,CS Bakersfield,60
11/3/2025,@FL Atlantic,83,Boston College,78
11/3/2025,@St Louis,92,SE Missouri St,67
11/3/2025,@Rhode Island,93,Stetson,62
11/3/2025,@Loyola-Chicago,91,Cleveland St,88
11/3/2025,@G Washington,67,Maine,47
11/3/2025,@UCLA,80,E Washington,74
11/3/2025,@Duquesne,83,Niagara,63
11/3/2025,@Dayton,88,Canisius,48
11/3/2025,@Xavier,66,Marist,62
11/3/2025,@Georgetown,87,Morgan St,70
11/3/2025,@Clemson,88,New Hampshire,38
11/3/2025,@Connecticut,79,New Haven,55
11/3/2025,@Providence,89,Holy Cross,79
11/3/2025,@Virginia,87,Rider,53
11/3/2025,@Oklahoma,102,St Francis PA,66
11/3/2025,@Notre Dame,89,LIU Brooklyn,67
11/3/2025,@Iowa St,88,F Dickinson,50
11/3/2025,@Alabama,91,North Dakota,62
11/3/2025,Utah Tech,81,@South Dakota,79
11/3/2025,@Miami FL,86,Jacksonville,69
11/3/2025,@Mississippi,88,SE Louisiana,58
11/3/2025,New Orleans,78,@TCU,74
11/3/2025,Winthrop,81,Queens NC,74
11/3/2025,St Bonaventure,69,Bradley,63
11/3/2025,@VMI,122,J&W NC,58
11/3/2025,@FGCU,96,New College FL,60
11/3/2025,@CS Fullerton,136,Caltech,82
11/3/2025,@Virginia Tech,98,Charleston So,67
11/3/2025,@Central Conn,117,NVU-Johnson,55
11/3/2025,@Sam Houston St,95,Le Tourneau,59
11/3/2025,@Belmont,79,Air Force,63
11/3/2025,@Charlotte,92,Indiana St,76
11/3/2025,@Abilene Chr,92,McMurry,55
11/3/2025,@Tennessee St,101,Fisk,50
11/3/2025,@Florida Intl,101,Florida National,49
11/3/2025,@Liberty,98,Kentucky Chr,57
11/3/2025,@Pepperdine,88,Life Pacific,80
11/3/2025,@Jacksonville St,117,Oakwood,63
11/3/2025,@Lamar,93,Texas A&M-SA,53
11/3/2025,@Norfolk St,98,Washington Advt,76
11/3/2025,@UCF,82,Hofstra,78
11/3/2025,@Houston,75,Lehigh,57
11/3/2025,@Seattle,84,Denver,73
11/3/2025,@Oregon St,67,N Dakota St,65
11/3/2025,@Gonzaga,98,TX Southern,43
11/3/2025,Hawaii Pacific,79,@Boise St,78
11/3/2025,@Wyoming,99,Northern St SD,75
11/3/2025,@Stonehill,100,Thomas ME,48
11/3/2025,High Point,97,Furman,71
11/3/2025,@UT Arlington,91,UNT Dallas,40
11/3/2025,Boston Univ,76,@Northeastern,75
11/3/2025,@Vanderbilt,105,Lipscomb,61
11/3/2025,@Portland,120,Willamette,83
11/3/2025,@Wisconsin,96,Campbell,64
11/3/2025,@W Michigan,76,Coastal Car,71
11/3/2025,@Michigan St,80,Colgate,69
11/3/2025,@Col Charleston,79,Tusculum,58
11/3/2025,Drake,77,Northern Arizona,71
11/3/2025,@Missouri KC,80,Evangel,74
11/3/2025,Arizona,93,Florida,87
11/3/2025,@Fresno St,88,Fresno Pacific,51
11/3/2025,@Minnesota,87,Gardner Webb,60
11/3/2025,@George Mason,70,Wofford,46
11/3/2025,@William & Mary,110,Georgian Court,63
11/3/2025,@Grambling,91,Huston-Tillot,47
11/3/2025,Arkansas St,89,@Ohio,85
11/3/2025,@Houston Chr,74,S Arkansas,70
11/3/2025,@Illinois,113,Jackson St,55
11/3/2025,@Kennesaw,105,Paine,30
11/3/2025,@UC Riverside,90,La Sierra,49
11/3/2025,@UC San Diego,105,La Verne,73
11/3/2025,@Le Moyne,94,SUNY Cobleskill,50
11/3/2025,@Longwood,92,Mary Baldwin,55
11/3/2025,@MA Lowell,107,Rivier,55
11/3/2025,@S Illinois,83,McKendree,42
11/3/2025,@McNeese St,127,Champion Bap,65
11/3/2025,@UC Davis,96,Menlo,69
11/3/2025,@Morehead St,89,Midway,84
11/3/2025,@SF Austin,103,Millsaps,76
11/3/2025,Murray St,85,NE Omaha,77
11/3/2025,@Texas A&M,98,Northwestern LA,68
11/3/2025,@Michigan,121,Oakland,78
11/3/2025,@Prairie View,95,CBS-Houston,48
11/3/2025,@Radford,80,W Illinois,75
11/3/2025,@San Francisco,98,UC Santa Cruz,53
11/3/2025,@Cal Baptist,87,SC Upstate,75
11/3/2025,@South Florida,102,Florida A&M,67
11/3/2025,@Arkansas,109,Southern Univ,77
11/3/2025,@Stony Brook,66,Farmingdale,59
11/3/2025,@UTEP,98,Permian Basin,56
11/3/2025,@Vermont,75,W New England,68
11/3/2025,@Utah St,110,Westminster UT,54
11/3/2025,@Austin Peay,128,Bryan,47
11/3/2025,@Davidson,97,DeSales,63
11/3/2025,@Tulsa,100,Oklahoma Chr,57
11/3/2025,@Drexel,93,Widener,59
11/3/2025,@Washington,94,Ark Pine Bluff,50
11/3/2025,@Seton Hall,77,St Peter's,50
11/3/2025,@UAB,106,MS Valley St,55
11/3/2025,@Tulane,85,Samford,72
11/3/2025,@Chattanooga,92,Union KY,39
11/3/2025,@Miami OH,87,Old Dominion,72
11/3/2025,Missouri,88,@Howard,67
11/3/2025,@East Texas A&M,119,Arlington Bap,60
11/3/2025,@USC,94,Cal Poly,64
11/3/2025,@Buffalo,85,Southern Miss,79
11/3/2025,Troy,103,@Kent,97
11/3/2025,@Army,73,SUNY Maritime,49
11/3/2025,@Weber St,130,W Coast Bap,38
11/3/2025,@Grand Canyon,90,PFW,71
11/3/2025,@St Mary's CA,84,St Thomas MN,58
11/3/2025,S Dakota St,75,Merrimack,66
11/3/2025,@Nebraska,86,West Georgia,53
11/3/2025,@Louisville,104,S Carolina St,45
11/3/2025,@Colorado St,98,Incarnate Word,64
11/3/2025,@TAM C. Christi,83,Trinity TX,56
11/3/2025,@Alabama A&M,80,Blue Mtn,60
11/3/2025,@Bucknell,78,Delaware,70
11/3/2025,@CS Northridge,99,Nobel,58
11/3/2025,@Loy Marymount,137,Lincoln CA,54
11/3/2025,Marshall,78,@Massachusetts,72
11/3/2025,@Montana,106,Northwest Indian,41
11/3/2025,@UC Irvine,125,Bethesda,49
11/3/2025,@Citadel,105,Erskine,61
11/3/2025,@E Michigan,71,Georgia St,49
11/3/2025,@N Colorado,91,Colorado Col,57
11/3/2025,@North Texas,88,NM Highlands,54
