School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,33,14,19,0.424,-7.38,-1.45,,5,13,,9,5,,3,12,,2321,2389,,1325,793,1621,0.489,196,498,0.394,607,842,0.721,266,1029,393,278,147,541,605
Air Force,32,3,29,0.094,-13.75,4.6,,0,20,,3,15,,0,12,,1969,2556,,1280,900,1834,0.491,268,712,0.376,488,671,0.727,321,1146,488,255,113,325,569
Akron ,35,29,6,0.829,8.48,-2.91,,17,1,,15,0,,9,3,,3075,2590,,1400,908,2127,0.427,330,934,0.353,444,616,0.721,383,1157,467,221,100,470,547
Alabama ,35,25,10,0.714,23.03,14.57,,13,5,,12,3,,7,3,,3192,2896,,1410,1037,2401,0.432,287,849,0.338,535,769,0.696,483,1395,488,224,133,334,675
Alabama A&M,33,18,15,0.545,-13.31,-10.81,,10,8,,12,5,,4,8,,2378,2393,,1325,822,1860,0.442,231,682,0.339,518,714,0.725,329,1129,463,202,99,372,634
Alabama State,32,10,22,0.313,-14.49,-8.43,,7,11,,5,4,,4,15,,2341,2473,,1280,826,1837,0.45,253,746,0.339,568,774,0.734,336,1159,453,243,127,441,560
Albany (NY),32,11,21,0.344,-14.11,-8.29,,7,9,,6,5,,4,13,,2303,2332,,1280,814,1820,0.447,252,719,0.35,452,623,0.726,331,1035,446,218,101,345,426
Alcorn State,32,9,23,0.281,-20.14,-6.86,,7,11,,5,4,,2,18,,2141,2566,,1282,911,1850,0.492,214,649,0.33,530,729,0.727,366,1182,507,234,134,403,493
American,32,16,16,0.5,-7.25,-6.55,,9,9,,11,6,,5,10,,2387,2283,,1280,786,1689,0.465,213,627,0.34,498,688,0.724,287,1070,418,198,94,422,541
Appalachian State,32,19,13,0.594,-3.97,-5.87,,11,7,,11,4,,7,8,,2305,2114,,1285,739,1851,0.399,240,763,0.315,396,563,0.703,341,1089,374,162,80,301,608
Arizona ,39,36,3,0.923,29.78,13.01,,16,2,,16,1,,9,1,,3360,2706,,1565,969,2458,0.394,290,923,0.314,478,666,0.718,426,1239,486,240,148,455,776
Arizona State,33,17,16,0.515,10.41,12.41,,7,11,,10,5,,2,9,,2519,2585,,1320,899,1984,0.453,280,800,0.35,505,681,0.742,407,1199,498,244,113,430,654
Arkansas ,37,28,9,0.757,21.48,12.32,,13,5,,17,1,,5,5,,3337,2998,,1500,1087,2376,0.457,288,906,0.318,536,742,0.722,415,1273,542,184,103,425,658
Arkansas State,32,20,12,0.625,-0.93,-4.67,,11,7,,11,4,,9,7,,2655,2471,,1295,861,1960,0.439,249,766,0.325,500,713,0.701,326,1067,440,284,106,368,618
Arkansas-Pine Bluff,32,13,19,0.406,-15.11,-7.25,,10,8,,7,4,,6,14,,2472,2593,,1285,876,1908,0.459,238,711,0.335,603,809,0.745,363,1158,473,244,100,395,529
Army,32,11,21,0.344,-15.65,-7.51,,5,13,,6,10,,5,10,,2309,2471,,1305,844,1807,0.467,261,749,0.348,522,702,0.744,285,1119,448,230,101,353,509
Auburn,38,22,16,0.579,16.63,12.39,,7,11,,14,4,,2,8,,3154,2993,,1535,1043,2251,0.463,331,903,0.367,576,773,0.745,395,1238,542,245,170,432,736
Austin Peay,31,22,9,0.71,-2.53,-6.98,,15,3,,12,1,,9,7,,2530,2269,,1240,808,1805,0.448,240,739,0.325,413,585,0.706,312,1067,429,204,98,425,560
Ball State,31,12,19,0.387,-9.9,-4.59,,7,11,,7,7,,4,11,,2093,2154,,1250,753,1691,0.445,232,694,0.334,416,546,0.762,293,1107,404,166,113,395,485
Baylor,34,17,17,0.5,14.99,11.47,,6,12,,11,6,,3,7,,2778,2599,,1360,945,2063,0.458,250,723,0.346,459,613,0.749,365,1089,461,232,108,378,601
Bellarmine,32,13,19,0.406,-9.36,-5,,7,11,,9,5,,2,13,,2561,2614,,1290,898,1856,0.484,372,936,0.397,446,606,0.736,342,1026,553,193,94,331,560
Belmont,32,26,6,0.813,8.57,-0.79,,16,4,,13,2,,11,3,,2684,2347,,1290,793,1933,0.41,319,949,0.336,442,586,0.754,348,1056,428,217,94,395,557
Bethune-Cookman,32,17,15,0.531,-9.7,-6.76,,14,4,,10,1,,7,11,,2412,2462,,1295,857,1954,0.439,216,660,0.327,532,745,0.714,377,1139,408,271,92,375,595
Binghamton,31,8,23,0.258,-20.91,-11.01,,4,12,,7,8,,1,14,,2105,2321,,1265,828,1789,0.463,250,701,0.357,413,595,0.694,303,1045,400,217,94,279,541
Boise State,32,20,12,0.625,11.98,7.78,,12,8,,12,4,,6,5,,2502,2351,,1310,851,1841,0.462,237,683,0.347,412,579,0.712,240,916,390,189,95,314,632
Boston College,31,11,20,0.355,2.92,6.17,,4,14,,10,7,,1,10,,2090,2191,,1260,773,1811,0.427,225,706,0.319,420,626,0.671,322,1163,376,192,105,311,530
Boston University,34,17,17,0.5,-8.39,-8.54,,10,8,,10,5,,6,12,,2566,2514,,1395,897,1954,0.459,290,795,0.365,430,593,0.725,312,1033,440,240,90,294,522
Bowling Green,32,18,14,0.563,0.2,-3.83,,9,9,,10,7,,6,6,,2602,2290,,1285,785,1802,0.436,256,752,0.34,464,647,0.717,282,1070,412,208,116,469,607
Bradley,34,21,13,0.618,3.2,0.44,,13,7,,14,3,,4,7,,2626,2502,,1405,857,1892,0.453,277,760,0.364,511,717,0.713,316,1212,461,168,103,463,621
Brigham Young ,35,23,12,0.657,20.39,12.27,,9,9,,12,3,,3,6,,2924,2640,,1405,953,2149,0.443,296,838,0.353,438,620,0.706,381,1202,515,220,106,405,647
Brown,27,9,18,0.333,-10.16,-4.92,,3,11,,6,8,,3,10,,1900,1892,,1100,641,1483,0.432,207,631,0.328,403,534,0.755,258,927,356,207,91,364,414
Bryant,31,9,22,0.29,-18.35,-8.08,,5,11,,8,5,,1,17,,2010,2246,,1255,805,1777,0.453,224,632,0.354,412,578,0.713,321,1087,406,248,72,301,469
Bucknell,33,10,23,0.303,-14.66,-5.72,,6,12,,6,8,,4,12,,2223,2518,,1336,857,1852,0.463,313,846,0.37,491,653,0.752,334,1155,530,249,122,400,541
Buffalo,32,17,15,0.531,-3.77,-4.24,,7,11,,7,8,,8,6,,2497,2438,,1290,874,1839,0.475,268,766,0.35,422,575,0.734,317,1067,514,213,78,386,557
Butler,32,16,16,0.5,10.28,8.44,,7,13,,10,7,,3,8,,2540,2481,,1300,931,2039,0.457,255,765,0.333,364,507,0.718,349,1099,500,217,149,344,647
Cal Poly,33,14,19,0.424,-4.52,-0.55,,10,10,,8,6,,6,11,,2710,2805,,1325,991,2154,0.46,308,895,0.344,515,711,0.724,383,1245,520,239,112,413,649
Cal State Bakersfield,32,8,24,0.25,-13.06,-1.63,,2,18,,6,11,,2,13,,2339,2629,,1280,890,1915,0.465,262,735,0.356,587,816,0.719,402,1227,475,240,116,428,619
Cal State Fullerton,34,18,16,0.529,-2.18,-0.31,,12,8,,10,4,,6,10,,2822,2778,,1360,956,2088,0.458,324,958,0.338,542,723,0.75,341,1302,561,207,96,512,688
Cal State Northridge,34,20,14,0.588,-2.34,-1.65,,12,8,,12,3,,7,8,,2767,2713,,1365,906,2132,0.425,350,1036,0.338,551,730,0.755,344,1230,530,268,145,435,624
California,34,22,12,0.647,11.15,6.82,,9,9,,17,5,,4,6,,2658,2493,,1370,878,2015,0.436,258,825,0.313,479,728,0.658,377,1244,497,178,126,390,615
California Baptist ,34,25,9,0.735,2.56,-2.5,,13,5,,15,0,,7,7,,2470,2298,,1375,804,1931,0.416,180,611,0.295,510,707,0.721,332,1116,366,230,132,394,609
Campbell,34,16,18,0.471,-3.2,-0.45,,8,10,,10,4,,3,13,,2691,2639,,1360,954,1999,0.477,207,591,0.35,524,711,0.737,349,1125,467,236,126,415,668
Canisius,31,10,21,0.323,-17,-7.87,,5,15,,7,8,,3,13,,1951,2184,,1245,756,1696,0.446,243,746,0.326,429,596,0.72,300,1058,424,207,101,329,478
Central Arkansas,34,22,12,0.647,-1.72,-5.03,,15,3,,14,1,,6,10,,2749,2541,,1385,887,1977,0.449,356,1040,0.342,411,564,0.729,303,1175,547,223,112,469,571
Central Connecticut State,30,18,12,0.6,-11.55,-10.16,,12,6,,10,4,,8,8,,2215,2127,,1205,771,1794,0.43,236,718,0.329,349,457,0.764,307,990,420,189,68,282,476
Central Michigan,31,10,21,0.323,-8.76,-2.76,,6,12,,8,5,,1,15,,2275,2384,,1240,835,1803,0.463,242,707,0.342,472,689,0.685,359,1093,488,244,99,380,523
Charleston Southern,32,15,17,0.469,-6.83,-6.8,,6,10,,10,4,,5,11,,2670,2563,,1310,871,2109,0.413,202,662,0.305,619,873,0.709,399,1263,336,261,97,305,557
Charlotte,34,17,17,0.5,-0.24,1.03,,9,9,,11,6,,4,8,,2492,2530,,1385,878,1981,0.443,272,805,0.338,502,706,0.711,381,1105,446,228,97,306,568
Chattanooga,32,13,19,0.406,-11.09,-7.16,,7,11,,7,8,,6,9,,2454,2408,,1280,800,1875,0.427,269,821,0.328,539,764,0.705,351,1139,417,180,72,301,512
Chicago State,32,7,25,0.219,-16.47,-5.12,,5,13,,5,6,,2,19,,2105,2434,,1285,818,1727,0.474,318,891,0.357,480,642,0.748,340,1160,591,177,108,427,489
Cincinnati,33,18,15,0.545,15.15,9.6,,9,9,,15,3,,2,8,,2413,2230,,1325,791,1922,0.412,238,767,0.31,410,577,0.711,325,1156,431,189,76,417,530
Clemson ,35,24,11,0.686,16.35,9.32,,12,6,,13,3,,6,5,,2582,2336,,1410,794,1898,0.418,266,820,0.324,482,644,0.748,309,1143,365,192,113,400,632
Cleveland State,33,11,22,0.333,-13.29,-3.25,,6,14,,7,8,,3,13,,2633,2836,,1320,984,2055,0.479,321,905,0.355,547,724,0.756,405,1193,572,224,129,369,623
Coastal Carolina,32,19,13,0.594,-7.72,-5.97,,11,7,,8,5,,10,7,,2346,2323,,1310,803,2005,0.4,233,733,0.318,484,682,0.71,345,1229,303,181,82,277,535
Colgate,33,18,15,0.545,-6.26,-5.64,,11,7,,9,5,,6,10,,2522,2462,,1350,864,1958,0.441,274,802,0.342,460,642,0.717,340,1126,467,191,77,348,533
College of Charleston,32,21,11,0.656,-1.44,-2.86,,14,4,,11,4,,8,4,,2413,2348,,1290,849,2031,0.418,285,882,0.323,365,523,0.698,405,1192,447,201,98,332,621
Colorado,33,17,16,0.515,10.48,10.08,,7,11,,13,5,,2,8,,2645,2632,,1335,914,1989,0.46,263,724,0.363,541,728,0.743,342,1149,468,197,118,358,613
Colorado State,34,21,13,0.618,8.19,4.92,,11,9,,12,6,,6,5,,2574,2416,,1360,850,1881,0.452,274,810,0.338,442,635,0.696,327,1019,397,228,78,345,634
Columbia,28,16,12,0.571,-2.85,-4.24,,5,9,,9,5,,7,7,,2146,2007,,1130,706,1627,0.434,200,590,0.339,395,533,0.741,259,858,411,191,108,284,436
