Team,Net,Offensive,Defensive,Possessions
Abilene Christian,-4.409999999999997,100.4,104.81,69.54
Air Force,-22.39,93.4,115.79,67.4
Akron,16.090000000000003,120.92,104.83,71.6
Alabama,28.460000000000008,131.05,102.59,74.66
Alabama A&M,-12.379999999999995,100.12,112.5,68.08
Alabama State,-13.88000000000001,97.71,111.59,71.72
Albany (NY),-10.489999999999995,103.54,114.03,66.63
Alcorn State,-25.980000000000004,92.86,118.84,69.58
American,-3.0400000000000063,106.58,109.62,67.7
Appalachian State,3.019999999999996,107.72,104.7,64.9
Arizona,38.389999999999986,128.64,90.25,71.33
Arizona State,10.86999999999999,114.91,104.04,70.55
Arkansas,27.409999999999982,130.14,102.73,73.57
Arkansas State,2.1799999999999926,110.21,108.03,73.53
Arkansas-Pine Bluff,-13.11,102.5,115.61,72.63
Army,-15.079999999999998,101.01,116.09,68.75
Auburn,21.0,126.74,105.74,69.55
Austin Peay,3.75,110.69,106.94,71.16
Ball State,-8.230000000000004,99.13,107.36,66.54
Baylor,20.22,123.72,103.5,69.83
Bellarmine,-9.420000000000002,116.2,125.62,67.15
Belmont,13.560000000000002,117.9,104.34,70.86
Bethune-Cookman,-9.11,101.27,110.38,71.91
Binghamton,-23.409999999999997,96.18,119.59,66.71
Boise State,14.870000000000005,118.04,103.17,68.82
Boston College,2.1300000000000097,103.37,101.24,67.24
Boston University,-7.969999999999999,110.23,118.2,65.54
Bowling Green,8.200000000000003,109.83,101.63,72.62
Bradley,6.0,110.91,104.91,69.79
Brigham Young,24.97,125.4,100.43,70.71
Brown,-5.3700000000000045,99.83,105.2,68.76
Bryant,-20.72999999999999,94.29,115.02,65.99
Bucknell,-19.75999999999999,96.48,116.24,67.82
Buffalo,-1.2600000000000051,112.89,114.15,67.66
Butler,11.990000000000009,116.45,104.46,71.04
Cal Poly,-4.840000000000003,106.7,111.54,76.76
Cal State Bakersfield,-14.719999999999999,99.1,113.82,73.15
Cal State Fullerton,2.1700000000000017,109.08,106.91,75.98
Cal State Northridge,-0.4300000000000068,106.02,106.45,76.12
California,13.960000000000008,115.4,101.44,70.05
California Baptist,5.6000000000000085,105.51,99.91,68.0
Campbell,1.3200000000000074,111.4,110.08,70.89
Canisius,-19.720000000000013,93.32,113.04,64.79
Central Arkansas,2.780000000000001,110.83,108.05,71.12
Central Connecticut State,-6.88000000000001,105.66,112.54,66.33
Central Michigan,-7.689999999999998,104.66,112.35,69.15
Charleston Southern,-2.5799999999999983,106.49,109.07,75.69
Charlotte,0.23000000000000398,112.53,112.3,65.47
Chattanooga,-4.890000000000001,109.11,114.0,67.77
Chicago State,-20.900000000000006,96.91,117.81,66.14
Cincinnati,17.489999999999995,110.27,92.78,69.5
Clemson,20.540000000000006,117.59,97.05,65.66
Cleveland State,-12.049999999999997,109.92,121.97,71.41
Coastal Carolina,-4.6299999999999955,101.18,105.81,70.3
Colgate,-2.3700000000000045,109.1,111.47,68.07
College of Charleston,-0.5099999999999909,107.43,107.94,69.19
Colorado,12.700000000000003,119.02,106.32,70.74
Colorado State,13.019999999999996,120.11,107.09,64.58
Columbia,2.269999999999996,109.85,107.58,68.29
Connecticut,29.930000000000007,122.67,92.74,66.2
Coppin State,-29.85000000000001,90.21,120.06,69.68
