Team,Conference,Net,Offensive,Defensive,Possessions
Abilene Christian,WAC,-4.90,100.16,105.06,69.54
Air Force,MWC,-20.78,94.10,114.88,67.40
Akron,MAC,15.00,120.33,105.33,71.60
Alabama,SEC,34.11,134.01,99.90,74.66
Alabama A&M,SWAC,-16.21,98.21,114.42,68.08
Alabama State,SWAC,-16.81,96.28,113.09,71.72
Albany,America East,-13.49,102.05,115.54,66.63
Alcorn State,SWAC,-28.39,91.76,120.15,69.58
American,Patriot,-5.40,105.38,110.78,67.70
Appalachian State,Sun Belt,0.95,106.64,105.69,64.90
Arizona,Big 12,43.09,131.25,88.16,71.33
Arizona State,Big 12,15.41,117.15,101.74,70.55
Arkansas,SEC,32.17,132.66,100.49,73.57
Arkansas State,Sun Belt,0.48,109.33,108.85,73.53
Arkansas-Pine Bluff,SWAC,-15.73,101.22,116.95,72.63
Army,Patriot,-17.79,99.70,117.49,68.75
Auburn,SEC,25.79,129.20,103.41,69.55
Austin Peay,ASUN,1.21,109.35,108.14,71.16
Ball State,MAC,-9.80,98.36,108.16,66.54
Baylor,Big 12,24.56,125.96,101.40,69.83
Bellarmine,ASUN,-11.44,115.20,126.64,67.15
Belmont,MVC,13.27,117.74,104.47,70.86
Bethune-Cookman,SWAC,-11.49,100.09,111.58,71.91
Binghamton,America East,-27.35,94.32,121.67,66.71
Boise State,MWC,17.73,119.51,101.78,68.82
Boston College,ACC,4.23,104.40,100.17,67.24
Boston University,Patriot,-11.23,108.59,119.82,65.54
Bowling Green,MAC,6.85,109.12,102.27,72.62
Bradley,MVC,6.15,110.99,104.84,69.79
BYU,Big 12,29.57,127.81,98.24,70.71
Brown,Ivy League,-7.06,98.99,106.05,68.76
Bryant,America East,-23.55,92.96,116.51,65.99
Bucknell,Patriot,-21.79,95.53,117.32,67.82
Buffalo,MAC,-2.87,112.07,114.94,67.66
Butler,Big East,15.09,118.02,102.93,71.04
Cal Poly,Big West,-5.04,106.60,111.64,76.76
Cal State Bakersfield,Big West,-15.30,98.83,114.13,73.15
Cal State Fullerton,Big West,2.05,109.02,106.97,75.98
Cal State Northridge,Big West,-1.01,105.73,106.74,76.12
California,ACC,16.42,116.67,100.25,70.05
California Baptist,WAC,4.74,105.06,100.32,68.00
Campbell,CAA,1.16,111.32,110.16,70.89
Canisius,MAAC,-22.42,92.05,114.47,64.79
Central Arkansas,ASUN,0.94,109.87,108.93,71.12
Central Connecticut State,NEC,-10.57,103.78,114.35,66.33
Central Michigan,MAC,-8.69,104.17,112.86,69.15
Charleston Southern,Big South,-5.02,105.25,110.27,75.69
