Player,Team,Est_Possessions,O_BAPM,D_BAPM,Total_BAPM
Cooper Flagg,Duke,633.6,25.41,16.51,41.92
Kon Knueppel,Duke,815.4,24.44,16.96,41.4
Sion James,Duke,707.7,22.56,18.09,40.65
Khaman Maluach,Duke,569.0,23.18,17.32,40.5
Tyrese Proctor,Duke,719.1,23.14,17.23,40.37
Patrick Ngongba II,Duke,267.1,21.51,18.02,39.53
Mason Gillis,Duke,294.5,20.78,18.44,39.22
Isaiah Evans,Duke,328.7,21.03,18.16,39.19
Caleb Foster,Duke,198.6,20.56,18.43,38.99
Maliq Brown,Duke,101.4,19.66,18.91,38.57
Darren Harris,Duke,25.2,19.5,18.92,38.42
Spencer Hubbard,Duke,0.0,19.26,19.04,38.3
Neal Begovich,Duke,0.0,19.23,19.05,38.28
LJ Cryer,Houston,783.4,16.66,21.41,38.07
Emanuel Sharp,Houston,604.3,15.31,22.01,37.32
Milos Uzan,Houston,642.5,15.47,21.69,37.16
Joseph Tugler,Houston,419.4,14.03,23.06,37.09
J'Wan Roberts,Houston,500.7,14.52,22.11,36.63
Mylik Wilson,Houston,378.6,13.54,22.68,36.22
Ja'Vier Francis,Houston,318.3,13.48,22.59,36.07
Trey Galloway,Indiana,354.3,23.19,12.32,35.51
Terrance Arceneaux,Houston,350.3,11.92,23.54,35.46
Malik Reneau,Indiana,210.5,23.2,12.17,35.37
Luke Goode,Indiana,348.6,22.72,12.44,35.16
Oumar Ballo,Indiana,264.7,22.92,12.23,35.15
Anthony Leal,Indiana,314.8,22.33,12.67,35.0
Mercy Miller,Houston,43.6,11.26,23.64,34.9
Cedric Lath,Houston,14.0,11.13,23.68,34.81
Mackenzie Mgbako,Indiana,260.1,21.58,12.8,34.38
Myles Rice,Indiana,256.0,20.83,13.12,33.95
Kanaan Carlyle,Indiana,91.6,19.6,13.66,33.26
Langdon Hatton,Indiana,7.4,18.9,13.99,32.89
Bryson Tucker,Indiana,8.4,18.84,14.0,32.84
Graham Ike,Gonzaga,416.1,21.01,10.8,31.81
Richie Saunders,BYU,575.6,24.06,7.73,31.79
Khalif Battle,Gonzaga,478.4,19.8,11.7,31.5
Ryan Nembhard,Gonzaga,548.7,19.04,11.82,30.86
Keba Keita,BYU,408.9,22.17,8.68,30.85
Walter Clayton Jr.,Florida,916.3,20.05,10.78,30.83
Nolan Hickman,Gonzaga,482.4,18.84,11.96,30.8
Braden Huff,Gonzaga,237.6,18.07,12.37,30.44
Mark Sears,Alabama,691.7,20.29,10.11,30.4
Egor Demin,BYU,490.1,21.05,9.07,30.12
Will Richard,Florida,843.1,18.54,11.39,29.93
Fousseyni Traore,BYU,268.9,20.63,9.29,29.92
Dallin Hall,BYU,383.2,20.57,9.35,29.92
Michael Ajayi,Gonzaga,214.1,17.3,12.59,29.89
Trevin Knell,BYU,386.6,20.39,9.44,29.83
Clifford Omoruyi,Alabama,433.6,18.96,10.86,29.82
Labaron Philon Jr.,Alabama,753.5,18.96,10.82,29.78
Ben Gregg,Gonzaga,296.0,17.11,12.63,29.74
Thomas Haugh,Florida,723.0,18.99,10.75,29.74
