Player,Team,O_BAPM,D_BAPM,Total_BAPM
Sion James,Duke,2.64,2.65,5.29
Kon Knueppel,Duke,2.76,2.19,4.95
Joseph Tugler,Houston,0.8,3.33,4.13
Cooper Flagg,Duke,2.61,1.45,4.06
Tyrese Proctor,Duke,2.85,0.89,3.74
Hayden Gray,UC San Diego,0.97,2.56,3.53
LJ Cryer,Houston,1.18,2.34,3.52
Khalif Battle,Gonzaga,2.25,1.1,3.35
Drake Powell,North Carolina,2.01,1.28,3.29
Kadary Richmond,St John's,1.69,1.55,3.24
Aniwaniwa Tait-Jones,UC San Diego,0.87,2.37,3.24
Mason Gillis,Duke,2.36,0.77,3.13
Brandon Murray,McNeese,1.42,1.71,3.13
Nique Clifford,Colorado St,1.95,1.16,3.11
Khaman Maluach,Duke,2.04,0.97,3.01
Walter Clayton Jr.,Florida,2.03,0.97,3.0
Kyan Evans,Colorado St,1.58,1.34,2.92
Denver Jones,Auburn,0.96,1.92,2.88
Jayden Williams,Dartmouth,1.47,1.4,2.87
Terry Anderson,High Point,1.75,1.12,2.87
Will Richard,Florida,2.02,0.84,2.86
Nolan Hickman,Gonzaga,2.03,0.82,2.85
Emanuel Sharp,Houston,1.3,1.54,2.84
Jurian Dixon,UC Irvine,1.58,1.21,2.79
Henri Veesaar,Arizona,2.21,0.52,2.73
Trey Galloway,Indiana,1.85,0.87,2.72
Jamal Fuller,Long Island,1.03,1.69,2.72
Kwame Evans Jr.,Oregon,1.11,1.56,2.67
Zuby Ejiofor,St John's,1.42,1.23,2.65
Izaiyah Nelson,Arkansas St,1.87,0.78,2.65
Ahmet Jonovic,Bradley,0.67,1.97,2.64
Jaylen Crocker-Johnson,Colorado St,0.77,1.87,2.64
Anthony Leal,Indiana,1.63,0.97,2.6
Nordin Kapic,UC San Diego,0.38,2.22,2.6
Ray Harrison,Grand Canyon,1.41,1.18,2.59
Ryan Nembhard,Gonzaga,1.76,0.82,2.58
Yaphet Moundi,Iona,1.52,1.05,2.57
Jared Billups,George Mason,0.07,2.48,2.55
Milos Uzan,Houston,1.85,0.68,2.53
Yaxel Lendeborg,UAB,2.4,0.13,2.53
Isaiah Gray,Akron,1.26,1.27,2.53
Te'Jon Sawyer,Montana,2.05,0.47,2.52
Derik Queen,Maryland,1.4,1.11,2.51
Jaylin Stewart,UConn,1.68,0.83,2.51
Bryant Selebangue,McNeese,0.8,1.67,2.47
Tarris Reed Jr.,UConn,1.55,0.92,2.47
Davion Everett,SC State,2.08,0.38,2.46
Devin Tillis,UC Irvine,1.12,1.34,2.46
Shannon Grant,Jackson St,1.14,1.31,2.45
Myles Rigsby,Troy,0.58,1.87,2.45
Brycen Goodine,Oklahoma,2.37,0.08,2.45
Quinn Denker,N Colorado,2.13,0.32,2.45
Ven-Allen Lubin,North Carolina,1.52,0.92,2.44
Bradley Ezewiro,UAB,0.86,1.56,2.42
Anthony Robinson II,Missouri,2.32,0.07,2.39
Jaden Walker,Texas A&M-CC,1.61,0.77,2.38
Jaron Rillie,N Colorado,1.41,0.97,2.38
DeShawn Harris-Smith,Maryland,0.57,1.78,2.35
Deivon Smith,St John's,0.89,1.45,2.34
Abdoulaye Thiam,High Point,1.69,0.62,2.31
Nolan Winter,Wisconsin,1.09,1.22,2.31
Daniel Ortiz,North Alabama,1.9,0.41,2.31
Mari Jordan,Tulane,2.06,0.25,2.31
Javohn Garcia,McNeese,1.22,1.08,2.3
Josh Bascoe,Bucknell,1.12,1.18,2.3
Bobby Pettiford,High Point,1.22,1.07,2.29
Tayton Conerway,Troy,1.07,1.2,2.27
Luke Goode,Indiana,1.75,0.52,2.27
RJ Davis,North Carolina,1.19,1.08,2.27
Kehlin Farooq,Texas Southern,0.36,1.9,2.26
Nate Bittle,Oregon,1.06,1.19,2.25
Marquis Barnett,Kent State,1.01,1.23,2.24
Rodney Rice,Maryland,1.51,0.72,2.23
John Blackwell,Wisconsin,1.21,1.0,2.21
