Rank,Team,EFG%,Last 3,Last 1,Home,Away,2024
1,Belmont,61.00%,62.20%,52.30%,62.80%,59.60%,54.80%
2,Saint Louis,59.70%,57.30%,52.50%,63.70%,55.20%,56.30%
3,Bellarmine,59.40%,62.80%,60.60%,62.60%,56.90%,53.70%
4,Liberty,59.10%,49.70%,44.70%,62.20%,56.90%,57.80%
5,St Thomas,58.90%,49.40%,42.00%,61.10%,57.40%,57.80%
6,Michigan,58.80%,58.90%,56.50%,61.40%,57.10%,53.80%
7,Miami OH,58.60%,53.10%,41.70%,59.40%,58.00%,55.40%
8,Cornell,58.50%,62.20%,51.40%,56.30%,59.60%,58.70%
9,Akron,58.20%,50.80%,47.40%,62.10%,55.60%,54.90%
10,Purdue,57.60%,51.70%,44.40%,59.60%,56.10%,55.90%
11,Boston U,57.50%,58.20%,38.70%,61.00%,54.90%,50.20%
12,Colorado St,57.50%,44.80%,42.20%,57.90%,57.00%,55.50%
13,Duke,56.70%,59.50%,58.30%,58.00%,55.70%,57.90%
14,Louisville,56.50%,56.70%,51.60%,58.50%,54.50%,53.20%
15,Queens,56.40%,56.50%,51.50%,61.80%,53.10%,52.80%
16,Arkansas,56.40%,55.60%,51.50%,59.60%,53.80%,52.20%
17,Iowa,56.40%,57.70%,50.00%,57.20%,55.50%,56.70%
18,Utah St,56.30%,50.60%,45.30%,58.10%,55.00%,55.30%
19,Ohio St,56.20%,50.60%,47.40%,60.00%,52.50%,53.50%
20,Iowa St,56.20%,53.20%,43.50%,59.20%,53.70%,54.90%
21,Texas Tech,56.10%,50.60%,37.70%,56.20%,56.00%,54.70%
22,Indiana,56.10%,59.70%,51.10%,58.90%,52.50%,51.10%
23,Montana,55.80%,56.30%,46.30%,56.30%,55.50%,56.00%
24,N Colorado,55.70%,54.20%,50.70%,55.50%,55.90%,57.00%
25,Gonzaga,55.60%,50.30%,48.30%,58.40%,53.80%,56.00%
26,Yale,55.60%,51.70%,43.30%,56.80%,54.80%,54.70%
26,SMU,55.60%,52.30%,51.50%,57.90%,53.00%,54.50%
28,Tulsa,55.60%,51.40%,51.70%,55.90%,55.40%,49.50%
29,Nebraska,55.50%,56.60%,52.60%,55.30%,55.80%,52.10%
30,Buffalo,55.40%,57.70%,55.60%,55.80%,55.10%,48.80%
31,Vanderbilt,55.30%,52.00%,52.60%,56.30%,54.50%,51.50%
32,Miami,55.30%,47.80%,48.40%,58.10%,52.30%,51.90%
33,E Tennessee St,55.30%,57.40%,51.00%,56.50%,54.10%,50.20%
34,Alabama,55.20%,53.70%,46.40%,56.40%,54.40%,56.60%
35,Missouri,55.10%,49.40%,43.90%,57.70%,51.80%,55.80%
36,NC State,55.00%,53.90%,44.10%,54.70%,55.30%,48.30%
37,Providence,55.00%,57.60%,49.10%,56.40%,53.60%,52.10%
38,Utah Valley,54.90%,51.30%,51.70%,56.80%,53.60%,50.60%
39,Robert Morris,54.90%,57.40%,50.90%,56.20%,53.70%,51.20%
40,Green Bay,54.90%,56.70%,54.70%,56.60%,53.90%,50.90%
41,Marshall,54.80%,60.50%,53.30%,57.40%,52.00%,49.90%
42,Furman,54.80%,58.80%,54.30%,53.20%,55.80%,53.70%
43,UT Rio Grande,54.80%,59.40%,52.50%,50.40%,57.80%,51.70%
44,UConn,54.80%,48.90%,45.20%,55.30%,54.40%,55.00%
45,Oklahoma,54.80%,49.00%,56.70%,57.50%,52.40%,54.40%
46,Arizona,54.70%,52.40%,40.80%,57.00%,52.90%,53.30%
47,Illinois,54.70%,46.90%,39.30%,56.50%,53.10%,52.40%
48,UCSB,54.70%,50.90%,44.40%,58.70%,51.50%,54.60%
49,Washington St,54.70%,48.20%,44.70%,59.10%,50.50%,56.60%
50,Virginia,54.60%,54.00%,47.80%,57.50%,52.10%,52.70%
51,Toledo,54.50%,59.90%,58.90%,55.60%,53.80%,50.50%
52,High Point,54.50%,52.60%,52.00%,55.80%,53.50%,56.30%
53,Wisconsin,54.50%,51.80%,54.60%,56.20%,52.90%,53.80%
54,Santa Clara,54.40%,50.20%,49.30%,53.70%,55.00%,56.00%
55,BYU,54.40%,48.80%,46.40%,56.10%,53.20%,57.00%
56,G Washington,54.40%,50.00%,42.70%,54.10%,54.70%,50.60%
57,Wright St,54.30%,52.80%,51.60%,52.90%,55.50%,56.30%
58,North Carolina,54.30%,52.20%,47.10%,56.60%,51.60%,54.10%
59,William & Mary,54.30%,51.40%,40.20%,56.80%,52.90%,53.70%
60,Chattanooga,54.20%,58.40%,65.30%,52.60%,55.40%,56.20%
61,Georgia,54.20%,49.00%,41.70%,55.80%,52.10%,52.10%
62,Cleveland St,54.20%,53.90%,40.50%,55.60%,53.20%,49.50%
63,Florida,54.10%,60.40%,56.50%,53.50%,54.70%,54.90%
64,UMBC,54.10%,57.70%,59.80%,53.20%,55.00%,55.20%
65,Texas,54.10%,56.60%,61.60%,55.10%,53.10%,52.60%
66,Charleston So,54.10%,57.80%,48.50%,57.50%,52.00%,48.70%
67,Lipscomb,54.10%,50.30%,46.00%,56.60%,52.30%,55.60%
