Rank,team,turnover,Last 3,Last 1,Home,Away,2024
1,McNeese,23.80%,22.40%,19.40%,26.60%,21.80%,21.20%
2,Tarleton St,22.80%,18.10%,19.00%,23.80%,22.10%,22.80%
3,Abl Christian,22.80%,20.70%,22.30%,26.10%,20.90%,23.50%
4,Iowa St,22.10%,24.20%,24.50%,22.70%,21.50%,21.20%
5,Seton Hall,20.90%,16.10%,18.80%,23.10%,18.60%,21.70%
6,Utah Valley,20.80%,20.00%,24.30%,22.50%,19.60%,16.50%
7,High Point,20.80%,12.80%,8.80%,24.20%,18.00%,16.00%
8,N Texas,20.70%,19.90%,19.00%,19.50%,21.70%,19.00%
9,Seattle,20.70%,20.20%,13.30%,22.60%,18.80%,20.40%
10,Rhode Island,20.60%,18.90%,1.60%,22.70%,18.60%,15.70%
11,Dayton,20.60%,17.90%,23.50%,21.90%,19.30%,17.30%
12,Grambling,20.30%,21.10%,18.10%,21.00%,20.00%,18.00%
13,Howard,20.10%,15.60%,13.90%,21.40%,19.40%,16.10%
14,Nicholls,20.00%,18.10%,19.30%,21.30%,19.40%,16.20%
15,Houston,19.90%,14.70%,14.40%,24.60%,16.40%,20.20%
16,Iowa,19.90%,15.80%,13.80%,22.20%,17.60%,17.60%
17,Merrimack,19.90%,25.00%,21.50%,20.10%,19.80%,22.70%
18,San Diego St,19.90%,15.90%,9.10%,21.20%,18.70%,19.00%
19,Utah St,19.70%,16.80%,16.20%,18.00%,20.80%,19.50%
20,Saint Peter's,19.60%,16.90%,18.20%,20.80%,18.50%,17.20%
21,Gonzaga,19.60%,12.60%,7.60%,22.90%,17.30%,17.50%
22,UT Martin,19.50%,21.40%,24.00%,20.50%,18.90%,18.50%
23,Florida Intl,19.50%,18.70%,18.00%,20.50%,18.40%,19.90%
24,Santa Clara,19.50%,14.30%,14.50%,21.10%,18.30%,16.30%
25,Monmouth,19.50%,24.10%,16.30%,22.50%,17.50%,16.20%
26,NC Central,19.50%,21.30%,15.70%,21.80%,18.30%,20.60%
27,Chicago St,19.30%,21.50%,17.80%,20.80%,18.70%,17.70%
28,Longwood,19.30%,18.60%,16.70%,20.10%,18.70%,20.30%
29,UC Davis,19.30%,20.50%,20.10%,19.70%,19.00%,21.30%
30,Tennessee St,19.30%,16.30%,13.70%,19.90%,19.00%,16.90%
31,Illinois Chicago,19.20%,18.30%,21.90%,20.90%,18.20%,15.40%
32,Delaware St,19.10%,15.90%,12.20%,21.40%,18.00%,19.60%
33,TCU,19.10%,16.20%,24.20%,20.30%,17.70%,19.00%
34,Marist,19.10%,18.80%,13.40%,19.80%,18.40%,16.00%
35,CS Fullerton,19.00%,21.60%,22.40%,20.20%,18.30%,15.70%
36,North Dakota,19.00%,17.10%,16.80%,19.40%,18.70%,14.70%
37,Maine,18.90%,17.80%,23.80%,18.70%,18.90%,21.50%
38,E Illinois,18.80%,17.00%,15.90%,18.90%,18.80%,20.20%
