Rank,Team,oRB%,Last 3,Last 1,Home,Away,2024
1,Tennessee,44.10%,38.80%,35.40%,49.30%,39.90%,33.80%
2,Florida,43.00%,44.00%,23.80%,48.90%,37.70%,37.50%
3,Illinois,38.80%,37.20%,32.40%,40.40%,37.40%,35.00%
4,Arizona,38.20%,37.20%,34.50%,39.70%,37.10%,34.80%
5,Arkansas St,37.80%,37.00%,47.50%,37.70%,37.80%,32.50%
6,Wichita St,37.20%,32.40%,29.70%,37.10%,37.30%,29.90%
7,Virginia,36.80%,31.30%,32.40%,39.30%,34.60%,20.60%
8,Duke,36.80%,37.70%,34.80%,38.30%,35.70%,33.00%
9,Robert Morris,36.70%,37.20%,36.70%,37.80%,35.50%,34.70%
10,Michigan St,36.30%,26.00%,31.00%,39.70%,32.80%,33.80%
11,Saint Mary's,36.30%,33.30%,30.00%,40.90%,31.60%,38.40%
12,Saint Peter's,35.90%,38.10%,32.40%,34.90%,36.60%,34.80%
13,S Florida,35.80%,35.40%,38.60%,38.30%,34.00%,25.00%
14,Louisiana Tech,35.70%,42.60%,44.70%,36.60%,35.00%,27.50%
15,Cal Baptist,35.70%,28.30%,27.00%,38.00%,33.80%,32.30%
16,UT Martin,35.70%,28.40%,30.00%,36.00%,35.40%,32.50%
17,Purdue,35.00%,28.70%,27.00%,34.80%,35.10%,30.00%
18,Towson,34.80%,39.30%,40.60%,33.60%,35.50%,34.20%
19,Baylor,34.80%,27.00%,27.80%,36.00%,33.80%,33.90%
20,Fairfield,34.60%,38.50%,31.00%,32.70%,36.30%,27.10%
21,G Washington,34.60%,30.90%,25.00%,35.80%,33.70%,28.10%
22,Morehead St,34.60%,32.30%,22.20%,38.20%,33.00%,28.20%
23,Santa Clara,34.60%,28.70%,24.40%,37.40%,32.40%,31.10%
24,Auburn,34.50%,25.60%,28.60%,35.30%,33.90%,33.20%
25,Miami,34.40%,32.70%,38.70%,35.50%,33.30%,26.80%
26,NC Wilmington,34.40%,34.20%,26.50%,34.50%,34.30%,34.40%
27,Illinois Chicago,34.20%,32.90%,25.90%,32.60%,35.10%,26.50%
28,Lamar,34.20%,34.00%,34.90%,33.20%,35.00%,33.40%
29,Texas,34.10%,32.30%,35.50%,35.90%,32.50%,28.70%
30,Gonzaga,34.10%,34.40%,21.40%,32.80%,34.90%,30.30%
31,Longwood,33.90%,43.20%,50.00%,36.60%,32.10%,30.60%
32,Michigan,33.90%,29.90%,25.90%,34.90%,33.20%,31.40%
33,Houston,33.80%,27.80%,17.60%,36.30%,32.00%,36.10%
34,New Orleans,33.60%,35.10%,41.20%,34.30%,33.30%,28.00%
35,Rice,33.60%,38.80%,40.00%,35.00%,32.30%,31.60%
36,UConn,33.50%,25.00%,24.40%,32.70%,34.10%,34.60%
37,Kennesaw St,33.50%,34.00%,31.40%,33.00%,33.80%,30.60%
38,Seton Hall,33.50%,30.70%,35.30%,36.80%,29.60%,28.70%
39,Kent St,33.50%,28.70%,20.50%,33.90%,33.20%,33.90%
40,McNeese,33.50%,31.90%,30.80%,35.80%,31.90%,33.70%
41,Hofstra,33.40%,38.80%,27.80%,35.80%,32.30%,23.50%
42,W Carolina,33.30%,44.80%,35.30%,34.90%,32.40%,24.30%
43,Fordham,33.30%,30.20%,11.10%,34.20%,32.00%,30.20%
44,LIU,33.10%,24.00%,21.70%,34.70%,32.10%,30.70%
45,Memphis,33.10%,34.70%,34.30%,33.80%,32.50%,34.10%
46,UCF,33.10%,33.80%,44.20%,36.50%,29.40%,29.50%
47,UT Arlington,33.10%,32.40%,22.20%,35.70%,31.60%,30.90%
48,Washington,33.10%,36.50%,54.30%,33.90%,32.30%,25.90%
49,Sam Houston,33.00%,38.30%,31.40%,31.60%,33.70%,28.10%
50,Quinnipiac,33.00%,31.30%,36.40%,36.50%,29.80%,31.80%
51,St John's,32.90%,26.70%,24.20%,34.80%,31.20%,36.30%
52,SMU,32.80%,36.60%,32.30%,32.20%,33.30%,33.80%
53,Iowa St,32.70%,29.60%,16.10%,34.30%,31.60%,30.70%
54,Troy,32.60%,33.30%,20.70%,32.80%,32.50%,37.10%
55,Howard,32.60%,29.50%,16.70%,37.50%,30.40%,27.80%
56,Utah Valley,32.60%,27.80%,35.30%,34.00%,31.50%,28.90%
57,Wyoming,32.60%,37.00%,18.20%,33.00%,32.20%,27.60%
58,Georgia,32.50%,27.90%,24.40%,34.60%,30.10%,33.80%
59,Columbia,32.50%,35.00%,28.60%,34.70%,30.60%,23.60%
60,Akron,32.30%,26.50%,21.40%,32.70%,32.10%,30.80%
61,Tennessee St,32.30%,37.40%,31.30%,29.20%,33.80%,32.80%
62,Pacific,32.30%,33.00%,37.50%,33.80%,31.30%,26.40%
63,Florida Intl,32.20%,43.60%,48.40%,33.90%,30.40%,28.20%
64,Winthrop,32.20%,30.10%,34.00%,33.10%,31.70%,28.60%
65,BYU,32.20%,28.60%,18.50%,34.90%,30.20%,31.90%
66,Missouri,32.20%,24.00%,17.10%,33.70%,30.50%,32.40%
67,Texas Tech,32.10%,24.70%,26.50%,37.30%,27.00%,32.30%
68,Texas St,32.10%,29.80%,36.70%,32.60%,31.70%,32.30%
69,Kentucky,32.10%,22.80%,22.70%,34.00%,30.00%,26.30%
70,Yale,32.10%,41.70%,40.80%,34.50%,30.40%,30.20%
71,LSU,32.00%,27.60%,33.30%,36.10%,27.00%,26.90%
72,Charlotte,32.00%,38.40%,38.90%,34.20%,30.10%,22.70%
73,TCU,32.00%,27.70%,25.00%,34.00%,30.00%,30.90%
74,St Bonaventure,32.00%,27.90%,17.20%,32.60%,31.40%,25.50%
75,N Texas,31.90%,23.10%,20.00%,33.50%,30.80%,30.70%
76,Boise St,31.90%,42.00%,36.10%,31.20%,32.50%,31.10%
77,Murray St,31.90%,25.20%,18.20%,32.30%,31.50%,26.70%
78,SF Austin,31.80%,25.50%,36.10%,31.70%,32.00%,32.60%
79,Pittsburgh,31.70%,33.70%,20.00%,32.60%,30.60%,27.20%
80,Detroit Mercy,31.70%,29.00%,27.00%,32.90%,31.00%,29.70%
81,Mt St Mary's,31.70%,40.60%,44.70%,30.70%,32.30%,28.10%
82,Butler,31.70%,22.50%,12.90%,31.20%,32.20%,23.30%
83,Idaho St,31.60%,33.60%,25.80%,30.20%,32.50%,37.50%
84,Maryland,31.60%,32.90%,35.70%,32.80%,30.70%,28.60%
85,Louisville,31.60%,31.60%,27.80%,33.50%,29.60%,30.70%
86,E Kentucky,31.60%,29.30%,19.20%,35.80%,28.10%,31.00%
87,Presbyterian,31.50%,25.60%,22.60%,31.60%,31.40%,27.30%
88,Georgetown,31.40%,40.70%,29.60%,32.20%,30.70%,29.50%
89,UMass,31.40%,39.30%,33.30%,31.10%,31.60%,32.70%
90,Elon,31.40%,27.10%,37.50%,32.50%,30.40%,35.40%
91,Campbell,31.30%,32.90%,47.80%,30.90%,31.60%,22.40%
92,Oklahoma,31.30%,22.20%,17.20%,35.90%,27.50%,25.20%
93,Grand Canyon,31.20%,22.60%,20.70%,34.40%,27.60%,30.40%
94,New Mexico St,31.10%,34.30%,31.60%,30.40%,31.60%,31.00%
95,Lindenwood,31.10%,36.00%,40.00%,32.20%,30.60%,28.30%
96,N Dakota St,31.10%,20.40%,3.10%,33.10%,30.00%,24.60%
97,Mercer,30.90%,27.00%,27.80%,35.10%,28.30%,26.30%
98,Rider,30.90%,29.60%,18.20%,28.90%,32.30%,31.00%
99,Wright St,30.80%,25.30%,21.90%,33.30%,28.80%,25.70%
100,Milwaukee,30.80%,24.70%,20.50%,32.60%,29.70%,38.90%
101,La Salle,30.80%,35.60%,33.30%,33.70%,28.80%,27.50%
102,Utah St,30.80%,27.40%,19.40%,30.50%,31.00%,32.20%
103,Southern Miss,30.80%,34.80%,39.40%,30.50%,30.90%,24.90%
104,Oregon,30.80%,18.80%,20.00%,32.70%,28.60%,27.40%
105,Maryland ES,30.70%,47.30%,41.20%,35.60%,28.90%,25.10%
106,Nevada,30.70%,32.50%,28.00%,31.80%,29.50%,25.90%
107,Virginia Tech,30.60%,34.00%,47.10%,33.60%,27.20%,28.40%
108,VCU,30.60%,20.50%,27.90%,33.00%,28.40%,36.10%
109,App State,30.60%,37.20%,30.00%,28.20%,32.30%,24.70%
110,Navy,30.50%,34.80%,36.40%,30.50%,30.60%,29.60%
111,N Kentucky,30.50%,33.70%,35.10%,30.20%,30.80%,29.60%
112,Wagner,30.50%,30.80%,30.30%,28.40%,31.70%,30.10%
113,USC,30.40%,24.00%,22.20%,30.00%,30.80%,26.60%
114,Tulsa,30.40%,35.00%,31.30%,33.20%,27.90%,24.90%
115,UMass Lowell,30.40%,34.30%,37.50%,34.00%,28.20%,24.80%
116,Valparaiso,30.30%,27.60%,29.70%,30.70%,29.90%,25.20%
117,Marshall,30.20%,25.90%,32.40%,30.80%,29.60%,31.00%
118,Florida Atlantic,30.20%,26.70%,17.20%,29.70%,30.60%,28.30%
119,Jacksonville,30.20%,42.00%,37.50%,29.40%,30.60%,33.00%
120,Siena,30.20%,33.70%,26.50%,33.20%,28.50%,27.60%
121,High Point,30.20%,21.50%,21.60%,32.00%,28.80%,32.20%
122,Alabama St,30.20%,29.80%,29.30%,34.30%,28.70%,25.60%
123,E Carolina,30.20%,37.50%,35.70%,32.20%,27.90%,32.60%
124,Stanford,30.10%,31.30%,31.60%,29.20%,31.20%,29.30%
125,UAB,30.10%,29.90%,26.50%,29.50%,30.70%,36.00%
126,Arkansas,30.00%,27.50%,22.60%,31.00%,29.20%,25.70%
127,Villanova,30.00%,25.80%,27.80%,32.10%,27.90%,28.20%
128,Alabama,30.00%,36.40%,21.10%,32.70%,27.80%,31.80%
129,Weber St,29.90%,24.40%,22.20%,32.60%,27.70%,21.80%
130,Albany,29.90%,38.70%,42.10%,32.40%,28.80%,29.40%
131,San Francisco,29.80%,32.30%,34.40%,31.50%,28.50%,27.90%
132,UCSB,29.80%,24.40%,24.30%,31.30%,28.60%,25.40%
133,Little Rock,29.70%,28.40%,30.20%,28.60%,30.40%,29.40%
134,Saint Joseph's,29.70%,27.40%,17.90%,28.50%,30.40%,28.20%
135,Incarnate Word,29.70%,18.30%,16.10%,31.30%,28.50%,31.90%
136,Norfolk St,29.60%,37.90%,43.80%,33.40%,27.60%,29.80%
137,S Illinois,29.60%,37.10%,48.80%,26.20%,32.00%,29.70%
138,Texas A&M,29.60%,26.30%,23.50%,30.70%,28.40%,39.70%
139,Providence,29.60%,22.80%,9.10%,32.70%,26.80%,30.80%
140,Drexel,29.50%,30.00%,30.30%,27.30%,31.30%,32.00%
141,W Kentucky,29.50%,27.50%,29.00%,29.30%,29.60%,21.10%
142,Southern,29.50%,34.00%,38.90%,29.50%,29.50%,32.20%
143,Rhode Island,29.50%,24.50%,26.70%,32.40%,26.80%,26.70%
144,Monmouth,29.40%,24.70%,18.20%,31.10%,28.30%,27.90%
145,NC A&T,29.40%,29.50%,30.00%,29.80%,29.20%,24.60%
146,W Georgia,29.30%,31.30%,26.30%,32.80%,26.80%,24.50%
147,S Carolina St,29.30%,32.60%,23.30%,28.70%,29.50%,33.50%
148,Notre Dame,29.30%,26.80%,15.00%,32.50%,25.70%,27.10%
