Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,School
1.0,Bradyn Hubbard,F,26,23,27.9,5.3,13.0,0.409,1.4,4.3,0.321,3.9,8.7,0.453,0.463,4.1,5.2,0.785,1.2,3.7,4.8,1.8,1.9,0.2,2.3,2.8,16.1,,Abilene Christian
2.0,Rich Smith,G,25,22,29.9,3.4,7.0,0.483,0.1,0.4,0.273,3.3,6.6,0.497,0.491,2.7,4.4,0.615,1.7,2.2,3.9,4.7,1.8,0.4,2.8,2.8,9.6,,Abilene Christian
3.0,Chilaydrien Newton,G,23,17,24.5,3.4,7.7,0.449,1.1,3.4,0.316,2.3,4.2,0.557,0.52,1.5,1.9,0.791,0.7,1.5,2.2,0.9,1.2,0.1,1.3,2.3,9.4,,Abilene Christian
4.0,Yaniel Rivera,G,22,15,24.3,2.2,6.3,0.345,1.5,4.5,0.343,0.6,1.8,0.35,0.468,1.1,1.5,0.706,0.2,1.3,1.5,2.5,1.2,0.2,1.5,1.1,7.0,,Abilene Christian
5.0,Zy Wright,G,26,4,16.8,2.1,4.8,0.435,0.7,2.0,0.358,1.3,2.7,0.493,0.512,1.3,1.5,0.875,1.0,1.4,2.4,0.7,0.5,0.2,0.9,1.4,6.2,,Abilene Christian
6.0,Cade Hornecker,C,26,13,16.1,2.2,4.9,0.449,0.1,0.7,0.167,2.1,4.2,0.495,0.461,0.9,1.5,0.632,1.2,2.2,3.4,1.2,0.5,0.5,1.3,1.7,5.4,,Abilene Christian
7.0,Joseph Scott,F,22,7,13.9,2.1,4.0,0.528,0.0,0.1,0.0,2.1,4.0,0.54,0.528,0.8,1.4,0.567,1.6,2.6,4.2,0.5,0.6,0.3,1.0,2.0,5.0,,Abilene Christian
8.0,Joseph Venzant,G,26,22,26.0,1.5,2.8,0.527,0.5,1.0,0.462,1.0,1.8,0.563,0.608,1.5,2.0,0.731,1.1,2.2,3.3,0.8,1.6,0.4,1.2,3.1,4.9,,Abilene Christian
9.0,Christian Alston,G,23,0,10.3,1.4,4.3,0.337,0.3,1.4,0.219,1.1,2.9,0.394,0.372,0.8,1.3,0.621,0.6,1.1,1.7,0.4,0.4,0.3,0.9,1.0,4.0,,Abilene Christian
10.0,Isaac Dye,G,20,0,8.5,1.0,2.7,0.37,0.8,2.3,0.348,0.2,0.4,0.5,0.519,0.4,0.5,0.8,0.4,0.7,1.1,0.4,0.2,0.2,0.3,1.1,3.2,,Abilene Christian
11.0,Ma'Shy Hill,F,26,7,10.2,1.2,2.1,0.582,0.0,0.0,,1.2,2.1,0.582,0.582,0.4,0.8,0.455,0.5,1.2,1.7,0.2,0.0,0.4,0.8,1.5,2.8,,Abilene Christian
12.0,Isaiah Carrillo,G,10,0,4.3,0.4,1.0,0.4,0.1,0.4,0.25,0.3,0.6,0.5,0.45,0.1,0.2,0.5,0.1,0.4,0.5,0.3,0.3,0.0,0.2,0.3,1.0,,Abilene Christian
13.0,Tylan LEWIS,G,21,0,5.0,0.3,0.9,0.316,0.0,0.1,0.0,0.3,0.8,0.353,0.316,0.0,0.2,0.25,0.2,0.4,0.6,0.5,0.2,0.1,0.4,1.0,0.6,,Abilene Christian
,Team Totals,,26,26,201.0,24.7,56.8,0.434,6.0,18.6,0.322,18.7,38.2,0.489,0.487,14.7,21.1,0.699,12.2,20.6,32.8,13.7,9.7,3.0,14.5,20.5,70.1,,Abilene Christian
1.0,Lucas Hobin,F,26,19,28.2,3.5,9.4,0.371,2.3,6.9,0.328,1.2,2.5,0.492,0.492,2.5,3.1,0.825,0.3,1.8,2.0,0.7,0.4,0.2,1.5,2.2,11.8,,Air Force
2.0,Kam Sanders,G,26,26,29.5,3.4,9.3,0.368,1.3,3.7,0.351,2.1,5.6,0.379,0.438,3.5,4.6,0.756,0.3,3.8,4.1,3.6,1.0,0.1,2.2,2.1,11.6,,Air Force
3.0,Caleb Walker,F,19,6,22.5,4.5,6.3,0.717,0.0,0.1,0.0,4.5,6.3,0.723,0.717,2.3,4.6,0.506,1.8,3.5,5.4,0.8,0.4,0.6,1.7,1.9,11.4,,Air Force
4.0,Eli Robinson,F,25,25,28.1,3.2,6.6,0.482,0.5,1.2,0.4,2.7,5.4,0.5,0.518,0.8,1.0,0.731,1.4,3.6,5.0,1.7,1.2,0.4,1.7,2.3,7.6,,Air Force
5.0,Ethan Greenberg,G,26,23,26.0,2.3,6.2,0.373,1.7,4.7,0.352,0.7,1.5,0.436,0.506,0.6,0.9,0.652,0.4,1.9,2.3,1.1,0.9,0.1,1.2,1.1,6.8,,Air Force
6.0,William Dering,F,9,0,15.0,2.7,4.2,0.632,0.2,0.3,0.667,2.4,3.9,0.629,0.658,1.0,1.7,0.6,1.3,1.8,3.1,0.0,0.6,0.6,0.7,1.8,6.6,,Air Force
7.0,Wesley Celichowski,C,26,23,19.7,1.8,4.6,0.383,0.3,2.0,0.135,1.5,2.6,0.574,0.413,0.9,1.7,0.535,0.4,1.8,2.2,1.3,0.3,0.5,1.1,2.5,4.7,,Air Force
8.0,Kyle Marshall,G,4,0,16.3,1.8,4.3,0.412,0.0,0.5,0.0,1.8,3.8,0.467,0.412,0.0,0.8,0.0,1.3,1.5,2.8,2.0,0.5,0.3,0.3,1.3,3.5,,Air Force
