Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating
Jason Jakstys,Illinois Fighting Illini,5,30.6,127.5,29.4,74.8,52.7
Todd Bieg,Lindenwood Lions,4,32.5,110.6,30.3,66.1,44.5
Mathieu Grujicic,Ohio State Buckeyes,5,25.3,126.4,25.8,85.3,41.1
Nigel Walls,Smu Mustangs,6,34.8,106.5,34.7,66.3,40.2
Aram Soqui Urbano,Fresno State Bulldogs,4,29.0,124.0,26.1,84.4,39.7
Cedric Lath,Houston Cougars,6,69.9,111.6,66.3,72.4,39.2
Jordan Tillery,Vcu Rams,7,80.3,115.8,78.1,78.1,37.7
Shane Thomas,Creighton Bluejays,7,29.2,123.4,30.3,85.7,37.7
Alex Lloyd,Florida Gators,4,36.7,95.4,38.7,59.4,35.9
Mouhamed Sow,Rhode Island Rams,5,148.7,113.0,147.3,78.1,34.9
Declan Duru Jr.,Texas Longhorns,9,66.7,101.9,67.2,67.0,34.9
Tyler Medaris,Utah Valley Wolverines,5,29.3,85.3,29.8,50.3,34.9
Motiejus Krivas,Arizona Wildcats,25,1050.4,108.5,1064.9,75.2,33.3
Jalen Warley,Gonzaga Bulldogs,27,863.7,110.2,878.7,78.0,32.3
Filip Jovic,Auburn Tigers,3,185.3,112.8,183.3,80.7,32.1
Tasman Goodrick,Siena Saints,9,330.0,120.6,322.0,88.5,32.1
Ivan Kharchenkov,Arizona Wildcats,25,1033.2,111.6,1047.3,80.2,31.4
Yaxel Lendeborg,Michigan Wolverines,25,1177.3,109.4,1156.8,78.6,30.8
Kevin Gad,Saint Mary'S Gaels,6,84.0,114.3,83.8,83.5,30.8
Jacob Wassler,Bellarmine Knights,13,191.8,115.8,215.9,85.2,30.6
Luke Northweather,Missouri Tigers,18,387.4,112.0,381.6,81.5,30.5
Connor Essegian,Nebraska Cornhuskers,7,157.4,104.2,152.9,73.9,30.3
Koa Peat,Arizona Wildcats,25,1103.2,110.7,1102.0,80.6,30.1
Kody Clancy,Ball State Cardinals,3,28.7,111.3,30.8,81.3,30.0
Dwayne Koroma,Uconn Huskies,8,106.2,96.1,104.4,66.1,30.0
Jaden Bradley,Arizona Wildcats,25,1226.9,108.4,1228.3,78.5,29.9
Emmanuel Innocenti,Gonzaga Bulldogs,27,826.0,109.7,835.0,80.0,29.7
Jerry Deng,Nc State Wolfpack,6,102.0,115.6,105.8,86.0,29.6
Adam Miller,Gonzaga Bulldogs,27,767.1,110.5,756.0,81.1,29.5
Will Tschetter,Michigan Wolverines,25,523.9,111.1,515.4,81.7,29.4
C.J. Cox,Purdue Boilermakers,25,877.3,114.6,885.5,85.1,29.4
Morez Johnson Jr.,Michigan Wolverines,25,995.5,107.2,981.9,78.0,29.2
Brayden Burries,Arizona Wildcats,25,1166.9,110.3,1170.8,81.4,28.9
Killyan Toure,Iowa State Cyclones,25,985.2,106.3,972.5,77.4,28.8
Trey McKenney,Michigan Wolverines,25,740.3,109.2,730.0,80.4,28.7
Jax Kerr,Saint Louis Billikens,7,26.9,100.6,27.8,71.9,28.6
Tyon Grant-Foster,Gonzaga Bulldogs,27,874.6,110.6,877.4,82.1,28.5
Dame Sarr,Duke Blue Devils,25,801.0,103.3,797.6,75.1,28.2
Tae Simmons,San Diego State Aztecs,21,410.1,108.3,408.7,80.2,28.0
Chris Cenac Jr.,Houston Cougars,25,943.9,105.5,940.3,77.5,28.0
Robert Vaihola,Minnesota Golden Gophers,5,141.2,104.8,148.2,76.9,27.9
Mister Dean,Charleston Cougars,3,93.4,102.8,90.6,75.1,27.8
Emeka Opurum,Auburn Tigers,5,84.8,104.9,79.1,77.1,27.8
Ethan Burg,Tennessee Volunteers,16,233.3,99.9,243.8,72.2,27.7
Trent Edwards,Morgan State Bears,2,44.0,111.3,46.6,83.7,27.6
Federiko Federiko,Texas A&M Aggies,23,298.4,109.6,319.0,82.1,27.5
Graham Ike,Gonzaga Bulldogs,23,1083.2,111.3,1062.0,83.9,27.4
Oscar Cluff,Purdue Boilermakers,25,844.7,114.0,848.3,86.8,27.2
Travis Torain,Austin Peay Governors,13,220.4,109.8,237.4,82.6,27.2
Nimari Burnett,Michigan Wolverines,25,813.6,109.3,796.1,82.2,27.1
Caden Miller,High Point Panthers,14,141.8,106.5,139.5,79.6,27.0
Mario Saint-Supery,Gonzaga Bulldogs,24,783.2,108.5,759.2,81.7,26.9
Anthony Dell'Orso,Arizona Wildcats,25,802.9,108.6,803.8,81.9,26.8
Joseph Tugler,Houston Cougars,25,806.9,102.0,786.2,75.2,26.8
J.P. Estrella,Tennessee Volunteers,22,574.3,110.0,572.6,83.5,26.6
Kur Teng,Michigan State Spartans,25,643.3,104.0,638.3,77.4,26.6
Patrick Ngongba II,Duke Blue Devils,24,840.6,103.0,854.4,76.5,26.5
Elliot Cadeau,Michigan Wolverines,25,1030.0,107.6,1017.4,81.3,26.3
Fletcher Loyer,Purdue Boilermakers,25,1106.7,110.5,1086.4,84.3,26.2
Kellen Thames,Saint Louis Billikens,22,642.2,106.2,645.1,80.0,26.2
Cayden Boozer,Duke Blue Devils,25,733.9,105.9,722.4,79.7,26.1
Blake Buchanan,Iowa State Cyclones,25,884.2,105.9,868.2,79.7,26.1
L.J. Cason,Michigan Wolverines,24,665.1,108.6,659.0,82.7,25.9
Brandon Lee,Illinois Fighting Illini,13,75.0,97.4,72.7,71.5,25.8
Braden Huff,Gonzaga Bulldogs,18,765.5,108.3,738.6,82.6,25.7
Doctor Bradley,Bethune-Cookman Wildcats,8,283.4,103.4,282.0,77.7,25.7
Braeden Smith,Gonzaga Bulldogs,27,752.5,107.0,745.7,81.4,25.6
Michelangelo Oberti,Pennsylvania Quakers,3,33.9,106.4,33.4,80.9,25.5
Jordan Gabriel,Marist Red Foxes,17,166.6,102.0,165.8,76.6,25.5
Isaiah Evans,Duke Blue Devils,25,1080.2,105.1,1086.7,79.7,25.4
Brady Dunlap,Saint Louis Billikens,23,659.6,108.8,647.0,83.6,25.2
Joshua Jefferson,Iowa State Cyclones,25,1193.8,105.0,1154.2,79.9,25.2
Jalen Reed,Lsu Tigers,6,185.8,106.6,174.3,81.5,25.1
Dwayne Aristode,Arizona Wildcats,24,503.3,106.1,506.5,81.0,25.1
Aday Mara,Michigan Wolverines,25,922.3,105.2,917.1,80.3,24.9
Ishan Sharma,Saint Louis Billikens,24,844.7,109.2,835.6,84.3,24.9
Jamarion Batemon,Iowa State Cyclones,25,471.1,102.1,459.2,77.3,24.8
Tyler Mrus,Byu Cougars,18,297.0,113.1,307.6,88.4,24.7
Davion Hannah,Alabama Crimson Tide,10,168.1,106.5,181.0,81.8,24.7
Steele Venters,Gonzaga Bulldogs,26,633.4,108.5,620.1,83.9,24.6
Milan Momcilovic,Iowa State Cyclones,25,1112.0,103.7,1093.7,79.1,24.6
Zvonimir Ivisic,Illinois Fighting Illini,25,670.7,108.7,683.8,84.2,24.5
Davis Fogle,Gonzaga Bulldogs,18,324.3,106.7,321.1,82.2,24.5
Cam Cole,Navy Midshipmen,25,667.1,103.4,673.1,79.0,24.4
Khani Rooths,Louisville Cardinals,21,535.3,104.8,544.5,80.4,24.4
Mercy Miller,Houston Cougars,23,256.1,104.7,245.4,80.3,24.4
Clyde Bailey II,Unc Greensboro Spartans,5,53.1,94.1,47.3,69.8,24.3
Gavin Walsh,Unc Wilmington Seahawks,13,524.1,107.6,517.1,83.5,24.1
Emanuel Sharp,Houston Cougars,25,1138.7,102.2,1114.0,78.2,24.0
Davi Remagen,Georgia Tech Yellow Jackets,11,174.2,98.2,177.9,74.2,24.0
Peitok Machar,Mcneese Cowboys,23,425.4,109.5,434.5,85.6,23.9
Leon Horner,Texas Tech Red Raiders,13,218.6,110.3,217.6,86.4,23.9
Roddy Gayle Jr.,Michigan Wolverines,24,803.6,105.8,800.3,82.0,23.8
