Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced
Yaxel Lendeborg,Michigan Wolverines,40,1996.5,108.1,1945.7,82.5,25.5,510.1
Jaden Bradley,Arizona Wildcats,39,1954.8,109.0,1946.9,83.1,25.9,506.4
Motiejus Krivas,Arizona Wildcats,39,1647.2,108.4,1652.6,79.2,29.2,480.2
Cameron Boozer,Duke Blue Devils,38,1971.5,107.3,1954.0,83.1,24.2,477.5
Brayden Burries,Arizona Wildcats,39,1847.9,110.3,1851.0,84.5,25.8,476.6
Koa Peat,Arizona Wildcats,36,1607.3,110.4,1604.8,81.4,29.0,466.0
Ivan Kharchenkov,Arizona Wildcats,39,1725.7,110.2,1737.7,84.3,25.9,446.2
Isaiah Evans,Duke Blue Devils,38,1643.5,106.4,1651.9,82.3,24.1,395.9
Elliot Cadeau,Michigan Wolverines,40,1804.5,106.7,1783.8,84.8,21.9,395.5
Fletcher Loyer,Purdue Boilermakers,39,1788.6,111.1,1740.8,90.6,20.5,366.7
Graham Ike,Gonzaga Bulldogs,31,1539.3,107.7,1514.0,83.9,23.8,365.8
Aday Mara,Michigan Wolverines,40,1540.8,106.5,1509.3,83.1,23.4,360.9
Joshua Jefferson,Iowa State Cyclones,35,1648.1,102.8,1584.5,81.5,21.4,352.2
Jeremy Fears Jr.,Michigan State Spartans,35,1814.8,104.3,1802.9,85.1,19.2,347.9
Boogie Fland,Florida Gators,35,1690.6,109.3,1705.1,89.0,20.3,344.0
Dame Sarr,Duke Blue Devils,38,1353.2,105.3,1356.2,79.9,25.4,343.5
Thomas Haugh,Florida Gators,34,1874.5,107.1,1870.1,89.0,18.0,338.1
C.J. Cox,Purdue Boilermakers,39,1413.7,115.0,1398.3,91.4,23.6,333.9
Ja'Kobi Gillespie,Tennessee Volunteers,37,2029.3,106.0,2022.2,89.9,16.2,328.6
Morez Johnson Jr.,Michigan Wolverines,40,1664.7,103.6,1636.0,83.9,19.7,327.9
Alex Condon,Florida Gators,34,1678.5,107.4,1668.0,88.4,18.9,317.7
Braden Smith,Purdue Boilermakers,39,2059.9,109.3,2019.8,93.9,15.4,316.3
Emmanuel Innocenti,Gonzaga Bulldogs,35,1250.5,106.4,1262.5,81.1,25.3,315.8
Emanuel Sharp,Houston Cougars,37,1672.7,99.6,1629.0,80.7,18.9,315.7
Milan Momcilovic,Iowa State Cyclones,37,1707.7,101.0,1657.0,82.6,18.4,314.1
Jaxon Kohler,Michigan State Spartans,35,1548.3,103.9,1529.4,84.0,20.0,309.1
MJ Collins Jr.,Utah State Aggies,35,1743.8,106.4,1729.0,88.8,17.6,306.9
Xaivian Lee,Florida Gators,35,1585.8,105.4,1571.4,86.2,19.3,305.6
Trey Kaufman-Renn,Purdue Boilermakers,37,1589.2,112.1,1557.4,92.8,19.2,305.5
Cayden Boozer,Duke Blue Devils,38,1235.0,105.5,1235.6,80.9,24.6,303.4
Kingston Flemings,Houston Cougars,37,1738.1,101.7,1703.3,84.3,17.4,301.6
Trey McKenney,Michigan Wolverines,40,1314.9,107.9,1294.7,85.1,22.8,299.8
Killyan Toure,Iowa State Cyclones,37,1394.1,102.9,1370.0,81.4,21.5,299.4
Tyon Grant-Foster,Gonzaga Bulldogs,35,1154.3,108.2,1157.2,82.3,25.9,299.4
Rueben Chinyelu,Florida Gators,35,1389.1,106.9,1369.5,85.4,21.5,299.3
Jalen Warley,Gonzaga Bulldogs,33,1077.9,107.8,1095.5,80.1,27.7,299.1
Joshua Dent,Saint Mary'S Gaels,32,1840.8,102.2,1849.0,86.1,16.1,297.0
Pryce Sandfort,Nebraska Cornhuskers,35,1838.3,98.2,1846.1,82.1,16.1,296.4
Oscar Cluff,Purdue Boilermakers,39,1422.8,112.1,1413.0,91.4,20.7,294.0
DeSean Goode,Robert Morris Colonials,31,1501.7,116.2,1507.0,96.8,19.4,291.1
Milos Uzan,Houston Cougars,37,1779.4,97.3,1766.7,81.0,16.3,290.7
Flory Bidunga,Kansas Jayhawks,35,1791.4,99.0,1799.0,82.8,16.2,290.3
Chris Cenac Jr.,Houston Cougars,37,1411.0,101.3,1390.7,81.0,20.4,287.6
Robbie Avila,Saint Louis Billikens,34,1527.9,104.1,1509.6,85.5,18.7,285.4
Patrick Ngongba II,Duke Blue Devils,32,1079.5,105.1,1094.0,79.1,26.1,281.4
Terry Anderson,High Point Panthers,33,1593.6,107.1,1566.6,89.7,17.4,276.8
Henri Veesaar,North Carolina Tar Heels,31,1577.8,102.2,1563.3,84.7,17.5,275.7
Blake Buchanan,Iowa State Cyclones,37,1352.0,103.1,1330.2,82.9,20.2,272.9
Keaton Wagler,Illinois Fighting Illini,37,1898.9,104.6,1861.2,90.3,14.3,272.0
Caleb Foster,Duke Blue Devils,33,1211.7,106.5,1203.5,84.3,22.1,268.1
Joseph Tugler,Houston Cougars,37,1286.8,100.4,1249.5,79.6,20.8,267.3
Paulius Murauskas,Saint Mary'S Gaels,32,1647.7,102.4,1648.8,86.2,16.2,266.9
Mario Saint-Supery,Gonzaga Bulldogs,32,1142.0,106.0,1113.0,82.7,23.3,266.0
Mason Falslev,Utah State Aggies,35,1823.7,103.9,1819.9,89.3,14.6,265.6
Tre Donaldson,Miami Hurricanes,35,1934.0,105.6,1874.0,91.9,13.7,264.9
Aidan Kehoe,Navy Midshipmen,32,1671.9,99.1,1672.8,83.4,15.7,262.7
Justice Shoats,Siena Saints,35,1870.9,103.0,1839.0,89.0,14.0,262.6
Sam Hoiberg,Nebraska Cornhuskers,35,1726.9,96.2,1742.2,81.1,15.1,260.4
Coen Carr,Michigan State Spartans,35,1625.9,103.9,1620.8,88.0,15.9,258.5
Roddy Gayle Jr.,Michigan Wolverines,39,1322.0,105.9,1327.9,86.5,19.4,256.2
Tamin Lipsey,Iowa State Cyclones,34,1659.9,99.6,1584.5,84.4,15.3,253.4
Nimari Burnett,Michigan Wolverines,40,1324.7,105.1,1297.2,86.0,19.1,253.3
Alex Karaban,Uconn Huskies,40,2136.1,99.9,2131.5,88.1,11.7,250.9
Izaiyah Nelson,South Florida Bulls,33,1606.3,101.2,1574.8,85.7,15.6,250.0
Owen Aquino,High Point Panthers,33,1565.7,105.3,1549.6,89.4,15.8,247.6
Anthony Dell'Orso,Arizona Wildcats,39,1265.7,107.4,1266.0,87.8,19.5,247.3
Nate Heise,Iowa State Cyclones,37,1395.4,101.5,1361.0,83.8,17.7,247.2
Adam Miller,Gonzaga Bulldogs,35,1018.4,106.5,998.2,82.4,24.2,246.3
Quentin Jones,Saint Louis Billikens,34,1486.3,101.7,1480.7,85.1,16.6,246.2
Meleek Thomas,Arkansas Razorbacks,37,1913.8,110.1,1902.2,97.3,12.8,245.7
Boopie Miller,Smu Mustangs,33,1925.2,104.4,1936.3,91.8,12.6,243.1
David Mirkovic,Illinois Fighting Illini,37,1655.1,103.4,1631.2,88.8,14.6,241.8
Zuby Ejiofor,St. John'S Red Storm,37,1866.5,100.0,1826.3,87.1,12.9,241.0
Jaron Pierre Jr.,Smu Mustangs,34,1862.2,104.6,1885.1,91.7,12.9,240.0
Kenyon Goodin,Bellarmine Knights,29,1494.1,120.1,1479.2,104.0,16.0,239.4
Bryce Hopkins,St. John'S Red Storm,37,1799.8,101.8,1760.8,88.5,13.3,238.5
Carson Cooper,Michigan State Spartans,35,1474.5,101.5,1467.6,85.3,16.1,238.0
Tobe Awaka,Arizona Wildcats,39,1250.3,109.0,1245.4,90.3,18.8,234.6
Corey Washington,Smu Mustangs,34,1579.2,107.3,1590.6,92.5,14.8,233.5
Kylan Boswell,Illinois Fighting Illini,30,1372.6,105.4,1356.1,88.4,17.0,233.4
Dillon Mitchell,St. John'S Red Storm,37,1715.2,100.9,1703.8,87.3,13.6,233.1
Javohn Garcia,Mcneese Cowboys,28,1286.6,102.1,1269.5,84.1,18.1,232.6
Thijs De Ridder,Virginia Cavaliers,36,1605.7,100.9,1599.4,86.4,14.5,232.5
Austin Benigni,Navy Midshipmen,32,1813.3,99.0,1807.8,86.2,12.8,232.3
Oziyah Sellers,St. John'S Red Storm,37,1813.9,100.7,1776.3,87.9,12.8,231.9
Nikolas Khamenia,Duke Blue Devils,38,1027.6,103.1,1033.3,80.5,22.5,231.6
Rienk Mast,Nebraska Cornhuskers,34,1562.8,97.6,1568.3,82.8,14.7,230.5
Nate Ament,Tennessee Volunteers,35,1632.0,102.0,1618.1,87.9,14.1,229.8
Trevor Mullin,Yale Bulldogs,29,1276.9,108.6,1267.9,90.6,18.0,229.8
Mikey Lewis,Saint Mary'S Gaels,32,1348.9,105.1,1346.7,88.1,17.0,229.1
Samet Yigitoglu,Smu Mustangs,34,1641.4,103.6,1656.2,89.7,13.9,228.3
Nolan Minessale,St. Thomas-Minnesota Tommies,31,1649.9,102.8,1650.1,89.0,13.8,228.2
Evan Mahaffey,Akron Zips,33,1582.2,103.8,1584.2,89.4,14.4,227.8
Ryan Prather Jr.,Robert Morris Colonials,31,1628.7,111.9,1649.3,98.1,13.8,225.2
AJ Dybantsa,Byu Cougars,34,1920.7,104.2,1951.9,92.5,11.7,224.9
Zvonimir Ivisic,Illinois Fighting Illini,37,955.5,109.7,971.6,86.1,23.5,224.9
Melvin Council Jr.,Kansas Jayhawks,35,1982.0,97.0,1990.5,85.7,11.3,224.3
Ishan Sharma,Saint Louis Billikens,34,1227.3,106.2,1212.6,87.9,18.3,224.1
Ben Humrichous,Illinois Fighting Illini,37,1218.1,106.6,1221.4,88.3,18.4,223.9
Bennett Stirtz,Iowa Hawkeyes,37,2064.8,103.4,2068.5,92.6,10.8,223.5
Jabez Jenkins,Belmont Bruins,31,1259.3,100.4,1282.6,82.6,17.7,223.3
Cam Morris III,East Tennessee State Buccaneers,32,1331.0,104.5,1347.6,87.8,16.7,222.6
Tyler Lundblade,Belmont Bruins,31,1847.0,102.9,1798.9,90.9,12.0,221.2
B.J. Edwards,Smu Mustangs,28,1553.3,105.1,1559.2,90.9,14.2,220.4
Andrej Stojakovic,Illinois Fighting Illini,34,1367.1,105.4,1343.9,89.3,16.1,220.3
Nick Townsend,Yale Bulldogs,28,1496.3,107.3,1481.0,92.8,14.6,217.9
Braeden Smith,Gonzaga Bulldogs,35,902.2,106.4,893.2,82.3,24.1,217.7
Larry Johnson,Mcneese Cowboys,32,1265.2,104.8,1267.2,87.6,17.2,217.7
Will Tschetter,Michigan Wolverines,40,813.7,108.1,811.9,81.4,26.7,217.5
Tavari Johnson,Akron Zips,33,1791.2,103.5,1770.9,91.3,12.1,217.5
Cam Cole,Navy Midshipmen,32,878.3,104.9,877.6,80.1,24.8,217.4
Chrishawn Christmas,Stephen F. Austin Lumberjacks,32,1563.0,98.9,1578.6,84.9,13.9,217.3
Trevon Brazile,Arkansas Razorbacks,36,1932.9,109.0,1920.0,97.8,11.2,216.4
Gavin Doty,Siena Saints,35,1944.9,100.9,1920.8,89.8,11.1,216.3
Malik Reneau,Miami Hurricanes,35,1668.4,104.7,1621.2,91.8,12.9,215.7
Chaze Harris,South Alabama Jaguars,30,1547.8,99.6,1536.4,85.7,13.9,215.2
Garwey Dual,Mcneese Cowboys,32,1249.9,101.4,1243.0,84.3,17.1,213.2
Silas Demary Jr.,Uconn Huskies,39,1714.8,100.7,1715.0,88.3,12.4,212.2
Dallin Hall,Virginia Cavaliers,36,1579.3,99.9,1587.7,86.7,13.2,209.2
Luke Haupt,New Mexico Lobos,36,1712.8,99.5,1698.1,87.3,12.2,209.2
Eric Mahaffey,Akron Zips,32,1190.4,106.5,1187.4,89.0,17.5,208.3
Joseph Pinion,South Florida Bulls,33,1801.5,99.4,1755.8,87.8,11.5,207.9
Uriah Tenette,New Mexico Lobos,35,1595.1,99.9,1597.3,87.0,13.0,206.9
Shelton Henderson,Miami Hurricanes,35,1786.3,102.6,1740.8,91.1,11.5,205.6
Jamarques Lawrence,Nebraska Cornhuskers,35,1542.8,97.2,1543.9,84.0,13.2,204.0
Amani Lyles,Akron Zips,33,1512.2,103.0,1475.2,89.5,13.5,203.9
Kur Teng,Michigan State Spartans,35,972.8,105.1,967.9,84.2,20.8,202.8
Brendan Coyle,Siena Saints,35,1621.0,103.0,1598.6,90.5,12.4,201.7
Tarris Reed Jr.,Uconn Huskies,35,1489.9,101.9,1482.0,88.4,13.5,201.0
DJ Armstrong Jr.,Umbc Retrievers,31,1515.2,100.5,1581.7,87.2,13.3,201.0
Drake Allen,Utah State Aggies,34,1412.0,106.0,1403.5,91.8,14.2,200.2
Jerald Colonel,Stephen F. Austin Lumberjacks,32,1330.0,96.7,1349.7,81.6,15.0,200.1
Maliq Brown,Duke Blue Devils,38,1113.6,102.1,1109.8,84.2,17.9,199.8
Patrick Wessler,Unc Wilmington Seahawks,32,1427.6,101.7,1422.5,87.7,14.0,199.6
Rob Martin,High Point Panthers,32,1528.0,104.0,1490.1,90.9,13.1,199.6
Amari McCottry,Saint Louis Billikens,34,1287.4,101.5,1286.2,86.1,15.5,198.9
Michael Belle,Vcu Rams,36,1322.2,105.4,1344.9,90.4,15.0,198.6
Andrew McKeever,Saint Mary'S Gaels,32,1143.4,103.9,1151.0,86.5,17.4,198.6
Brian Taylor II,East Tennessee State Buccaneers,32,1720.3,102.3,1748.8,90.8,11.5,197.9
Jackson Holcombe,Utah Valley Wolverines,31,1584.2,100.3,1566.9,87.8,12.5,197.8
Braden Huff,Gonzaga Bulldogs,18,765.5,108.3,738.6,82.6,25.7,196.8
Dion Brown,Saint Louis Billikens,34,1336.3,101.7,1324.6,87.0,14.7,195.8
Urban Klavzar,Florida Gators,35,1159.5,108.3,1141.5,91.5,16.9,195.5
Isaac Celiscar,Yale Bulldogs,29,1422.2,106.9,1430.8,93.2,13.7,195.0
Caleb Wilson,North Carolina Tar Heels,24,1208.3,103.5,1194.2,87.4,16.0,193.7
Dillan Shaw,Saint Mary'S Gaels,32,1388.7,101.5,1389.5,87.6,13.9,193.7
Robert Wright III,Byu Cougars,34,1894.1,103.4,1947.5,93.1,10.2,193.7
Koree Cotton,Ut Rio Grande Valley Vaqueros,31,1396.6,98.2,1471.1,84.4,13.8,192.9
Tyler Tanner,Vanderbilt Commodores,36,1996.6,103.8,1983.7,94.2,9.7,192.8
David Green,Tulsa Golden Hurricane,33,1546.5,103.2,1534.8,90.8,12.4,192.3
L.J. Cason,Michigan Wolverines,28,774.9,107.6,768.6,82.9,24.7,191.7
Richard Goods,Stony Brook Seawolves,30,1157.1,109.7,1150.0,93.1,16.5,191.4
Richie Saunders,Byu Cougars,24,1243.1,106.7,1275.7,91.3,15.3,190.7
Garry Clark,Utah State Aggies,35,871.7,108.4,875.0,86.7,21.7,188.8
Jinwoo Kim,Navy Midshipmen,32,1520.8,99.3,1527.2,86.9,12.4,188.6
Jake Hall,New Mexico Lobos,36,1903.1,99.2,1878.7,89.3,9.9,188.2
Jordan McCullum,East Tennessee State Buccaneers,32,1050.3,104.4,1084.7,86.6,17.9,187.7
Trevian Carson,North Dakota State Bison,32,1750.3,99.6,1708.9,88.9,10.7,187.2
Jordan Scott,Michigan State Spartans,35,1148.7,104.2,1118.2,87.9,16.3,187.1
Devin McGlockton,Vanderbilt Commodores,36,1534.9,104.4,1549.2,92.2,12.2,187.1
Dylan Darling,St. John'S Red Storm,35,1230.3,98.2,1200.2,83.0,15.2,187.0
Greedy Williams,Unc Wilmington Seahawks,32,1580.4,99.4,1587.6,87.6,11.8,186.3
Antwone Woolfolk,Miami (Oh) Redhawks,31,1248.6,105.1,1226.5,90.2,14.9,186.0
Carter Bjerke,St. Thomas-Minnesota Tommies,31,1309.4,102.8,1283.4,88.6,14.2,186.0
Tyler Nickel,Vanderbilt Commodores,36,1830.4,105.8,1821.7,95.6,10.1,185.7
Jasper Floyd,West Virginia Mountaineers,35,1557.9,93.9,1547.5,82.1,11.8,183.5
Somtochukwu Cyril,Georgia Bulldogs,33,1213.3,107.8,1179.2,92.7,15.1,183.4
Eian Elmer,Miami (Oh) Redhawks,31,1658.4,104.7,1653.4,93.7,11.1,183.4
Darius Acuff Jr.,Arkansas Razorbacks,36,2179.1,107.5,2166.2,99.1,8.4,183.3
Wes Enis,South Florida Bulls,32,1944.6,98.9,1924.3,89.5,9.4,182.8
Keon Thompson,Stephen F. Austin Lumberjacks,32,1614.4,99.0,1597.8,87.7,11.3,182.5
RJ Godfrey,Clemson Tigers,35,1365.7,99.9,1327.7,86.5,13.3,182.1
Bishop Boswell,Tennessee Volunteers,34,1386.4,103.7,1384.9,90.6,13.1,181.7
Bruce Thornton,Ohio State Buckeyes,34,2000.9,103.9,1970.0,94.8,9.1,181.6
Malique Ewin,Arkansas Razorbacks,37,1308.6,111.6,1318.2,97.7,13.9,181.4
Brant Byers,Miami (Oh) Redhawks,31,1691.3,104.7,1700.5,94.0,10.7,180.7
Peter Suder,Miami (Oh) Redhawks,30,1632.0,105.9,1642.2,94.9,11.0,179.7
Billy Richmond III,Arkansas Razorbacks,37,1743.7,107.5,1743.3,97.2,10.3,179.6
Sam Lewis,Virginia Cavaliers,36,1456.8,99.3,1450.2,87.0,12.3,179.3
Braden Hausen,High Point Panthers,32,1081.2,103.1,1062.7,86.6,16.6,179.0
Duke Miles,Vanderbilt Commodores,28,1400.4,105.2,1368.2,92.5,12.7,178.2
Adam Olsen,South Alabama Jaguars,29,1642.5,97.5,1630.9,86.7,10.8,177.9
CJ Brown,South Florida Bulls,33,1582.1,99.7,1560.2,88.5,11.2,177.6
Casey Simmons,Yale Bulldogs,29,1212.7,105.8,1221.8,91.2,14.6,177.3
Adam Clark,Seton Hall Pirates,32,1614.7,97.1,1574.8,86.2,10.9,176.6
Ernest Udeh Jr.,Miami Hurricanes,33,1479.2,103.4,1463.5,91.5,11.9,176.6
De'Shayne Montgomery,Dayton Flyers,36,1770.0,97.3,1781.4,87.4,9.9,176.0
Tyler Hendricks,Utah Valley Wolverines,25,1280.8,101.0,1280.7,87.2,13.7,175.9
Noah Ross,Unc Wilmington Seahawks,32,1498.3,99.6,1513.5,87.9,11.7,175.4
Chance Mallory,Virginia Cavaliers,36,1345.2,103.9,1354.3,90.8,13.0,175.3
Bryce Harris,Howard Bison,31,1637.8,97.7,1643.1,87.0,10.7,174.7
Ace Valentine,Umbc Retrievers,30,1478.6,102.1,1517.0,90.3,11.8,174.7
Josh Odunowo,Umbc Retrievers,29,1026.5,105.8,1052.0,88.8,17.0,174.7
Jake Ensminger,Santa Clara Broncos,31,1466.3,102.6,1435.8,90.8,11.9,174.3
Donovan Draper,Navy Midshipmen,30,1245.1,100.4,1257.8,86.4,14.0,173.9
Brigham Rogers,Belmont Bruins,31,926.7,101.5,955.2,82.8,18.7,173.7
Kyle Evans,Uc Irvine Anteaters,33,1621.6,96.3,1608.2,85.6,10.7,173.5
Nana Owusu-Anane,Grand Canyon Lopes,32,1759.2,99.0,1740.2,89.1,9.8,173.1
Jarin Stevenson,North Carolina Tar Heels,33,1317.2,101.7,1323.6,88.7,13.0,171.7
Scotty Washington,High Point Panthers,33,1039.5,104.1,1011.5,87.6,16.5,171.5
Allen Strothers,East Tennessee State Buccaneers,32,1078.5,103.5,1110.9,87.6,15.9,171.4
Jestin Porter,Clemson Tigers,35,1478.6,98.5,1462.9,86.9,11.6,171.4
Trevan Leonhardt,Utah Valley Wolverines,31,1807.4,98.9,1822.0,89.5,9.4,170.1
Elijah Price,Nevada Wolf Pack,37,1781.3,100.7,1756.0,91.1,9.5,170.0
BJ Davis,San Diego State Aztecs,32,1168.2,99.6,1159.8,85.1,14.5,169.9
Brady Dunlap,Saint Louis Billikens,33,906.8,105.0,883.2,86.3,18.7,169.7
Mark Mitchell,Missouri Tigers,33,1816.8,102.9,1795.0,93.5,9.3,169.6
Taj DeGourville,San Diego State Aztecs,32,986.9,102.5,962.9,85.4,17.2,169.5
Felix Okpara,Tennessee Volunteers,35,1422.5,102.4,1439.1,90.5,11.9,169.1
Austin Herro,St. Thomas-Minnesota Tommies,26,1016.8,102.4,1043.8,85.8,16.5,168.2
Maki Johnson,East Tennessee State Buccaneers,32,1123.7,103.5,1134.9,88.6,14.9,167.9
Sam Donald,Bellarmine Knights,29,1160.6,117.3,1160.0,102.8,14.4,167.3
Johann Grunloh,Virginia Cavaliers,36,1210.3,99.7,1192.0,85.9,13.8,167.2
Lateef Patrick,Stephen F. Austin Lumberjacks,32,1548.1,97.8,1526.1,87.0,10.8,166.9
Jaden Henley,Grand Canyon Lopes,32,1689.6,98.9,1661.7,89.1,9.8,166.1
Berke Buyuktuncel,Nebraska Cornhuskers,33,1263.9,94.2,1287.3,81.0,13.1,166.0
Jayden Ross,Uconn Huskies,38,958.7,100.3,982.7,83.1,17.2,165.0
Shammah Scott,Akron Zips,33,1455.2,103.8,1459.6,92.4,11.3,165.0
Tru Washington,Miami Hurricanes,31,1416.3,103.8,1370.4,92.2,11.6,164.8
Solo Ball,Uconn Huskies,39,1713.6,99.3,1693.1,89.7,9.6,164.6
Deyton Albury,New Mexico Lobos,34,1409.1,100.4,1385.2,88.8,11.6,163.8
Karon Boyd,Wichita State Shockers,35,1936.0,97.8,1947.8,89.3,8.4,163.6
Braden Frager,Nebraska Cornhuskers,33,1179.1,100.3,1171.2,86.5,13.8,163.1
Luka Bogavac,North Carolina Tar Heels,33,1293.3,99.4,1277.2,86.8,12.6,163.0
Miles Byrd,San Diego State Aztecs,32,1489.6,97.6,1480.3,86.7,10.9,163.0
Trey Green,Saint Louis Billikens,33,1286.3,101.9,1285.6,89.3,12.6,162.3
Mohamed Wague,Oklahoma Sooners,37,1328.7,104.5,1324.5,92.3,12.2,162.2
Tyler Behrend,Tulsa Golden Hurricane,35,1260.5,106.5,1243.2,93.7,12.8,161.8
Samson Aletan,Yale Bulldogs,29,1144.2,105.6,1146.9,91.5,14.1,161.4
Kenyon Giles,Wichita State Shockers,35,2063.3,97.6,2081.3,89.8,7.8,161.1
Jacob Crews,Missouri Tigers,33,1071.5,105.7,1036.6,90.8,15.0,160.3
Dwayne Aristode,Arizona Wildcats,34,636.6,107.5,642.3,82.4,25.1,159.7
Tre White,Kansas Jayhawks,35,1798.3,96.5,1797.9,87.6,8.9,159.6
Steele Venters,Gonzaga Bulldogs,27,646.3,107.8,632.1,83.2,24.6,159.1
Jurian Dixon,Uc Irvine Anteaters,33,1703.4,94.6,1683.5,85.2,9.3,159.0
Jahari Long,George Mason Patriots,32,1672.7,100.9,1665.5,91.5,9.4,157.4
Tristan Smith,Northern Iowa Panthers,27,880.8,100.8,877.7,82.9,17.9,157.3
Will Berg,Wichita State Shockers,34,1200.9,101.1,1199.3,88.1,13.0,155.6
J.P. Estrella,Tennessee Volunteers,33,947.2,106.5,936.3,90.1,16.4,155.2
Isaiah Brown,Florida Gators,32,664.9,113.6,667.3,90.2,23.3,155.2
Braylon Mullins,Uconn Huskies,33,1447.6,99.0,1455.2,88.3,10.7,154.8
Jamarion Batemon,Iowa State Cyclones,37,836.3,100.6,800.5,82.1,18.5,154.7
Khadim Mboup,Byu Cougars,33,786.1,106.3,812.2,86.7,19.7,154.6
Kyan Evans,North Carolina Tar Heels,33,939.9,99.1,940.5,82.6,16.4,154.5
Jayden Pierre,Tcu Horned Frogs,35,1774.1,97.8,1765.2,89.1,8.7,154.1
Javon Bennett,Dayton Flyers,37,2037.8,96.2,2023.9,88.6,7.5,153.7
Luke Skaljac,Miami (Oh) Redhawks,29,1414.7,104.3,1418.3,93.5,10.8,153.3
Tyshawn Archie,Mcneese Cowboys,32,1284.6,99.8,1258.7,88.0,11.8,152.2
