,Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced,Balanced,Star,Defense,WAR
0,Yaxel Lendeborg,Michigan Wolverines,40,1996.5,108.1,1945.7,82.5,25.5,510.1,553.0,511.1,5045.6,502.2
1,Jaden Bradley,Arizona Wildcats,39,1954.8,109.0,1946.9,83.1,25.9,506.4,512.9,506.3,5052.7,505.0
2,Motiejus Krivas,Arizona Wildcats,39,1647.2,108.4,1652.6,79.2,29.2,480.2,476.7,481.0,4817.7,482.1
3,Cameron Boozer,Duke Blue Devils,38,1971.5,107.3,1954.0,83.1,24.2,477.5,491.6,477.1,4749.8,474.1
4,Brayden Burries,Arizona Wildcats,39,1847.9,110.3,1851.0,84.5,25.8,476.6,474.1,476.8,4771.6,477.2
5,Koa Peat,Arizona Wildcats,36,1607.3,110.4,1604.8,81.4,29.0,466.0,468.2,466.1,4657.5,465.7
6,Ivan Kharchenkov,Arizona Wildcats,39,1725.7,110.2,1737.7,84.3,25.9,446.2,436.8,447.0,4485.1,448.8
7,Isaiah Evans,Duke Blue Devils,38,1643.5,106.4,1651.9,82.3,24.1,395.9,389.2,396.1,3970.9,397.6
8,Elliot Cadeau,Michigan Wolverines,40,1804.5,106.7,1783.8,84.8,21.9,395.5,412.7,395.2,3929.1,392.0
9,Fletcher Loyer,Purdue Boilermakers,39,1788.6,111.1,1740.8,90.6,20.5,366.7,410.0,366.7,3617.3,362.2
10,Graham Ike,Gonzaga Bulldogs,31,1539.3,107.7,1514.0,83.9,23.8,365.8,387.6,366.4,3633.3,362.3
11,Aday Mara,Michigan Wolverines,40,1540.8,106.5,1509.3,83.1,23.4,360.9,386.7,360.5,3568.4,355.2
12,Joshua Jefferson,Iowa State Cyclones,35,1648.1,102.8,1584.5,81.5,21.4,352.2,402.9,351.0,3442.1,339.3
13,Jeremy Fears Jr.,Michigan State Spartans,35,1814.8,104.3,1802.9,85.1,19.2,347.9,358.6,348.4,3473.0,346.7
14,Boogie Fland,Florida Gators,35,1690.6,109.3,1705.1,89.0,20.3,344.0,330.3,343.2,3446.6,344.8
15,Dame Sarr,Duke Blue Devils,38,1353.2,105.3,1356.2,79.9,25.4,343.5,341.3,343.7,3440.9,344.3
16,Thomas Haugh,Florida Gators,34,1874.5,107.1,1870.1,89.0,18.0,338.1,343.2,339.3,3388.9,338.8
17,C.J. Cox,Purdue Boilermakers,39,1413.7,115.0,1398.3,91.4,23.6,333.9,347.7,333.6,3318.1,332.3
18,Ja'Kobi Gillespie,Tennessee Volunteers,37,2029.3,106.0,2022.2,89.9,16.2,328.6,333.1,326.7,3261.5,326.0
19,Morez Johnson Jr.,Michigan Wolverines,40,1664.7,103.6,1636.0,83.9,19.7,327.9,352.0,327.9,3251.1,323.3
20,Alex Condon,Florida Gators,34,1678.5,107.4,1668.0,88.4,18.9,317.7,328.2,318.9,3179.2,317.7
21,Braden Smith,Purdue Boilermakers,39,2059.9,109.3,2019.8,93.9,15.4,316.3,354.9,317.2,3141.2,314.8
22,Emmanuel Innocenti,Gonzaga Bulldogs,35,1250.5,106.4,1262.5,81.1,25.3,315.8,306.6,316.4,3178.9,318.6
23,Emanuel Sharp,Houston Cougars,37,1672.7,99.6,1629.0,80.7,18.9,315.7,351.4,316.1,3119.8,307.7
24,Milan Momcilovic,Iowa State Cyclones,37,1707.7,101.0,1657.0,82.6,18.4,314.1,356.1,314.2,3095.2,305.4
25,Jaxon Kohler,Michigan State Spartans,35,1548.3,103.9,1529.4,84.0,20.0,309.1,324.0,308.1,3062.3,305.1
26,MJ Collins Jr.,Utah State Aggies,35,1743.8,106.4,1729.0,88.8,17.6,306.9,320.1,306.9,3056.0,305.3
27,Xaivian Lee,Florida Gators,35,1585.8,105.4,1571.4,86.2,19.3,305.6,316.9,304.5,3030.9,302.5
28,Trey Kaufman-Renn,Purdue Boilermakers,37,1589.2,112.1,1557.4,92.8,19.2,305.5,336.2,306.7,3036.3,304.4
29,Cayden Boozer,Duke Blue Devils,38,1235.0,105.5,1235.6,80.9,24.6,303.4,303.3,303.8,3038.8,303.9
30,Kingston Flemings,Houston Cougars,37,1738.1,101.7,1703.3,84.3,17.4,301.6,331.8,302.4,2993.9,297.0
31,Trey McKenney,Michigan Wolverines,40,1314.9,107.9,1294.7,85.1,22.8,299.8,317.0,299.8,2974.9,296.8
32,Killyan Toure,Iowa State Cyclones,37,1394.1,102.9,1370.0,81.4,21.5,299.4,319.3,299.7,2971.3,295.2
33,Tyon Grant-Foster,Gonzaga Bulldogs,35,1154.3,108.2,1157.2,82.3,25.9,299.4,296.6,299.0,2993.4,299.5
34,Rueben Chinyelu,Florida Gators,35,1389.1,106.9,1369.5,85.4,21.5,299.3,315.4,298.7,2965.4,295.8
35,Jalen Warley,Gonzaga Bulldogs,33,1077.9,107.8,1095.5,80.1,27.7,299.1,284.5,298.6,3010.1,302.1
36,Joshua Dent,Saint Mary'S Gaels,32,1840.8,102.2,1849.0,86.1,16.1,297.0,289.3,296.4,2970.3,297.5
37,Pryce Sandfort,Nebraska Cornhuskers,35,1838.3,98.2,1846.1,82.1,16.1,296.4,289.6,296.0,2965.9,297.4
38,Oscar Cluff,Purdue Boilermakers,39,1422.8,112.1,1413.0,91.4,20.7,294.0,303.5,294.5,2935.0,293.7
39,DeSean Goode,Robert Morris Colonials,31,1501.7,116.2,1507.0,96.8,19.4,291.1,286.2,291.3,2918.4,291.5
40,Milos Uzan,Houston Cougars,37,1779.4,97.3,1766.7,81.0,16.3,290.7,300.3,290.0,2890.1,287.6
41,Flory Bidunga,Kansas Jayhawks,35,1791.4,99.0,1799.0,82.8,16.2,290.3,283.9,290.2,2908.2,291.5
42,Chris Cenac Jr.,Houston Cougars,37,1411.0,101.3,1390.7,81.0,20.4,287.6,302.9,286.4,2843.7,282.6
43,Robbie Avila,Saint Louis Billikens,34,1527.9,104.1,1509.6,85.5,18.7,285.4,299.8,284.2,2824.8,281.5
44,Patrick Ngongba II,Duke Blue Devils,32,1079.5,105.1,1094.0,79.1,26.1,281.4,269.2,280.7,2825.5,283.7
45,Terry Anderson,High Point Panthers,33,1593.6,107.1,1566.6,89.7,17.4,276.8,301.5,277.3,2749.3,274.5
46,Henri Veesaar,North Carolina Tar Heels,31,1577.8,102.2,1563.3,84.7,17.5,275.7,288.4,276.1,2748.4,273.9
47,Blake Buchanan,Iowa State Cyclones,37,1352.0,103.1,1330.2,82.9,20.2,272.9,291.2,273.1,2708.9,269.4
48,Keaton Wagler,Illinois Fighting Illini,37,1898.9,104.6,1861.2,90.3,14.3,272.0,305.6,271.5,2688.3,267.9
49,Caleb Foster,Duke Blue Devils,33,1211.7,106.5,1203.5,84.3,22.1,268.1,275.9,269.0,2680.9,267.7
50,Joseph Tugler,Houston Cougars,37,1286.8,100.4,1249.5,79.6,20.8,267.3,297.3,267.7,2637.5,260.0
51,Paulius Murauskas,Saint Mary'S Gaels,32,1647.7,102.4,1648.8,86.2,16.2,266.9,266.0,266.9,2670.2,267.1
52,Mario Saint-Supery,Gonzaga Bulldogs,32,1142.0,106.0,1113.0,82.7,23.3,266.0,290.1,266.1,2626.9,261.1
53,Mason Falslev,Utah State Aggies,35,1823.7,103.9,1819.9,89.3,14.6,265.6,269.7,266.3,2659.8,265.9
54,Tre Donaldson,Miami Hurricanes,35,1934.0,105.6,1874.0,91.9,13.7,264.9,320.1,265.0,2608.2,260.1
55,Aidan Kehoe,Navy Midshipmen,32,1671.9,99.1,1672.8,83.4,15.7,262.7,261.7,262.5,2625.6,262.6
56,Justice Shoats,Siena Saints,35,1870.9,103.0,1839.0,89.0,14.0,262.6,290.3,261.9,2596.8,258.4
57,Sam Hoiberg,Nebraska Cornhuskers,35,1726.9,96.2,1742.2,81.1,15.1,260.4,248.4,260.8,2619.1,263.7
58,Coen Carr,Michigan State Spartans,35,1625.9,103.9,1620.8,88.0,15.9,258.5,263.0,258.5,2581.1,257.9
59,Roddy Gayle Jr.,Michigan Wolverines,39,1322.0,105.9,1327.9,86.5,19.4,256.2,251.4,256.5,2570.4,257.3
60,Tamin Lipsey,Iowa State Cyclones,34,1659.9,99.6,1584.5,84.4,15.3,253.4,315.9,252.3,2465.1,240.5
61,Nimari Burnett,Michigan Wolverines,40,1324.7,105.1,1297.2,86.0,19.1,253.3,276.7,253.0,2503.8,249.2
62,Alex Karaban,Uconn Huskies,40,2136.1,99.9,2131.5,88.1,11.7,250.9,256.1,252.1,2517.9,251.5
63,Izaiyah Nelson,South Florida Bulls,33,1606.3,101.2,1574.8,85.7,15.6,250.0,276.0,249.0,2465.2,244.5
64,Owen Aquino,High Point Panthers,33,1565.7,105.3,1549.6,89.4,15.8,247.6,263.3,248.9,2476.6,247.2
65,Anthony Dell'Orso,Arizona Wildcats,39,1265.7,107.4,1266.0,87.8,19.5,247.3,247.8,248.1,2481.1,248.1
66,Nate Heise,Iowa State Cyclones,37,1395.4,101.5,1361.0,83.8,17.7,247.2,275.8,247.0,2439.2,241.4
67,Adam Miller,Gonzaga Bulldogs,35,1018.4,106.5,998.2,82.4,24.2,246.3,262.1,245.4,2429.9,241.9
68,Quentin Jones,Saint Louis Billikens,34,1486.3,101.7,1480.7,85.1,16.6,246.2,251.5,246.7,2462.6,245.9
69,Meleek Thomas,Arkansas Razorbacks,37,1913.8,110.1,1902.2,97.3,12.8,245.7,256.3,245.0,2442.2,244.7
70,Boopie Miller,Smu Mustangs,33,1925.2,104.4,1936.3,91.8,12.6,243.1,232.4,242.6,2432.7,243.5
71,David Mirkovic,Illinois Fighting Illini,37,1655.1,103.4,1631.2,88.8,14.6,241.8,262.9,241.6,2398.9,239.0
72,Zuby Ejiofor,St. John'S Red Storm,37,1866.5,100.0,1826.3,87.1,12.9,241.0,275.8,240.8,2381.7,235.6
73,Jaron Pierre Jr.,Smu Mustangs,34,1862.2,104.6,1885.1,91.7,12.9,240.0,219.2,240.2,2417.0,242.1
74,Kenyon Goodin,Bellarmine Knights,29,1494.1,120.1,1479.2,104.0,16.0,239.4,256.0,240.6,2393.5,241.1
75,Bryce Hopkins,St. John'S Red Storm,37,1799.8,101.8,1760.8,88.5,13.3,238.5,273.9,239.4,2367.7,234.9
76,Carson Cooper,Michigan State Spartans,35,1474.5,101.5,1467.6,85.3,16.1,238.0,244.8,238.9,2383.1,237.9
77,Tobe Awaka,Arizona Wildcats,39,1250.3,109.0,1245.4,90.3,18.8,234.6,238.2,233.8,2333.5,233.3
78,Corey Washington,Smu Mustangs,34,1579.2,107.3,1590.6,92.5,14.8,233.5,223.2,233.7,2345.6,234.6
79,Kylan Boswell,Illinois Fighting Illini,30,1372.6,105.4,1356.1,88.4,17.0,233.4,247.9,233.3,2319.4,231.4
80,Dillon Mitchell,St. John'S Red Storm,37,1715.2,100.9,1703.8,87.3,13.6,233.1,243.2,233.3,2324.9,231.8
81,Javohn Garcia,Mcneese Cowboys,28,1286.6,102.1,1269.5,84.1,18.1,232.6,246.0,231.6,2300.4,228.9
82,Thijs De Ridder,Virginia Cavaliers,36,1605.7,100.9,1599.4,86.4,14.5,232.5,238.3,232.8,2323.7,232.0
83,Austin Benigni,Navy Midshipmen,32,1813.3,99.0,1807.8,86.2,12.8,232.3,236.8,232.1,2317.5,231.3
84,Oziyah Sellers,St. John'S Red Storm,37,1813.9,100.7,1776.3,87.9,12.8,231.9,265.2,232.2,2297.6,227.6
85,Nikolas Khamenia,Duke Blue Devils,38,1027.6,103.1,1033.3,80.5,22.5,231.6,227.6,232.2,2328.8,233.3
86,Rienk Mast,Nebraska Cornhuskers,34,1562.8,97.6,1568.3,82.8,14.7,230.5,226.7,231.3,2317.0,232.2
87,Nate Ament,Tennessee Volunteers,35,1632.0,102.0,1618.1,87.9,14.1,229.8,242.3,230.1,2291.3,228.4
