Player,Points_Per_Game,Assigned_Team_x,Unnamed: 0,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced,Balanced,Star,Defense,WAR
Bradyn Hubbard,16.3,Abilene Christian,3915,Abilene Christian Wildcats,29,1424.8,89.6,1382.6,94.9,-5.3,-75.0,-35.5,-75.5,-743.9,-77.7
Rich Smith,9.9,Abilene Christian,4112,Abilene Christian Wildcats,30,1533.7,89.0,1487.3,95.3,-6.3,-96.2,-52.4,-96.6,-951.5,-98.8
Yaniel Rivera,7.2,Abilene Christian,3985,Abilene Christian Wildcats,27,1156.3,89.7,1137.0,96.7,-7.1,-81.7,-62.3,-80.9,-802.6,-81.6
Zy Wright,6.3,Abilene Christian,3886,Abilene Christian Wildcats,30,831.6,89.5,829.8,98.1,-8.6,-71.8,-69.8,-71.5,-714.4,-71.6
Cade Hornecker,5.3,Abilene Christian,4002,Abilene Christian Wildcats,30,807.0,89.2,776.3,99.6,-10.4,-83.5,-53.4,-83.9,-823.2,-84.1
Christian Alston,4.7,Abilene Christian,4052,Abilene Christian Wildcats,28,484.7,79.6,474.0,98.1,-18.5,-89.5,-79.2,-89.7,-886.7,-89.9
Joseph Venzant,4.4,Abilene Christian,3931,Abilene Christian Wildcats,30,1249.7,87.3,1262.1,93.4,-6.1,-76.4,-87.8,-76.2,-766.1,-75.4
Joseph Scott,4.3,Abilene Christian,3333,Abilene Christian Wildcats,26,448.2,91.7,448.8,100.0,-8.3,-37.3,-37.8,-37.2,-372.3,-37.2
Isaac Dye,2.8,Abilene Christian,3856,Abilene Christian Wildcats,21,164.3,73.0,172.0,115.7,-42.7,-70.1,-79.1,-70.2,-717.8,-71.4
Ma'Shy Hill,2.7,Abilene Christian,3330,Abilene Christian Wildcats,30,478.4,80.3,488.8,88.0,-7.7,-36.9,-46.0,-36.8,-372.4,-35.6
Kam Sanders,12.5,Air Force,4550,Air Force Falcons,32,1397.0,81.2,1421.5,104.1,-22.9,-320.5,-345.4,-319.9,-3227.1,-320.9
Lucas Hobin,11.4,Air Force,4546,Air Force Falcons,32,1349.5,83.4,1392.7,106.3,-22.8,-308.1,-355.0,-309.0,-3139.4,-311.8
Caleb Walker,10.4,Air Force,4385,Air Force Falcons,24,778.0,87.1,797.8,106.7,-19.5,-151.9,-173.6,-152.5,-1544.2,-153.8
Eli Robinson,7.8,Air Force,4551,Air Force Falcons,31,1281.8,78.6,1319.8,103.8,-25.2,-322.6,-362.5,-323.0,-3277.7,-324.5
Ethan Greenberg,6.6,Air Force,4534,Air Force Falcons,32,1292.9,82.8,1325.0,104.5,-21.7,-280.4,-314.1,-280.6,-2840.2,-282.0
Wesley Celichowski,4.8,Air Force,4506,Air Force Falcons,32,994.9,77.8,1025.3,99.9,-22.1,-219.6,-250.2,-219.9,-2232.1,-219.8
Kyle Marshall,3.5,Air Force,3156,Air Force Falcons,4,92.9,64.6,108.0,96.3,-31.8,-29.5,-44.0,-29.4,-317.5,-28.9
Kolby Gilles,3.2,Air Force,4338,Air Force Falcons,32,563.3,81.7,572.3,105.4,-23.7,-133.6,-143.0,-133.5,-1345.6,-134.0
Brendan Martin,1.8,Air Force,3043,Air Force Falcons,6,51.8,77.3,52.6,125.5,-48.2,-24.9,-26.0,-25.0,-251.6,-25.2
Elliott Taite,1.5,Air Force,2044,Air Force Falcons,2,0.5,0.0,1.0,200.0,-200.0,-0.9,-2.0,-1.0,-14.1,-1.5
Justin Hinds,1.4,Air Force,4138,Air Force Falcons,26,428.0,78.7,442.5,101.9,-23.2,-99.2,-114.1,-99.3,-1009.6,-99.6
Josh Gatete,0.3,Air Force,3009,Air Force Falcons,8,65.1,73.7,71.7,110.2,-36.5,-23.8,-31.0,-23.8,-249.4,-24.4
Chris Catchings,0.0,Air Force,1936,Air Force Falcons,1,1.5,67.8,1.0,0.0,67.8,1.0,1.0,1.0,8.3,0.5
