Player,PPG,Assigned_Team
Bradyn Hubbard,16.3,Abilene Christian
Chilaydrien Newton,10.1,Abilene Christian
Rich Smith,9.9,Abilene Christian
Yaniel Rivera,7.2,Abilene Christian
Zy Wright,6.3,Abilene Christian
Cade Hornecker,5.3,Abilene Christian
Christian Alston,4.7,Abilene Christian
Joseph Venzant,4.4,Abilene Christian
Joseph Scott,4.3,Abilene Christian
Isaac Dye,2.8,Abilene Christian
Ma'Shy Hill,2.7,Abilene Christian
Isaiah Carrillo,0.9,Abilene Christian
Tylan LEWIS,0.5,Abilene Christian
Kam Sanders,12.5,Air Force
Lucas Hobin,11.4,Air Force
Caleb Walker,10.4,Air Force
Eli Robinson,7.8,Air Force
Ethan Greenberg,6.6,Air Force
William Dering,5.4,Air Force
Wesley Celichowski,4.8,Air Force
Kyle Marshall,3.5,Air Force
Kolby Gilles,3.2,Air Force
AJ Patterson,2.2,Air Force
Brendan Martin,1.8,Air Force
Elliott Taite,1.5,Air Force
Justin Hinds,1.4,Air Force
Samuel Imade,0.8,Air Force
Josh Gatete,0.3,Air Force
Keaton Frisch,0.0,Air Force
Chris Catchings,0.0,Air Force
Tavari Johnson,19.7,Akron
Amani Lyles,14.9,Akron
Shammah Scott,12.9,Akron
Evan Mahaffey,10.2,Akron
Eric Mahaffey,7.8,Akron
Bowen Hardman,7.6,Akron
Sharron Young,7.2,Akron
Halil Barre,3.1,Akron
Zach Halligan,2.6,Akron
Ognjen Stankovic,2.3,Akron
Marvin Musiime-Kamali,2.0,Akron
Rich Brisco,1.0,Akron
Conner Groce,0.8,Akron
Koron Davis,14.9,Alabama Am
Kintavious Dozier,14.7,Alabama Am
Sami Pissis,10.4,Alabama Am
James Graham III,10.3,Alabama Am
P.J. Eason,7.4,Alabama Am
Peyton Daniels,5.6,Alabama Am
Bilal Abdur-Rahman,4.7,Alabama Am
Gabe Kincy,4.3,Alabama Am
Louis Hutchinson,4.0,Alabama Am
James Flippin,2.7,Alabama Am
Jalen Carruth,2.3,Alabama Am
Angok Anyang,1.2,Alabama Am
Sam Onu,1.0,Alabama Am
Tajden Davis,1.0,Alabama Am
Chance Westry,15.5,Alabama Birmingham
Jacob Meyer,12.4,Alabama Birmingham
Daniel Rivera,12.0,Alabama Birmingham
KyeRon Lindsay,10.8,Alabama Birmingham
Ahmad Robinson,9.5,Alabama Birmingham
Evan Chatman,8.8,Alabama Birmingham
Dayjaun Anderson,5.4,Alabama Birmingham
Salim London,4.9,Alabama Birmingham
Quaran McPherson,4.4,Alabama Birmingham
Ari Gooch,2.2,Alabama Birmingham
João Victor Moreira,1.0,Alabama Birmingham
Lance Carr,0.7,Alabama Birmingham
Joey Kahn,0.0,Alabama Birmingham
Asjon Anderson,14.2,Alabama State
Micah Simpson,13.9,Alabama State
Tyler Byrd,10.3,Alabama State
Jerquarius Stanback,8.8,Alabama State
Trey Miller,7.3,Alabama State
Demarien Yates,6.8,Alabama State
Tyler Mack,5.9,Alabama State
Cam Palesse,5.5,Alabama State
Tyler Mason,5.0,Alabama State
R'Chaun King,4.9,Alabama State
Jasteven Walker,4.6,Alabama State
Mario Andrews,1.6,Alabama State
Kevin Alabi,1.0,Alabama State
Jordon Marshall,0.7,Alabama State
Labaron Philon,22.0,Alabama
Aden Holloway,16.8,Alabama
Latrell Wrightsell Jr.,13.2,Alabama
Amari Allen,11.4,Alabama
Aiden Sherrell,11.1,Alabama
Charles Bediako,10.0,Alabama
Houston Mallette,6.6,Alabama
Taylor Bol Bowen,6.3,Alabama
London Jemison,6.2,Alabama
Jalil Bethea,3.9,Alabama
Keitenn Bristow,3.6,Alabama
Davion Hannah,3.3,Alabama
Noah Williamson,1.3,Alabama
Collins Onyejiaka,1.0,Alabama
Jacob Martin,0.3,Alabama
Preston Murphy Jr.,0.3,Alabama
Klark James,0.0,Alabama
Jack Fagan,0.0,Alabama
Amir Lindsey,17.9,Albany Ny
Okechukwu Okeke,10.8,Albany Ny
Jaden Kempson,10.2,Albany Ny
Zach Matulu,9.9,Albany Ny
Abdoulaye Fall,9.6,Albany Ny
Isaac Abidde,9.4,Albany Ny
Nasir Muhammad,9.1,Albany Ny
Ife West-Ingram,6.9,Albany Ny
Tarique Foster,5.9,Albany Ny
Ma'Kye Taylor,3.4,Albany Ny
Miles Rose,3.3,Albany Ny
Yaya Keita,3.3,Albany Ny
Bautista Giralt,0.9,Albany Ny
Tycen McDaniels,12.0,Alcorn State
Jameel Morris,11.2,Alcorn State
Shane Lancaster,10.8,Alcorn State
Nick Woodard,8.6,Alcorn State
Davian Williams,7.8,Alcorn State
Omari Hamilton,7.8,Alcorn State
Travis Roberts,3.6,Alcorn State
Mike Jones,3.5,Alcorn State
Bryson Calamese,3.0,Alcorn State
Will Henderson,2.6,Alcorn State
Jeremy Ellis,1.0,Alcorn State
Madden Collins,13.4,American
Greg Jones,12.5,American
Julen Iturbe,10.5,American
Geoff Sprouse,9.2,American
Matt Mayock,8.5,American
Wyatt Nausadis,7.8,American
Carson McDonald,7.3,American
Kade Sebastian,5.7,American
Chris Eagan,3.9,American
Dean Hogans,2.3,American
Luke Brown,1.1,American
Matthew Casey,0.6,American
Jack Anderson,0.3,American
Kasen Jennings,15.2,Appalachian State
Alonzo Dodd,13.8,Appalachian State
Luke Wilson,10.7,Appalachian State
Jalen Tot,9.6,Appalachian State
Michael Marcus Jr.,7.8,Appalachian State
Eren Banks,6.6,Appalachian State
Luke Ledford,5.5,Appalachian State
