Rank,team,rating,Hi,Lo,Last
1,Michigan,17.1,1,220,1
2,Arizona,16.4,2,28,2
3,Purdue,15.4,2,219,3
4,Florida,15.4,1,37,4
5,Duke,15.2,1,97,5
6,Alabama,15.2,1,260,6
7,Illinois,15.1,4,232,7
8,Tennessee,14.9,4,312,8
9,Houston,14.7,1,210,9
10,UConn,14.3,2,255,16
11,Texas Tech 14.3,5,228,10
12,Kansas,14.3,4,247,11
13,Iowa St,14.3,6,254,12
14,Kentucky,14.3,2,204,13
15,Michigan St,14.2,9,201,14
16,Arkansas,14,4,215,15
17,Vanderbilt,13.6,16,235,17
18,Iowa,13.1,17,272,18
19,BYU,13,3,39,19
20,Wisconsin,13,17,262,20
21,Texas,12.9,2,102,21
22,Ohio St,12.9,20,284,22
23,Nebraska,12.8,17,308,23
24,Louisville,12.8,12,234,24
25,Auburn,12.8,2,265,25
26,St John's ,12.3,3,225,26
27,UCLA,12.2,9,260,27
28,Indiana,11.5,22,283,28
29,Georgia,11.3,24,275,29
30,Oklahoma,11.3,14,308,30
31,Texas A&M,11.2,31,270,31
32,Baylor,11.2,17,229,32
33,North Carolina,11.1,18,278,33
34,Virginia,11,27,330,34
35,Mississippi,10.9,34,279,35
36,TCU,10.9,23,294,36
37,NC State,10.7,21,280,37
38,Missouri,10.6,28,284,38
39,Northwestern,10.6,30,299,39
40,Clemson,10.5,21,321,40
41,Washington,10.4,21,315,41
42,Cincinnati,10.4,34,295,42
43,Arizona St,10.2,36,297,43
44,Villanova,10,5,86,44
45,UCF,9.9,28,205,45
46,Miami,9.8,29,297,46
47,SMU,9.8,24,245,47
48,Gonzaga,9.7,1,236,48
49,LSU,9.5,42,311,49
50,Mississippi St,9.4,8,199,50
51,Oregon,9.3,33,119,51
52,Creighton,9.3,9,228,52
53,USC,9.2,34,248,53
54,Maryland,9.2,36,293,54
55,West Virginia,9.2,55,275,55
56,Providence,9.1,32,273,56
57,Kansas St,8.9,23,330,57
58,Marquette,8.9,34,266,59
59,Florida St,8.9,33,328,58
60,Minnesota,8.7,53,343,60
61,Xavier,8.6,27,222,61
62,Georgetown,8.5,38,287,62
63,Seton Hall,8.5,57,351,63
64,Oklahoma St,8.4,54,256,64
