Rank,Team,TOV%,Last 3,Last 1,Home,Away,2024
1,Arkansas,11.90%,10.90%,11.10%,10.80%,12.80%,15.90%
2,UAB,12.20%,9.40%,8.80%,12.30%,12.10%,13.40%
3,Houston,12.40%,9.60%,8.00%,12.50%,12.30%,13.80%
4,High Point,12.50%,10.20%,11.30%,12.40%,12.70%,15.00%
5,Wisconsin,12.50%,12.70%,13.30%,11.90%,13.10%,13.60%
6,S Alabama,12.70%,10.00%,7.70%,12.90%,12.50%,14.20%
7,Northwestern,12.70%,12.30%,14.80%,12.70%,12.70%,14.50%
8,Alabama,12.70%,13.70%,9.40%,11.90%,13.40%,16.10%
9,NC State,12.80%,11.00%,9.80%,13.90%,11.80%,14.10%
10,Illinois,12.90%,13.60%,12.50%,13.30%,12.60%,15.70%
11,Samford,13.10%,16.20%,15.60%,13.50%,12.80%,18.00%
12,Liberty,13.10%,9.30%,6.30%,13.20%,13.00%,15.10%
13,UCLA,13.10%,12.50%,17.20%,12.20%,14.10%,15.70%
14,Wofford,13.10%,9.90%,3.00%,13.30%,13.00%,16.50%
15,Vanderbilt,13.10%,13.80%,12.20%,11.50%,14.40%,14.20%
16,Temple,13.30%,13.30%,15.10%,13.30%,13.20%,15.30%
17,Gonzaga,13.30%,12.60%,10.70%,13.50%,13.30%,13.10%
18,Purdue,13.40%,13.80%,16.30%,13.20%,13.60%,15.50%
19,North Carolina,13.50%,14.80%,10.10%,13.50%,13.50%,14.70%
20,Xavier,13.60%,13.00%,15.20%,12.90%,14.40%,15.30%
21,Mississippi,13.60%,15.30%,13.90%,12.90%,14.30%,12.60%
22,Yale,13.70%,11.80%,12.20%,12.90%,14.10%,14.20%
23,Bradley,13.70%,14.00%,16.50%,12.60%,14.70%,17.00%
24,McNeese,13.70%,13.30%,9.00%,14.20%,13.40%,15.90%
25,Clemson,13.80%,8.40%,5.40%,13.50%,13.90%,15.50%
26,UMBC,13.80%,11.70%,12.80%,12.60%,14.80%,15.60%
27,North Dakota,13.80%,12.60%,12.20%,14.00%,13.60%,16.30%
28,Sacramento St,13.80%,10.00%,12.50%,13.80%,13.80%,19.80%
29,Oklahoma,13.80%,10.80%,11.10%,12.60%,14.80%,17.00%
30,SF Austin,13.80%,15.50%,17.60%,13.60%,14.00%,21.60%
31,Georgia,13.90%,14.80%,13.40%,13.10%,14.90%,18.30%
32,Mercyhurst,13.90%,13.80%,11.90%,13.60%,14.20%,16.10%
33,Denver,14.00%,13.70%,20.30%,11.30%,15.50%,18.00%
34,Miami OH,14.00%,12.10%,17.70%,15.50%,13.00%,17.10%
35,St John's,14.00%,10.90%,9.10%,15.20%,12.90%,14.80%
36,Richmond,14.00%,14.00%,8.00%,13.10%,15.30%,15.10%
37,Vermont,14.10%,13.70%,12.20%,13.20%,14.70%,16.70%
38,W Kentucky,14.10%,14.40%,17.80%,13.90%,14.20%,15.20%
39,St Thomas,14.10%,18.80%,29.50%,12.00%,15.40%,13.50%
40,N Iowa,14.10%,15.90%,9.30%,14.30%,14.00%,15.60%
41,Chattanooga,14.10%,9.20%,10.90%,14.30%,14.00%,14.50%
42,Auburn,14.10%,12.50%,13.80%,13.80%,14.40%,13.30%
43,South Carolina,14.10%,17.30%,16.70%,13.60%,15.00%,17.90%
44,Nebraska,14.20%,14.70%,16.30%,13.90%,14.50%,15.80%
45,Purdue FW,14.20%,13.20%,13.10%,13.70%,14.60%,13.60%
46,Georgia So,14.20%,13.90%,18.60%,12.60%,15.10%,18.40%
47,Colorado,14.20%,13.60%,17.20%,13.20%,15.50%,20.50%
48,Winthrop,14.30%,14.40%,16.30%,14.80%,14.00%,17.20%
49,Oakland,14.30%,14.10%,12.20%,13.40%,14.90%,17.50%
50,Colgate,14.30%,14.10%,10.10%,14.90%,13.90%,16.50%
51,Texas A&M,14.40%,15.90%,16.30%,13.60%,15.30%,17.30%
52,Queens,14.40%,13.80%,11.70%,13.00%,15.20%,17.80%
53,Toledo,14.40%,16.10%,15.70%,14.60%,14.30%,13.40%
54,NC Wilmington,14.50%,13.60%,13.70%,14.50%,14.40%,15.70%
55,Montana St,14.50%,13.10%,8.60%,12.80%,15.40%,14.80%
56,Wichita St,14.50%,14.00%,13.10%,13.80%,15.10%,15.90%
57,Merrimack,14.50%,12.20%,9.20%,12.90%,15.30%,13.40%
58,Nevada,14.50%,13.30%,17.90%,13.30%,15.70%,15.20%
59,Idaho,14.60%,11.20%,13.30%,13.50%,15.00%,17.40%
60,Rutgers,14.60%,14.70%,10.70%,13.10%,16.00%,15.00%
61,S Florida,14.60%,13.80%,11.90%,12.70%,15.90%,15.70%
62,Iowa St,14.60%,13.20%,15.80%,13.30%,15.60%,16.70%
63,Virginia Tech,14.60%,16.50%,16.70%,13.50%,15.90%,19.60%
64,New Mexico,14.60%,13.30%,13.70%,13.80%,15.60%,15.20%
65,New Mexico St,14.60%,16.40%,19.40%,12.80%,15.90%,15.30%
66,NC Greensboro,14.60%,14.20%,16.30%,12.50%,15.90%,14.80%
67,Villanova,14.70%,13.00%,13.10%,14.10%,15.20%,14.90%
68,Texas,14.70%,10.70%,11.30%,14.00%,15.30%,14.00%
69,Mercer,14.70%,12.70%,7.30%,13.30%,15.60%,16.30%
70,California,14.70%,16.80%,11.40%,14.90%,14.30%,16.20%
71,Drake,14.70%,13.90%,15.70%,14.50%,14.80%,18.00%
72,Arizona,14.70%,13.40%,8.90%,15.50%,14.00%,15.60%
73,Utah St,14.70%,9.40%,5.90%,13.60%,15.50%,15.60%
74,Indiana,14.70%,17.10%,17.70%,14.20%,15.40%,16.30%
75,VCU,14.70%,11.80%,14.80%,13.40%,16.10%,16.40%
76,Iowa,14.80%,13.10%,15.60%,14.30%,15.30%,13.40%
77,App State,14.80%,17.00%,14.00%,13.60%,15.70%,16.40%
78,CS Fullerton,14.80%,15.50%,13.10%,13.80%,15.40%,20.80%
79,San Jose St,14.80%,11.80%,18.50%,16.30%,13.50%,16.80%
80,Milwaukee,14.80%,15.20%,8.50%,14.30%,15.20%,19.00%
81,E Tennessee St,14.90%,15.20%,15.50%,14.30%,15.40%,15.60%
82,BYU,14.90%,18.60%,10.10%,13.60%,15.80%,17.00%
83,VMI,14.90%,11.00%,16.00%,14.00%,15.40%,17.60%
84,TCU,14.90%,13.80%,11.40%,15.40%,14.40%,16.90%
85,Florida St,14.90%,12.60%,14.50%,14.50%,15.40%,17.00%
86,Coastal Car,15.00%,13.40%,20.20%,16.00%,14.30%,17.80%
87,Washington,15.00%,13.00%,12.00%,15.50%,14.40%,17.20%
88,Penn,15.00%,13.50%,11.60%,14.50%,15.30%,15.90%
89,Tulane,15.00%,10.40%,7.90%,14.60%,15.40%,15.50%
90,Ohio St,15.00%,13.70%,11.00%,15.20%,14.70%,15.20%
91,Fairfield,15.00%,13.00%,7.80%,14.50%,15.40%,15.20%
92,Holy Cross,15.00%,13.80%,14.60%,14.50%,15.30%,17.60%
93,Boston College,15.00%,16.60%,11.70%,14.50%,15.70%,16.90%
94,C Arkansas,15.00%,14.60%,13.30%,13.50%,16.00%,17.60%
95,Lafayette,15.00%,11.20%,11.80%,14.00%,16.00%,16.30%
96,Old Dominion,15.10%,14.80%,15.70%,12.60%,16.50%,16.50%
97,Kentucky,15.10%,19.60%,28.90%,13.70%,16.60%,14.70%
98,Ohio,15.10%,11.40%,16.70%,14.10%,15.90%,14.60%
99,Austin Peay,15.10%,15.00%,13.80%,14.30%,15.60%,14.40%
100,N Colorado,15.10%,9.40%,5.30%,13.30%,16.10%,15.60%
101,Santa Clara,15.10%,9.80%,9.20%,13.80%,16.00%,16.40%
102,Loyola MD,15.10%,9.80%,9.20%,14.60%,15.40%,17.30%
103,Stanford,15.10%,13.50%,13.10%,14.70%,15.60%,15.20%
104,Akron,15.10%,12.40%,13.20%,14.80%,15.30%,16.00%
