Team, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Michigan,45.07,134.36,89.3,71.25,19.31,102.1,121.41
Duke,42.35,131.06,88.7,66.62,15.32,103.12,118.44
Illinois,40.86,138.72,97.86,65.38,15.37,103.47,118.85
Arizona,39.9,129.77,89.87,70.72,16.48,103.22,119.7
Iowa State,36.99,127.37,90.37,67.88,12.17,104.18,116.35
Purdue,36.62,136.34,99.71,64.41,18.58,102.59,121.17
Florida,36.3,127.88,91.58,70.68,15.32,104.81,120.13
Houston,34.91,124.45,89.54,64.11,14.73,104.06,118.79
Gonzaga,32.93,123.43,90.5,69.22,6.55,107.77,114.32
Michigan State,32.0,125.86,93.85,66.77,15.86,104.28,120.14
UConn,31.79,125.47,93.68,64.72,14.66,103.16,117.82
Vanderbilt,31.31,129.84,98.54,68.83,15.56,104.27,119.83
Alabama,31.13,132.34,101.2,73.71,18.96,102.96,121.92
Arkansas,30.35,132.75,102.4,71.7,16.3,104.24,120.55
Virginia,30.15,127.06,96.91,65.89,10.33,106.26,116.59
St. John's,30.01,124.21,94.2,69.53,14.76,102.68,117.44
Texas Tech,29.86,127.54,97.68,66.86,18.94,102.23,121.17
Louisville,29.84,125.79,95.95,70.07,13.49,103.73,117.22
Nebraska,29.45,121.87,92.42,66.97,15.14,104.68,119.82
Tennessee,29.19,123.74,94.55,66.14,17.49,104.01,121.5
BYU,28.15,127.77,99.62,70.42,15.78,102.78,118.57
Iowa,27.72,127.41,99.69,63.26,14.49,103.93,118.42
Kansas,27.48,120.67,93.19,68.21,18.4,100.84,119.24
Ohio State,26.65,128.5,101.86,66.31,15.12,103.52,118.64
Wisconsin,26.08,129.45,103.38,68.76,15.23,103.93,119.16
UCLA,24.92,125.15,100.23,65.0,14.26,104.27,118.53
Georgia,24.66,127.67,103.01,72.35,10.44,106.51,116.94
North Carolina,24.59,123.19,98.6,68.27,14.81,103.36,118.16
Utah State,24.27,126.95,102.68,67.44,9.18,105.95,115.13
Kentucky,23.75,121.97,98.22,69.05,15.65,104.09,119.74
Saint Mary's,23.63,120.84,97.21,65.38,5.65,107.35,113.0
Texas,23.37,128.78,105.41,66.93,15.19,104.45,119.64
Miami,23.26,122.28,99.02,68.32,8.52,106.99,115.51
NC State,22.9,126.38,103.48,69.47,13.54,104.64,118.18
SMU,22.89,126.05,103.16,69.09,11.57,105.28,116.84
Auburn,22.7,128.62,105.93,67.53,15.83,104.13,119.96
Indiana,22.23,123.82,101.58,66.47,12.75,104.72,117.47
Clemson,22.07,120.17,98.09,64.23,10.67,105.34,116.01
Villanova,21.37,122.48,101.12,65.82,12.43,104.82,117.24
Santa Clara,21.11,124.46,103.35,69.62,7.02,106.08,113.11
Saint Louis,20.85,120.05,99.2,71.75,1.09,109.01,110.1
Texas A&M,20.69,124.36,103.67,71.11,10.65,107.08,117.73
Baylor,20.27,125.53,105.26,68.15,15.16,102.54,117.7
Oklahoma,19.38,126.27,106.88,67.13,10.81,106.33,117.14
Washington,19.05,120.39,101.34,67.47,13.46,105.01,118.47
Cincinnati,18.74,112.17,93.43,67.99,10.9,104.76,115.66
TCU,18.72,119.44,100.72,67.61,11.05,104.99,116.05
New Mexico,18.66,118.82,100.16,70.28,4.66,107.83,112.49
San Diego State,17.69,116.0,98.31,69.27,9.39,106.23,115.62
South Florida,17.41,120.54,103.13,72.21,2.3,109.23,111.53
Boise State,16.9,124.87,107.97,65.58,9.12,106.38,115.5
VCU,16.88,118.92,102.05,69.2,4.25,107.74,111.99
