 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,33,14,19,.424,-7.32,-1.39,,5,13,,9,5,,3,12,,2321,2389,,69.3,104.1,.519,.307,.591,49.6,49.6,12.1,11.9,.550,21.1,28.2,.374
2,Air Force,32,3,29,.094,-13.71,4.63,,0,20,,3,15,,0,12,,1969,2556,,67.4,118.5,.366,.388,.594,55.2,54.2,11.8,11.9,.564,13.1,31.3,.266
3,Akron NCAA,35,29,6,.829,8.50,-2.89,,17,1,,15,0,,9,3,,3075,2590,,71.6,103.3,.290,.439,.535,46.7,51.4,8.8,8.1,.504,16.3,29.3,.209
4,Alabama NCAA,35,25,10,.714,23.06,14.60,,13,5,,12,3,,7,3,,3192,2896,,74.2,110.7,.320,.354,.523,49.5,47.1,8.6,12.6,.492,10.8,32.8,.223
5,Alabama A&M,33,18,15,.545,-13.28,-10.78,,10,8,,12,5,,4,8,,2378,2393,,67.8,106.6,.384,.367,.544,50.1,56.3,9.0,8.4,.504,14.5,28.8,.278
6,Alabama State,32,10,22,.313,-14.46,-8.39,,7,11,,5,4,,4,15,,2341,2473,,71.9,107.4,.421,.406,.561,50.0,54.8,10.6,10.5,.519,16.7,30.7,.309
7,Albany (NY),32,11,21,.344,-14.10,-8.28,,7,9,,6,5,,4,13,,2303,2332,,66.6,109.4,.342,.395,.551,48.5,54.8,10.2,8.5,.516,14.0,30.9,.248
8,Alcorn State,32,9,23,.281,-20.10,-6.82,,7,11,,5,4,,2,18,,2141,2566,,69.4,115.1,.394,.351,.584,55.1,55.7,10.5,11.1,.550,15.5,35.5,.286
9,American,32,16,16,.500,-7.24,-6.54,,9,9,,11,6,,5,10,,2387,2283,,67.5,105.8,.407,.371,.566,51.3,53.2,9.2,9.3,.528,17.3,28.9,.295
10,Appalachian State,32,19,13,.594,-3.95,-5.85,,11,7,,11,4,,7,8,,2305,2114,,64.7,101.7,.304,.412,.499,46.5,50.6,7.8,8.2,.464,12.4,28.4,.214
11,Arizona NCAA,38,36,2,.947,30.20,12.51,,16,2,,16,1,,9,1,,3287,2615,,71.2,96.3,.272,.375,.485,42.5,49.6,8.6,8.6,.450,14.1,26.8,.195
12,Arizona State,33,17,16,.515,10.47,12.47,,7,11,,10,5,,2,9,,2519,2585,,70.6,111.0,.343,.403,.560,52.2,55.4,10.5,9.6,.524,15.7,34.9,.255
13,Arkansas NCAA,37,28,9,.757,21.51,12.35,,13,5,,17,1,,5,5,,3337,2998,,72.8,109.8,.312,.381,.549,48.8,49.9,6.7,6.4,.518,13.5,30.9,.226
14,Arkansas State,32,20,12,.625,-0.91,-4.64,,11,7,,11,4,,9,7,,2655,2471,,72.5,105.3,.364,.391,.537,44.7,51.1,12.1,9.7,.503,13.8,27.3,.255
15,Arkansas-Pine Bluff,32,13,19,.406,-15.09,-7.22,,10,8,,7,4,,6,14,,2472,2593,,72.4,111.6,.424,.373,.566,51.8,54.0,10.5,8.4,.521,14.7,32.7,.316
16,Army,32,11,21,.344,-15.64,-7.50,,5,13,,6,10,,5,10,,2309,2471,,67.6,112.1,.388,.414,.577,49.6,53.1,10.4,11.1,.539,14.2,27.3,.289
17,Auburn,37,21,16,.568,16.63,12.44,,7,11,,14,4,,2,8,,3062,2907,,68.9,113.2,.339,.401,.572,47.3,52.2,9.3,12.5,.538,14.1,31.1,.251
18,Austin Peay,31,22,9,.710,-2.50,-6.95,,15,3,,12,1,,9,7,,2530,2269,,71.0,103.1,.324,.409,.545,49.2,53.1,9.3,8.6,.514,16.9,28.9,.229
19,Ball State,31,12,19,.387,-9.89,-4.58,,7,11,,7,7,,4,11,,2093,2154,,65.8,104.7,.323,.410,.552,52.5,53.7,8.1,10.5,.514,16.8,29.5,.246
20,Baylor,33,17,16,.515,15.45,11.42,,6,12,,11,6,,3,7,,2709,2517,,69.7,109.4,.298,.350,.550,46.5,48.3,9.8,8.5,.517,13.9,31.0,.222
21,Bellarmine,32,13,19,.406,-9.34,-4.97,,7,11,,9,5,,2,13,,2561,2614,,66.4,122.1,.327,.504,.610,53.5,61.6,9.0,9.1,.584,13.4,33.3,.240
22,Belmont,32,26,6,.813,8.59,-0.77,,16,4,,13,2,,11,3,,2684,2347,,70.2,103.7,.303,.491,.531,47.8,54.0,9.6,9.3,.493,15.2,28.8,.229
23,Bethune-Cookman,32,17,15,.531,-9.66,-6.72,,14,4,,10,1,,7,11,,2412,2462,,71.2,106.9,.381,.338,.533,49.9,47.6,11.8,7.1,.494,14.0,31.7,.272
24,Binghamton,31,8,23,.258,-20.90,-11.01,,4,12,,7,8,,1,14,,2105,2321,,65.1,112.8,.333,.392,.560,51.9,48.3,10.5,8.7,.533,11.9,28.5,.231
25,Boise State,32,20,12,.625,12.01,7.81,,12,8,,12,4,,6,5,,2502,2351,,67.1,107.1,.315,.371,.556,44.3,45.8,8.6,9.2,.527,12.9,22.9,.224
26,Boston College,31,11,20,.355,2.93,6.19,,4,14,,10,7,,1,10,,2090,2191,,66.4,104.8,.346,.390,.520,50.6,48.6,9.2,10.0,.489,12.9,28.6,.232
27,Boston University,34,17,17,.500,-8.38,-8.53,,10,8,,10,5,,6,12,,2566,2514,,63.7,113.1,.303,.407,.562,48.5,49.1,10.8,8.7,.533,11.6,27.7,.220
28,Bowling Green,32,18,14,.563,0.22,-3.81,,9,9,,10,7,,6,6,,2602,2290,,71.9,99.1,.359,.417,.543,48.1,52.5,9.0,9.1,.507,18.2,25.4,.257
29,Bradley,34,21,13,.618,3.22,0.46,,13,7,,14,3,,4,7,,2626,2502,,67.7,105.3,.379,.402,.560,51.0,53.8,7.1,8.5,.526,17.2,27.8,.270
30,Brigham Young NCAA,35,23,12,.657,20.40,12.29,,9,9,,12,3,,3,6,,2924,2640,,70.4,106.8,.289,.390,.540,47.4,54.0,8.9,8.1,.512,14.2,29.6,.204
31,Brown,27,9,18,.333,-10.15,-4.91,,3,11,,6,8,,3,10,,1900,1892,,67.3,102.3,.360,.425,.545,49.5,55.5,11.2,9.1,.502,17.3,28.3,.272
32,Bryant,31,9,22,.290,-18.35,-8.08,,5,11,,8,5,,1,17,,2010,2246,,65.0,110.2,.325,.356,.547,51.3,50.4,12.2,8.1,.516,12.8,30.6,.232
33,Bucknell,33,10,23,.303,-14.65,-5.71,,6,12,,6,8,,4,12,,2223,2518,,66.9,112.8,.353,.457,.582,52.7,61.8,11.1,11.5,.547,15.6,31.3,.265
34,Buffalo,32,17,15,.531,-3.76,-4.22,,7,11,,7,8,,8,6,,2497,2438,,67.4,112.2,.313,.417,.577,51.3,58.8,9.8,8.1,.548,15.5,30.5,.229
35,Butler,32,16,16,.500,10.30,8.46,,7,13,,10,7,,3,8,,2540,2481,,70.0,109.1,.249,.375,.544,47.6,53.7,9.5,11.9,.519,13.1,30.0,.179
36,Cal Poly,33,14,19,.424,-4.48,-0.52,,10,10,,8,6,,6,11,,2710,2805,,76.3,111.0,.330,.416,.563,49.7,52.5,9.5,11.4,.532,14.2,30.1,.239
37,Cal State Bakersfield,32,8,24,.250,-13.03,-1.59,,2,18,,6,11,,2,13,,2339,2629,,73.0,112.6,.426,.384,.571,52.4,53.4,10.3,8.6,.533,15.7,35.0,.307
38,Cal State Fullerton,34,18,16,.529,-2.15,-0.27,,12,8,,10,4,,6,10,,2822,2778,,76.3,107.1,.346,.459,.571,52.0,58.7,8.0,7.9,.535,17.4,28.0,.260
39,Cal State Northridge,34,20,14,.588,-2.30,-1.61,,12,8,,12,3,,7,8,,2767,2713,,75.6,105.2,.342,.486,.547,46.6,58.5,10.4,9.8,.507,14.9,26.3,.258
40,California,34,22,12,.647,11.17,6.84,,9,9,,17,5,,4,6,,2658,2493,,69.4,104.8,.361,.409,.528,51.3,56.6,7.5,11.1,.500,14.2,30.3,.238
41,California Baptist NCAA,34,25,9,.735,2.61,-2.45,,13,5,,15,0,,7,7,,2470,2298,,67.5,99.0,.366,.316,.507,45.1,45.5,9.9,9.6,.463,14.8,27.2,.264
42,Campbell,34,16,18,.471,-3.20,-0.45,,8,10,,10,4,,3,13,,2691,2639,,70.8,109.7,.356,.296,.565,48.1,49.0,9.8,9.9,.529,15.1,30.6,.262
43,Canisius,31,10,21,.323,-16.99,-7.86,,5,15,,7,8,,3,13,,1951,2184,,64.5,108.8,.351,.440,.552,50.5,56.1,10.3,9.9,.517,14.3,29.5,.253
44,Central Arkansas,34,22,12,.647,-1.70,-5.01,,15,3,,14,1,,6,10,,2749,2541,,69.7,105.2,.285,.526,.566,49.1,61.7,9.2,10.4,.539,17.3,26.2,.208
45,Central Connecticut State,30,18,12,.600,-11.53,-10.14,,12,6,,10,4,,8,8,,2215,2127,,66.0,107.0,.255,.400,.529,49.0,54.5,9.5,6.1,.496,12.3,28.8,.195
46,Central Michigan,31,10,21,.323,-8.74,-2.74,,6,12,,8,5,,1,15,,2275,2384,,69.3,111.0,.382,.392,.560,51.9,58.4,11.4,8.4,.530,15.1,33.9,.262
