 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%▼,FT/FGA
1,Tennessee NCAA,37,25,12,.676,21.99,12.71,,11,7,,14,3,,5,5,,2917,2574,,67.4,115.8,.374,.321,.547,58.7,60.4,10.7,11.6,.514,14.1,44.7,.259
2,Florida NCAA,35,27,8,.771,27.76,12.16,,16,2,,14,1,,8,2,,3050,2504,,72.0,120.9,.390,.370,.574,59.7,55.0,9.2,12.4,.541,13.4,43.3,.278
3,Illinois NCAA,36,28,8,.778,27.05,11.94,,15,5,,14,3,,8,2,,3017,2473,,65.7,125.8,.330,.498,.587,57.2,50.6,5.6,12.8,.551,10.9,39.4,.258
4,Robert Morris,33,22,11,.667,-1.46,-4.88,,13,7,,14,3,,8,7,,2555,2379,,66.4,114.5,.273,.401,.569,55.2,62.2,8.5,7.3,.549,15.6,38.6,.189
5,Tennessee-Martin,33,22,11,.667,-6.26,-9.39,,13,7,,12,3,,8,6,,2303,2085,,66.9,103.8,.364,.465,.524,54.4,56.9,13.2,13.0,.491,17.8,38.6,.247
6,Wichita State,36,24,12,.667,9.50,2.70,,13,5,,15,3,,8,5,,2811,2547,,67.7,113.1,.358,.341,.533,54.8,41.5,8.7,9.8,.500,12.4,38.5,.249
7,Arizona NCAA,38,36,2,.947,30.20,12.51,,16,2,,16,1,,9,1,,3287,2615,,71.2,121.1,.443,.264,.590,57.5,54.8,10.2,10.9,.551,12.7,38.4,.326
8,Duke NCAA,38,35,3,.921,30.15,12.15,,17,1,,15,0,,10,1,,3102,2418,,66.8,122.2,.382,.435,.597,57.9,58.8,11.1,10.5,.566,13.5,38.4,.278
9,Arkansas State,32,20,12,.625,-0.91,-4.64,,11,7,,11,4,,9,7,,2655,2471,,72.5,113.1,.386,.451,.564,55.3,56.2,10.2,7.0,.526,16.2,38.1,.283
10,South Florida NCAA,34,25,9,.735,13.45,3.20,,15,3,,13,2,,9,3,,2974,2575,,73.2,117.3,.404,.439,.553,53.0,58.9,12.5,11.1,.509,12.3,38.0,.301
11,Virginia NCAA,36,30,6,.833,20.62,9.01,,15,3,,16,1,,8,2,,2896,2478,,66.4,119.0,.323,.467,.576,55.0,58.3,9.4,17.4,.546,13.4,37.9,.235
12,Michigan State NCAA,35,27,8,.771,23.32,12.86,,15,5,,15,2,,6,4,,2758,2392,,66.8,117.0,.359,.364,.577,58.4,67.6,7.6,13.5,.538,14.5,37.8,.274
13,Saint Mary's NCAA,33,27,6,.818,17.10,5.57,,16,2,,17,0,,8,2,,2552,2129,,66.3,116.7,.359,.365,.576,57.9,57.8,8.5,9.8,.531,14.1,37.7,.286
14,Sam Houston,34,22,12,.647,2.99,-0.11,,13,7,,13,1,,6,10,,2797,2554,,71.2,115.5,.340,.362,.562,54.4,53.0,10.0,8.0,.531,13.9,37.5,.244
15,California Baptist NCAA,34,25,9,.735,2.61,-2.45,,13,5,,15,0,,7,7,,2470,2298,,67.5,106.5,.359,.320,.522,54.9,39.9,8.1,7.3,.483,15.0,37.5,.256
16,Columbia,28,16,12,.571,-2.85,-4.24,,5,9,,9,5,,7,7,,2146,2007,,67.6,112.4,.282,.372,.563,56.2,55.4,8.6,8.1,.541,16.1,37.5,.194
17,Baylor,33,17,16,.515,15.45,11.42,,6,12,,11,6,,3,7,,2709,2517,,69.7,117.7,.343,.387,.578,53.5,53.4,9.3,10.1,.545,13.8,37.3,.252
18,Louisiana Tech,34,20,14,.588,-3.03,-3.10,,11,9,,14,3,,4,10,,2375,2210,,65.1,106.1,.328,.335,.520,53.8,49.3,11.2,16.2,.491,15.4,37.3,.219
19,Auburn,37,21,16,.568,16.63,12.44,,7,11,,14,4,,2,8,,3062,2907,,68.9,119.3,.433,.402,.573,52.7,47.2,10.8,11.7,.530,12.2,37.2,.322
20,Miami (FL) NCAA,35,26,9,.743,17.71,7.45,,13,5,,15,3,,8,2,,2853,2494,,69.2,117.9,.371,.319,.578,55.8,54.4,11.4,9.8,.553,13.7,37.2,.254
21,Saint Peter's,29,17,12,.586,-7.48,-7.62,,14,6,,13,1,,4,10,,2054,1984,,65.9,106.6,.350,.392,.517,50.8,53.7,13.5,11.5,.474,14.5,37.2,.256
22,Illinois-Chicago,35,19,16,.543,3.16,0.46,,12,8,,9,5,,7,9,,2640,2470,,67.3,110.5,.361,.324,.546,52.7,54.6,11.5,11.8,.508,14.8,36.8,.263
23,Western Carolina,31,15,16,.484,-6.60,-3.91,,10,8,,10,3,,4,12,,2432,2397,,69.1,112.6,.298,.411,.543,54.6,45.5,8.8,8.5,.513,13.7,36.7,.214
24,Towson,34,19,15,.559,-1.07,-1.70,,9,9,,11,3,,3,10,,2354,2248,,64.6,106.7,.299,.353,.508,53.9,40.3,9.2,10.0,.477,13.2,36.6,.208
25,Utah Valley,34,25,9,.735,5.29,-1.58,,14,4,,15,1,,6,7,,2724,2338,,69.9,113.4,.363,.334,.584,53.7,63.2,13.4,14.7,.559,17.0,36.5,.252
26,Purdue NCAA,39,30,9,.769,25.11,14.01,,13,7,,12,5,,8,3,,3184,2751,,65.2,124.8,.286,.402,.601,55.2,65.6,8.4,8.8,.576,11.6,36.4,.213
27,McNeese NCAA,34,28,6,.824,7.68,-1.51,,19,3,,14,0,,9,5,,2709,2271,,67.2,117.3,.372,.348,.560,51.0,50.2,15.5,15.8,.520,11.8,36.4,.279
