Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,School
Bradyn Hubbard,15,SR,F,6-7,225.0,"Tulsa, OK",Tulsa Memorial (OK),,"16.1 Pts, 4.8 Reb, 1.8 Ast",Abilene Christian
Rich Smith,4,SR,G,6-4,175.0,"Bronx, NY",Monsignor Scanlan (NY),,"9.6 Pts, 3.9 Reb, 4.7 Ast",Abilene Christian
Chilaydrien Newton,5,SO,G,6-3,175.0,"Simsboro, LA",Simsboro (LA); Wasatch Academy (UT),,"9.4 Pts, 2.2 Reb, 0.9 Ast",Abilene Christian
Zy Wright,0,SR,G,6-5,,"Lincolnton, GA",Grovetown (GA); Aquinas (GA),,"6.2 Pts, 2.4 Reb, 0.7 Ast",Abilene Christian
Yaniel Rivera,2,JR,G,6-4,175.0,"Bayamon, Puerto Rico",Dade Christian (FL),,"7.0 Pts, 1.5 Reb, 2.5 Ast",Abilene Christian
Cade Hornecker,21,JR,C,7-0,240.0,"Amarillo, TX",Amarillo (TX),,"5.4 Pts, 3.4 Reb, 1.2 Ast",Abilene Christian
Joseph Venzant,23,SR,G,6-3,170.0,"Midland, TX",Midland Christian School,,"4.9 Pts, 3.3 Reb, 0.8 Ast",Abilene Christian
Joseph Scott,10,JR,F,6-9,210.0,"Baltimore, MD",St. Frances Academy (MD),,"5.0 Pts, 4.2 Reb, 0.5 Ast",Abilene Christian
Christian Alston,7,SO,G,6-5,165.0,"Memphis, TN",Bartlett (TN),,"4.0 Pts, 1.7 Reb, 0.4 Ast",Abilene Christian
Ma'Shy Hill,11,JR,F,6-9,215.0,"Austin, TX",Pflugerville Hendrickson (TX); St. Michael's Academy (TX); Spire Institute (OH),,"2.8 Pts, 1.7 Reb, 0.2 Ast",Abilene Christian
Isaac Dye,24,FR,G,6-2,200.0,"State College, PA",State College Area (PA); Athletes in Action Prep (OH),,"3.2 Pts, 1.1 Reb, 0.4 Ast",Abilene Christian
Tylan LEWIS,3,FR,G,6-0,200.0,"Nashville, TN",Independence (TN),,"0.6 Pts, 0.6 Reb, 0.5 Ast",Abilene Christian
Isaiah Carrillo,20,FR,G,5-10,165.0,"Abilene, TX",Wylie (TX),,"1.0 Pts, 0.5 Reb, 0.3 Ast",Abilene Christian
Lucas Hobin,24,FR,F,6-8,205.0,"Katy, TX",Strake Jesuit (TX),,"11.8 Pts, 2.0 Reb, 0.7 Ast",Air Force
Kam Sanders,3,FR,G,6-3,195.0,"Albany, GA",Lee County (GA),,"11.6 Pts, 4.1 Reb, 3.6 Ast",Air Force
