gameId,season,seasonLabel,seasonType,tournament,startDate,startTimeTbd,teamId,team,conference,teamSeed,opponentId,opponent,opponentConference,opponentSeed,neutralSite,isHome,conferenceGame,gameType,notes,gameMinutes,pace,teamStats,opponentStats
212784,2026,20252026,regular,,2025-11-03T13:00:00.000Z,False,354,Winthrop,Big South,,362,Queens University,ASUN,,True,True,False,STD,,40.0,72.5,"{'possessions': 73, 'assists': 12, 'steals': 11, 'blocks': 4, 'trueShooting': 53.5, 'rating': 111, 'gameScore': 67.9, 'points': {'total': 81, 'byPeriod': [40, 41], 'largestLead': 11, 'fastBreak': 10, 'inPaint': 30, 'offTurnovers': 15}, 'twoPointFieldGoals': {'made': 16, 'attempted': 37, 'pct': 43.2}, 'threePointFieldGoals': {'made': 8, 'attempted': 25, 'pct': 32}, 'freeThrows': {'made': 25, 'attempted': 31, 'pct': 80.6}, 'fieldGoals': {'made': 24, 'attempted': 62, 'pct': 38.7}, 'turnovers': {'total': 10, 'teamTotal': 0}, 'rebounds': {'offensive': 16, 'defensive': 23, 'total': 39}, 'fouls': {'total': 18, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 45.2, 'freeThrowRate': 50, 'turnoverRatio': 13.7, 'offensiveReboundPct': 41}}","{'possessions': 72, 'assists': 10, 'steals': 2, 'blocks': 1, 'trueShooting': 52.8, 'rating': 102.8, 'gameScore': 39.10000000000001, 'points': {'total': 74, 'byPeriod': [35, 39], 'largestLead': 5, 'fastBreak': 4, 'inPaint': 38, 'offTurnovers': 10}, 'twoPointFieldGoals': {'made': 21, 'attempted': 33, 'pct': 63.6}, 'threePointFieldGoals': {'made': 6, 'attempted': 30, 'pct': 20}, 'freeThrows': {'made': 14, 'attempted': 16, 'pct': 87.5}, 'fieldGoals': {'made': 27, 'attempted': 63, 'pct': 42.9}, 'turnovers': {'total': 17, 'teamTotal': 0}, 'rebounds': {'offensive': 14, 'defensive': 25, 'total': 39}, 'fouls': {'total': 27, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 47.6, 'freeThrowRate': 25.4, 'turnoverRatio': 23.6, 'offensiveReboundPct': 35.9}}"
212784,2026,20252026,regular,,2025-11-03T13:00:00.000Z,False,362,Queens University,ASUN,,354,Winthrop,Big South,,True,False,False,STD,,40.0,72.5,"{'possessions': 72, 'assists': 10, 'steals': 2, 'blocks': 1, 'trueShooting': 52.8, 'rating': 102.8, 'gameScore': 39.10000000000001, 'points': {'total': 74, 'byPeriod': [35, 39], 'largestLead': 5, 'fastBreak': 4, 'inPaint': 38, 'offTurnovers': 10}, 'twoPointFieldGoals': {'made': 21, 'attempted': 33, 'pct': 63.6}, 'threePointFieldGoals': {'made': 6, 'attempted': 30, 'pct': 20}, 'freeThrows': {'made': 14, 'attempted': 16, 'pct': 87.5}, 'fieldGoals': {'made': 27, 'attempted': 63, 'pct': 42.9}, 'turnovers': {'total': 17, 'teamTotal': 0}, 'rebounds': {'offensive': 14, 'defensive': 25, 'total': 39}, 'fouls': {'total': 27, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 47.6, 'freeThrowRate': 25.4, 'turnoverRatio': 23.6, 'offensiveReboundPct': 35.9}}","{'possessions': 73, 'assists': 12, 'steals': 11, 'blocks': 4, 'trueShooting': 53.5, 'rating': 111, 'gameScore': 67.9, 'points': {'total': 81, 'byPeriod': [40, 41], 'largestLead': 11, 'fastBreak': 10, 'inPaint': 30, 'offTurnovers': 15}, 'twoPointFieldGoals': {'made': 16, 'attempted': 37, 'pct': 43.2}, 'threePointFieldGoals': {'made': 8, 'attempted': 25, 'pct': 32}, 'freeThrows': {'made': 25, 'attempted': 31, 'pct': 80.6}, 'fieldGoals': {'made': 24, 'attempted': 62, 'pct': 38.7}, 'turnovers': {'total': 10, 'teamTotal': 0}, 'rebounds': {'offensive': 16, 'defensive': 23, 'total': 39}, 'fouls': {'total': 18, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 45.2, 'freeThrowRate': 50, 'turnoverRatio': 13.7, 'offensiveReboundPct': 41}}"
209784,2026,20252026,regular,,2025-11-03T16:00:00.000Z,False,29,Bradley,MVC,,277,St. Bonaventure,A-10,,True,False,False,STD,Field of 68 Opening Day Marathon,40.0,66.0,"{'possessions': 66, 'assists': 12, 'steals': 8, 'blocks': 2, 'trueShooting': 51, 'rating': 95.5, 'gameScore': 45.3, 'points': {'total': 63, 'byPeriod': [26, 37], 'largestLead': 6, 'fastBreak': 6, 'inPaint': 34, 'offTurnovers': 14}, 'twoPointFieldGoals': {'made': 18, 'attempted': 34, 'pct': 52.9}, 'threePointFieldGoals': {'made': 6, 'attempted': 22, 'pct': 27.3}, 'freeThrows': {'made': 9, 'attempted': 13, 'pct': 69.2}, 'fieldGoals': {'made': 24, 'attempted': 56, 'pct': 42.9}, 'turnovers': {'total': 9, 'teamTotal': 0}, 'rebounds': {'offensive': 5, 'defensive': 24, 'total': 29}, 'fouls': {'total': 15, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 48.2, 'freeThrowRate': 23.2, 'turnoverRatio': 13.6, 'offensiveReboundPct': 17.2}}","{'possessions': 66, 'assists': 14, 'steals': 7, 'blocks': 7, 'trueShooting': 51.1, 'rating': 104.5, 'gameScore': 58.099999999999994, 'points': {'total': 69, 'byPeriod': [34, 35], 'largestLead': 13, 'fastBreak': 4, 'inPaint': 24, 'offTurnovers': 10}, 'twoPointFieldGoals': {'made': 16, 'attempted': 38, 'pct': 42.1}, 'threePointFieldGoals': {'made': 8, 'attempted': 22, 'pct': 36.4}, 'freeThrows': {'made': 13, 'attempted': 17, 'pct': 76.5}, 'fieldGoals': {'made': 24, 'attempted': 60, 'pct': 40}, 'turnovers': {'total': 13, 'teamTotal': 1}, 'rebounds': {'offensive': 15, 'defensive': 29, 'total': 44}, 'fouls': {'total': 12, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 46.7, 'freeThrowRate': 28.3, 'turnoverRatio': 19.7, 'offensiveReboundPct': 34.1}}"
209784,2026,20252026,regular,,2025-11-03T16:00:00.000Z,False,277,St. Bonaventure,A-10,,29,Bradley,MVC,,True,True,False,STD,Field of 68 Opening Day Marathon,40.0,66.0,"{'possessions': 66, 'assists': 14, 'steals': 7, 'blocks': 7, 'trueShooting': 51.1, 'rating': 104.5, 'gameScore': 58.099999999999994, 'points': {'total': 69, 'byPeriod': [34, 35], 'largestLead': 13, 'fastBreak': 4, 'inPaint': 24, 'offTurnovers': 10}, 'twoPointFieldGoals': {'made': 16, 'attempted': 38, 'pct': 42.1}, 'threePointFieldGoals': {'made': 8, 'attempted': 22, 'pct': 36.4}, 'freeThrows': {'made': 13, 'attempted': 17, 'pct': 76.5}, 'fieldGoals': {'made': 24, 'attempted': 60, 'pct': 40}, 'turnovers': {'total': 13, 'teamTotal': 1}, 'rebounds': {'offensive': 15, 'defensive': 29, 'total': 44}, 'fouls': {'total': 12, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 46.7, 'freeThrowRate': 28.3, 'turnoverRatio': 19.7, 'offensiveReboundPct': 34.1}}","{'possessions': 66, 'assists': 12, 'steals': 8, 'blocks': 2, 'trueShooting': 51, 'rating': 95.5, 'gameScore': 45.3, 'points': {'total': 63, 'byPeriod': [26, 37], 'largestLead': 6, 'fastBreak': 6, 'inPaint': 34, 'offTurnovers': 14}, 'twoPointFieldGoals': {'made': 18, 'attempted': 34, 'pct': 52.9}, 'threePointFieldGoals': {'made': 6, 'attempted': 22, 'pct': 27.3}, 'freeThrows': {'made': 9, 'attempted': 13, 'pct': 69.2}, 'fieldGoals': {'made': 24, 'attempted': 56, 'pct': 42.9}, 'turnovers': {'total': 9, 'teamTotal': 0}, 'rebounds': {'offensive': 5, 'defensive': 24, 'total': 29}, 'fouls': {'total': 15, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 48.2, 'freeThrowRate': 23.2, 'turnoverRatio': 13.6, 'offensiveReboundPct': 17.2}}"
215243,2026,20252026,regular,,2025-11-03T16:30:00.000Z,False,742,Arlington Baptist,,,76,East Texas A&M,Southland,,False,False,False,STD,,40.0,83.0,"{'possessions': 83, 'assists': 9, 'steals': 6, 'blocks': 2, 'trueShooting': 45.5, 'rating': 72.3, 'gameScore': 20.099999999999994, 'points': {'total': 60, 'byPeriod': [20, 40], 'largestLead': 0, 'fastBreak': 12, 'inPaint': 22, 'offTurnovers': 9}, 'twoPointFieldGoals': {'made': 14, 'attempted': 40, 'pct': 35}, 'threePointFieldGoals': {'made': 4, 'attempted': 15, 'pct': 26.7}, 'freeThrows': {'made': 20, 'attempted': 25, 'pct': 80}, 'fieldGoals': {'made': 18, 'attempted': 55, 'pct': 32.7}, 'turnovers': {'total': 26, 'teamTotal': 1}, 'rebounds': {'offensive': 9, 'defensive': 18, 'total': 27}, 'fouls': {'total': 15, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 36.4, 'freeThrowRate': 45.5, 'turnoverRatio': 31.3, 'offensiveReboundPct': 33.3}}","{'possessions': 83, 'assists': 35, 'steals': 17, 'blocks': 4, 'trueShooting': 72.3, 'rating': 143.4, 'gameScore': 125.20000000000002, 'points': {'total': 119, 'byPeriod': [68, 51], 'largestLead': 65, 'fastBreak': 33, 'inPaint': 62, 'offTurnovers': 49}, 'twoPointFieldGoals': {'made': 33, 'attempted': 40, 'pct': 82.5}, 'threePointFieldGoals': {'made': 13, 'attempted': 33, 'pct': 39.4}, 'freeThrows': {'made': 14, 'attempted': 21, 'pct': 66.7}, 'fieldGoals': {'made': 46, 'attempted': 73, 'pct': 63}, 'turnovers': {'total': 12, 'teamTotal': 1}, 'rebounds': {'offensive': 12, 'defensive': 30, 'total': 42}, 'fouls': {'total': 20, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 71.9, 'freeThrowRate': 28.8, 'turnoverRatio': 14.5, 'offensiveReboundPct': 28.6}}"
215243,2026,20252026,regular,,2025-11-03T16:30:00.000Z,False,76,East Texas A&M,Southland,,742,Arlington Baptist,,,False,True,False,STD,,40.0,83.0,"{'possessions': 83, 'assists': 35, 'steals': 17, 'blocks': 4, 'trueShooting': 72.3, 'rating': 143.4, 'gameScore': 125.20000000000002, 'points': {'total': 119, 'byPeriod': [68, 51], 'largestLead': 65, 'fastBreak': 33, 'inPaint': 62, 'offTurnovers': 49}, 'twoPointFieldGoals': {'made': 33, 'attempted': 40, 'pct': 82.5}, 'threePointFieldGoals': {'made': 13, 'attempted': 33, 'pct': 39.4}, 'freeThrows': {'made': 14, 'attempted': 21, 'pct': 66.7}, 'fieldGoals': {'made': 46, 'attempted': 73, 'pct': 63}, 'turnovers': {'total': 12, 'teamTotal': 1}, 'rebounds': {'offensive': 12, 'defensive': 30, 'total': 42}, 'fouls': {'total': 20, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 71.9, 'freeThrowRate': 28.8, 'turnoverRatio': 14.5, 'offensiveReboundPct': 28.6}}","{'possessions': 83, 'assists': 9, 'steals': 6, 'blocks': 2, 'trueShooting': 45.5, 'rating': 72.3, 'gameScore': 20.099999999999994, 'points': {'total': 60, 'byPeriod': [20, 40], 'largestLead': 0, 'fastBreak': 12, 'inPaint': 22, 'offTurnovers': 9}, 'twoPointFieldGoals': {'made': 14, 'attempted': 40, 'pct': 35}, 'threePointFieldGoals': {'made': 4, 'attempted': 15, 'pct': 26.7}, 'freeThrows': {'made': 20, 'attempted': 25, 'pct': 80}, 'fieldGoals': {'made': 18, 'attempted': 55, 'pct': 32.7}, 'turnovers': {'total': 26, 'teamTotal': 1}, 'rebounds': {'offensive': 9, 'defensive': 18, 'total': 27}, 'fouls': {'total': 15, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 36.4, 'freeThrowRate': 45.5, 'turnoverRatio': 31.3, 'offensiveReboundPct': 33.3}}"
215244,2026,20252026,regular,,2025-11-03T17:00:00.000Z,False,139,Lamar,Southland,,583,Texas A&M-San Antonio,,,False,True,False,STD,,40.0,73.0,"{'possessions': 74, 'assists': 23, 'steals': 10, 'blocks': 4, 'trueShooting': 63.6, 'rating': 125.7, 'gameScore': 87.2, 'points': {'total': 93, 'byPeriod': [46, 47], 'largestLead': 46, 'fastBreak': 19, 'inPaint': 32, 'offTurnovers': 32}, 'twoPointFieldGoals': {'made': 23, 'attempted': 35, 'pct': 65.7}, 'threePointFieldGoals': {'made': 10, 'attempted': 28, 'pct': 35.7}, 'freeThrows': {'made': 17, 'attempted': 23, 'pct': 73.9}, 'fieldGoals': {'made': 33, 'attempted': 63, 'pct': 52.4}, 'turnovers': {'total': 14, 'teamTotal': 0}, 'rebounds': {'offensive': 15, 'defensive': 31, 'total': 46}, 'fouls': {'total': 18, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 60.3, 'freeThrowRate': 36.5, 'turnoverRatio': 18.9, 'offensiveReboundPct': 32.6}}","{'possessions': 72, 'assists': 12, 'steals': 7, 'blocks': 2, 'trueShooting': 43.5, 'rating': 73.6, 'gameScore': 21.599999999999994, 'points': {'total': 53, 'byPeriod': [26, 27], 'largestLead': 0, 'fastBreak': 11, 'inPaint': 10, 'offTurnovers': 16}, 'twoPointFieldGoals': {'made': 9, 'attempted': 32, 'pct': 28.1}, 'threePointFieldGoals': {'made': 8, 'attempted': 21, 'pct': 38.1}, 'freeThrows': {'made': 11, 'attempted': 18, 'pct': 61.1}, 'fieldGoals': {'made': 17, 'attempted': 53, 'pct': 32.1}, 'turnovers': {'total': 20, 'teamTotal': 3}, 'rebounds': {'offensive': 9, 'defensive': 18, 'total': 27}, 'fouls': {'total': 17, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 39.6, 'freeThrowRate': 34, 'turnoverRatio': 27.8, 'offensiveReboundPct': 33.3}}"
215244,2026,20252026,regular,,2025-11-03T17:00:00.000Z,False,583,Texas A&M-San Antonio,,,139,Lamar,Southland,,False,False,False,STD,,40.0,73.0,"{'possessions': 72, 'assists': 12, 'steals': 7, 'blocks': 2, 'trueShooting': 43.5, 'rating': 73.6, 'gameScore': 21.599999999999994, 'points': {'total': 53, 'byPeriod': [26, 27], 'largestLead': 0, 'fastBreak': 11, 'inPaint': 10, 'offTurnovers': 16}, 'twoPointFieldGoals': {'made': 9, 'attempted': 32, 'pct': 28.1}, 'threePointFieldGoals': {'made': 8, 'attempted': 21, 'pct': 38.1}, 'freeThrows': {'made': 11, 'attempted': 18, 'pct': 61.1}, 'fieldGoals': {'made': 17, 'attempted': 53, 'pct': 32.1}, 'turnovers': {'total': 20, 'teamTotal': 3}, 'rebounds': {'offensive': 9, 'defensive': 18, 'total': 27}, 'fouls': {'total': 17, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 39.6, 'freeThrowRate': 34, 'turnoverRatio': 27.8, 'offensiveReboundPct': 33.3}}","{'possessions': 74, 'assists': 23, 'steals': 10, 'blocks': 4, 'trueShooting': 63.6, 'rating': 125.7, 'gameScore': 87.2, 'points': {'total': 93, 'byPeriod': [46, 47], 'largestLead': 46, 'fastBreak': 19, 'inPaint': 32, 'offTurnovers': 32}, 'twoPointFieldGoals': {'made': 23, 'attempted': 35, 'pct': 65.7}, 'threePointFieldGoals': {'made': 10, 'attempted': 28, 'pct': 35.7}, 'freeThrows': {'made': 17, 'attempted': 23, 'pct': 73.9}, 'fieldGoals': {'made': 33, 'attempted': 63, 'pct': 52.4}, 'turnovers': {'total': 14, 'teamTotal': 0}, 'rebounds': {'offensive': 15, 'defensive': 31, 'total': 46}, 'fouls': {'total': 18, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 60.3, 'freeThrowRate': 36.5, 'turnoverRatio': 18.9, 'offensiveReboundPct': 32.6}}"
212785,2026,20252026,regular,,2025-11-03T18:00:00.000Z,False,232,Prairie View A&M,SWAC,,520,College Of Biblical Studies,,,False,True,False,STD,,40.0,81.5,"{'possessions': 82, 'assists': 17, 'steals': 19, 'blocks': 4, 'trueShooting': 62.3, 'rating': 115.9, 'gameScore': 87.00000000000001, 'points': {'total': 95, 'byPeriod': [48, 47], 'largestLead': 47, 'fastBreak': 24, 'inPaint': 36, 'offTurnovers': 44}, 'twoPointFieldGoals': {'made': 23, 'attempted': 39, 'pct': 59}, 'threePointFieldGoals': {'made': 9, 'attempted': 24, 'pct': 37.5}, 'freeThrows': {'made': 22, 'attempted': 30, 'pct': 73.3}, 'fieldGoals': {'made': 32, 'attempted': 63, 'pct': 50.8}, 'turnovers': {'total': 19, 'teamTotal': 0}, 'rebounds': {'offensive': 12, 'defensive': 30, 'total': 42}, 'fouls': {'total': 14, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 57.9, 'freeThrowRate': 47.6, 'turnoverRatio': 23.2, 'offensiveReboundPct': 28.6}}","{'possessions': 81, 'assists': 6, 'steals': 8, 'blocks': 4, 'trueShooting': 40.9, 'rating': 59.3, 'gameScore': 6.800000000000004, 'points': {'total': 48, 'byPeriod': [31, 17], 'largestLead': 0, 'fastBreak': 10, 'inPaint': 14, 'offTurnovers': 17}, 'twoPointFieldGoals': {'made': 13, 'attempted': 26, 'pct': 50}, 'threePointFieldGoals': {'made': 5, 'attempted': 27, 'pct': 18.5}, 'freeThrows': {'made': 7, 'attempted': 13, 'pct': 53.8}, 'fieldGoals': {'made': 18, 'attempted': 53, 'pct': 34}, 'turnovers': {'total': 24, 'teamTotal': 0}, 'rebounds': {'offensive': 3, 'defensive': 20, 'total': 23}, 'fouls': {'total': 20, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 38.7, 'freeThrowRate': 24.5, 'turnoverRatio': 29.6, 'offensiveReboundPct': 13}}"
212785,2026,20252026,regular,,2025-11-03T18:00:00.000Z,False,520,College Of Biblical Studies,,,232,Prairie View A&M,SWAC,,False,False,False,STD,,40.0,81.5,"{'possessions': 81, 'assists': 6, 'steals': 8, 'blocks': 4, 'trueShooting': 40.9, 'rating': 59.3, 'gameScore': 6.800000000000004, 'points': {'total': 48, 'byPeriod': [31, 17], 'largestLead': 0, 'fastBreak': 10, 'inPaint': 14, 'offTurnovers': 17}, 'twoPointFieldGoals': {'made': 13, 'attempted': 26, 'pct': 50}, 'threePointFieldGoals': {'made': 5, 'attempted': 27, 'pct': 18.5}, 'freeThrows': {'made': 7, 'attempted': 13, 'pct': 53.8}, 'fieldGoals': {'made': 18, 'attempted': 53, 'pct': 34}, 'turnovers': {'total': 24, 'teamTotal': 0}, 'rebounds': {'offensive': 3, 'defensive': 20, 'total': 23}, 'fouls': {'total': 20, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 38.7, 'freeThrowRate': 24.5, 'turnoverRatio': 29.6, 'offensiveReboundPct': 13}}","{'possessions': 82, 'assists': 17, 'steals': 19, 'blocks': 4, 'trueShooting': 62.3, 'rating': 115.9, 'gameScore': 87.00000000000001, 'points': {'total': 95, 'byPeriod': [48, 47], 'largestLead': 47, 'fastBreak': 24, 'inPaint': 36, 'offTurnovers': 44}, 'twoPointFieldGoals': {'made': 23, 'attempted': 39, 'pct': 59}, 'threePointFieldGoals': {'made': 9, 'attempted': 24, 'pct': 37.5}, 'freeThrows': {'made': 22, 'attempted': 30, 'pct': 73.3}, 'fieldGoals': {'made': 32, 'attempted': 63, 'pct': 50.8}, 'turnovers': {'total': 19, 'teamTotal': 0}, 'rebounds': {'offensive': 12, 'defensive': 30, 'total': 42}, 'fouls': {'total': 14, 'technical': 0, 'flagrant': 0}, 'fourFactors': {'effectiveFieldGoalPct': 57.9, 'freeThrowRate': 47.6, 'turnoverRatio': 23.2, 'offensiveReboundPct': 28.6}}"
