Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Michigan,Big Ten,45.07,134.36,89.3,71.25,19.31,121.41,102.1
Duke,ACC,42.35,131.06,88.7,66.62,15.32,118.44,103.12
Illinois,Big Ten,40.86,138.72,97.86,65.38,15.37,118.85,103.47
Arizona,Big 12,39.9,129.77,89.87,70.72,16.48,119.7,103.22
Iowa State,Big 12,36.99,127.37,90.37,67.88,12.17,116.35,104.18
Purdue,Big Ten,36.62,136.34,99.71,64.41,18.58,121.17,102.59
Florida,SEC,36.3,127.88,91.58,70.68,15.32,120.13,104.81
Houston,Big 12,34.91,124.45,89.54,64.11,14.73,118.79,104.06
Gonzaga,WCC,32.93,123.43,90.5,69.22,6.55,114.32,107.77
Michigan State,Big Ten,32.0,125.86,93.85,66.77,15.86,120.14,104.28
UConn,Big East,31.79,125.47,93.68,64.72,14.66,117.82,103.16
Vanderbilt,SEC,31.31,129.84,98.54,68.83,15.56,119.83,104.27
Alabama,SEC,31.13,132.34,101.2,73.71,18.96,121.92,102.96
Arkansas,SEC,30.35,132.75,102.4,71.7,16.3,120.55,104.24
Virginia,ACC,30.15,127.06,96.91,65.89,10.33,116.59,106.26
St. John's,Big East,30.01,124.21,94.2,69.53,14.76,117.44,102.68
Texas Tech,Big 12,29.86,127.54,97.68,66.86,18.94,121.17,102.23
Louisville,ACC,29.84,125.79,95.95,70.07,13.49,117.22,103.73
Nebraska,Big Ten,29.45,121.87,92.42,66.97,15.14,119.82,104.68
Tennessee,SEC,29.19,123.74,94.55,66.14,17.49,121.5,104.01
BYU,Big 12,28.15,127.77,99.62,70.42,15.78,118.57,102.78
Iowa,Big Ten,27.72,127.41,99.69,63.26,14.49,118.42,103.93
Kansas,Big 12,27.48,120.67,93.19,68.21,18.4,119.24,100.84
Ohio State,Big Ten,26.65,128.5,101.86,66.31,15.12,118.64,103.52
Wisconsin,Big Ten,26.08,129.45,103.38,68.76,15.23,119.16,103.93
UCLA,Big Ten,24.92,125.15,100.23,65.0,14.26,118.53,104.27
Georgia,SEC,24.66,127.67,103.01,72.35,10.44,116.94,106.51
North Carolina,ACC,24.59,123.19,98.6,68.27,14.81,118.16,103.36
Utah State,Mountain West,24.27,126.95,102.68,67.44,9.18,115.13,105.95
Kentucky,SEC,23.75,121.97,98.22,69.05,15.65,119.74,104.09
Saint Mary's,WCC,23.63,120.84,97.21,65.38,5.65,113.0,107.35
Texas,SEC,23.37,128.78,105.41,66.93,15.19,119.64,104.45
